r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Be-F,g(r)_unweighted_Be-F,g(r)_weighted_Be-Be,g(r)_unweighted_Be-Be,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Be-Li,g(r)_unweighted_Be-Li,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
8.058221165703705,0.05713037109491953,1.0283466797085514,0.1639415718985244,0.9836494313911467,0.05441124085544898,0.9794023353980816,0.49845912849006896,0.996918256980138,0.0581216882726055,1.0461903889068989,0.16227246389674388,0.9736347833804635,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.068120700305306,0.05711983335479632,1.0281570003863336,0.16424750503406602,0.9854850302043963,0.054332324964045206,0.9779818493528136,0.49790361396727073,0.9958072279345416,0.058064175805987404,1.0451551645077732,0.16239648375995397,0.974378902559724,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.078020234906907,0.0571092956146731,1.0279673210641158,0.1645534381696076,0.9873206290176458,0.05425340907264143,0.9765613633075457,0.49734809944447245,0.994696198888945,0.05800666333936932,1.0441199401086476,0.1625205036231641,0.9751230217389847,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.087919769508508,0.057098757874549884,1.0277776417418978,0.1648593713051492,0.9891562278308954,0.05417449318123766,0.9751408772622778,0.49679258492167416,0.9935851698433484,0.05794915087275122,1.043084715709522,0.16264452348637418,0.9758671409182452,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.09781930411011,0.057088220134426666,1.02758796241968,0.16516530444069086,0.9909918266441453,0.05409557728983387,0.9737203912170096,0.4962370703988758,0.9924741407977518,0.05789163840613312,1.0420494913103961,0.16276854334958427,0.9766112600975059,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.107718838711712,0.057077682394303456,1.0273982830974622,0.16547123757623244,0.9928274254573949,0.05406368670210204,0.9731463606378367,0.49568155587607754,0.9913631117521552,0.057834125939515035,1.0410142669112705,0.16289077208989974,0.9773446325393986,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.117618373313313,0.05706714465418023,1.0272086037752441,0.16577717071177403,0.9946630242706445,0.05406609243448989,0.973189663820818,0.49512604135327926,0.9902520827065586,0.05777661347289694,1.039979042512145,0.16299332698246108,0.9779599618947666,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.127517907914916,0.05705660691405702,1.0270189244530263,0.1660831038473157,0.9964986230838944,0.05406849816687775,0.9732329670037994,0.4945705268304809,0.9891410536609619,0.05771910100627884,1.038943818113019,0.1630958818750224,0.9785752912501348,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.137417442516517,0.057046069173933796,1.0268292451308083,0.16628873766666663,0.997732426,0.054070903899265596,0.9732762701867806,0.49401501230768263,0.9880300246153654,0.05766158853966075,1.0379085937138934,0.16319843676758375,0.9791906206055028,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.147316977118118,0.057035531433810585,1.0266395658085905,0.16628873766666663,0.997732426,0.05407330963165345,0.973319573369762,0.49345949778488435,0.9869189955697688,0.05760407607304266,1.0368733693147678,0.16330099166014508,0.9798059499608708,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
