r (A),g(r)_weighted_K-Na,g(r)_unweighted_K-Na,g(r)_weighted_Na-Zn,g(r)_unweighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Zn-Cl,g(r)_unweighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
0.9163783523123123,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.9362996208408408,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.9562208893693693,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.9761421578978979,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.9960634264264264,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.015984694954955,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.0359059634834835,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.0558272320120121,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.0757485005405405,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.095669769069069,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.1155910375975977,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.135512306126126,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.1554335746546547,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.1753548431831833,3.66909805225782e-05,0.001691994,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.1952761117117117,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.2151973802402403,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.2351186487687689,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.2550399172972972,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
