r (A),g(r)_weighted_Be-F,g(r)_weighted_Li-F,g(r)_weighted_Be-Li,g(r)_weighted_Li-Li,g(r)_weighted_Be-Be,g(r)_weighted_F-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.4583890138649324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.463371503146073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.46835399242721354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.47333648170835413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4783189709894947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.48330146027063525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.48828394955177584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4932664388329164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.49824892811405697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5032314173951975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5082139066763381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5131963959574787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5181788852386192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5231613745197599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5281438638009004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.5331263530820409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
