r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Na,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_Na-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.12754922507753877,0.0,0.003702087295042827,0.0005063453602183887,0.011787080164994024,0.00814096436561053,0.00036527424918375735,1.0,1.0,2.681336256722,3.76913
0.13505212067033517,0.0,0.004323248641382959,0.00063439626897491,0.013668255159681944,0.008136904908407013,0.00043332882558229835,1.0,1.0,2.681336256722,3.76913
0.14255501626313155,0.0,0.0049444099877230885,0.0007624471777314308,0.015549430154369858,0.008132845451203494,0.000501383401980839,1.0,1.0,2.681336256722,3.76913
0.15005791185592796,0.0,0.005565571334063221,0.0008904980864879521,0.01743060514905778,0.008128785993999977,0.00056943797837938,1.0,1.0,2.681336256722,3.76913
0.15756080744872436,0.0,0.006186732680403352,0.0010185489952444734,0.019311780143745697,0.00812472653679646,0.0006374925547779209,1.0,1.0,2.681336256722,3.76913
0.16506370304152074,0.0,0.0068078940267434825,0.0011465999040009942,0.020219268834671508,0.008120667079592943,0.0007055471311764617,1.0,1.0,2.681336256722,3.76913
0.17256659863431714,0.0,0.00685446598702942,0.0012746508127575156,0.02026888011702191,0.008116607622389424,0.0007736017075750026,1.0,1.0,2.681336256722,3.76913
0.18006949422711355,0.0,0.006850998607717659,0.0014027017215140368,0.020318491399372314,0.008112548165185907,0.0008108283559026947,1.0,1.0,2.681336256722,3.76913
0.18757238981990995,0.0,0.006847531228405899,0.0015307526302705582,0.02036810268172272,0.00810848870798239,0.0008369255951269489,1.0,1.0,2.681336256722,3.76913
0.19507528541270636,0.0,0.006844063849094139,0.0016588035390270794,0.020417713964073127,0.008104429250778871,0.0008630228343512032,1.0,1.0,2.681336256722,3.76913
0.20257818100550273,0.0,0.006840596469782378,0.001669588506824506,0.020467325246423532,0.008100369793575354,0.0008891200735754574,1.0,1.0,2.681336256722,3.76913
0.21008107659829914,0.0,0.006837129090470618,0.0016685631012671777,0.020516936528773937,0.008096310336371837,0.0009152173127997117,1.0,1.0,2.681336256722,3.76913
0.21758397219109554,0.0,0.006833661711158858,0.001667537695709849,0.02056654781112434,0.008092250879168318,0.000941314552023966,1.0,1.0,2.681336256722,3.76913
0.22508686778389192,0.0,0.006830194331847099,0.0016665122901525207,0.020616159093474744,0.008088191421964801,0.0009674117912482201,1.0,1.0,2.681336256722,3.76913
0.23258976337668832,0.0,0.006826726952535339,0.0016654868845951921,0.02066577037582515,0.008084131964761284,0.0009935090304724744,1.0,1.0,2.681336256722,3.76913
0.24009265896948473,0.0,0.006823259573223578,0.001664461479037864,0.020715381658175554,0.008080072507557766,0.0010196062696967289,1.0,1.0,2.681336256722,3.76913
0.24759555456228113,0.0,0.006819792193911818,0.0016634360734805356,0.02076499294052596,0.008076013050354248,0.001045703508920983,1.0,1.0,2.681336256722,3.76913
0.25509845015507754,0.0,0.006816324814600058,0.001662410667923207,0.020814604222876364,0.008071953593150731,0.0010718007481452375,1.0,1.0,2.681336256722,3.76913
0.2626013457478739,0.0,0.006812857435288298,0.0016613852623658786,0.020864215505226765,0.008067894135947213,0.0010978979873694915,1.0,1.0,2.681336256722,3.76913
0.27010424134067035,0.0,0.006809390055976537,0.00166035985680855,0.020913826787577174,0.008063834678743696,0.001123995226593746,1.0,1.0,2.681336256722,3.76913
0.2776071369334667,0.0,0.006805922676664777,0.0016593344512512219,0.02096343806992758,0.008059775221066934,0.001150092465818,1.0,1.0,2.681336256722,3.76913
0.2851100325262631,0.0,0.006802455297353017,0.0016583090456938933,0.021013049352277983,0.00805571575557132,0.0011761897050422544,1.0,1.0,2.681336256722,3.76913
0.29261292811905953,0.0,0.006798987918041257,0.001657283640136565,0.02106266063462839,0.008051656290075706,0.0012022869442665086,1.0,1.0,2.681336256722,3.76913
0.3001158237118559,0.0,0.006795520538729496,0.0016562582345792365,0.021112271916978793,0.008047596824580092,0.0012283841834907628,1.0,1.0,2.681336256722,3.76913
