r (A),g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
4.713383838222222,0.06404768550909999,1.3450013956910998,0.24196897149198873,1.270337100332941,0.7307422075747315,0.9590991474418352,0.009776669845957382,4.22417,0
4.721345635246246,0.06253663327227692,1.3132692987178154,0.24182860358164404,1.2696001688036314,0.7301286746168785,0.958293885434653,0.009776669845957382,4.22417,0
4.72930743227027,0.061025581035454024,1.2815372017445346,0.24168823567129938,1.2688632372743218,0.7295151416590254,0.9574886234274709,0.009776669845957382,4.22417,0
4.737269229294294,0.05913186882922878,1.2417692454138045,0.24154786776095472,1.2681263057450123,0.7289016087011723,0.9566833614202886,0.009776669845957382,4.22417,0
4.745231026318318,0.05711888147101324,1.199496510891278,0.24140749985061002,1.2673893742157027,0.7282880757433192,0.9558780994131065,0.009776669845957382,4.22417,0
4.753192823342342,0.055787017637853376,1.171527370394921,0.24126713194026536,1.2666524426863932,0.7276745427854661,0.9550728374059243,0.009776669845957382,4.22417,0
4.761154620366367,0.05450875687016237,1.1446838942734099,0.2411267640299207,1.2659155111570837,0.727061009827613,0.9542675753987421,0.009776669845957382,4.22417,0
4.76911641739039,0.053230496102471506,1.1178404181519017,0.240986396119576,1.2651785796277741,0.7265502588437004,0.9535972147323568,0.009776669845957382,4.22417,0
4.777078214414415,0.05190468967487157,1.089998483172303,0.24084602820923134,1.2644416480984646,0.7263907240888958,0.9533878253666759,0.009776669845957382,4.22417,0
4.785040011438438,0.050574316296253086,1.0620606422213148,0.24070566029888665,1.263704716569155,0.7262311893340914,0.9531784360009949,0.009776669845957382,4.22417,0
4.793001808462463,0.049290465802680504,1.0350997818562906,0.240565292388542,1.2629677850398455,0.7260716545792867,0.9529690466353139,0.009776669845957382,4.22417,0
4.800963605486486,0.048140840988864966,1.0109576607661643,0.24042492447819733,1.262230853510536,0.7259121198244822,0.952759657269633,0.009776669845957382,4.22417,0
4.808925402510511,0.04699121617504931,0.9868155396760355,0.2400441691612322,1.2602318880964691,0.7257525850696777,0.952550267903952,0.009776669845957382,4.22417,0
4.816887199534534,0.04584159136123378,0.9626734185859094,0.2394378941791592,1.257048944440586,0.7255930503148732,0.9523408785382711,0.009776669845957382,4.22417,0
4.824848996558559,0.04474695403777294,0.9396860347932319,0.23883161919708612,1.2538660007847022,0.7255327637651021,0.9522617524416965,0.009776669845957382,4.22417,0
