r (A),g(r)_weighted_U-U,g(r)_unweighted_U-U,g(r)_weighted_Na-U,g(r)_unweighted_Na-U,g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_U-F,S_i_Na-F,Average_SCL,lambda_BC
5.208168168168169,0.004357020521665828,0.4720705705705704,0.01369167439750958,0.4184099099099083,0.10082331759677286,1.4477477477477463,0.07025953676788935,0.6055900900900917,0.29921431271087995,1.2118318318318309,0.4504298206673492,0.8571831831831831,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.216156156156156,0.00434411848919858,0.4706726726726726,0.013240773496608715,0.4046306306306301,0.09998887445798196,1.4357657657657652,0.07185818541653788,0.6193693693693699,0.2972419925646469,1.2038438438438435,0.4500100704823817,0.8563843843843844,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.2241441441441445,0.0043608592574267665,0.47248648648648683,0.013193310243882348,0.403180180180181,0.09915443131919097,1.4237837837837828,0.0728678582472633,0.6280720720720724,0.29603709773847064,1.1989639639639638,0.45182241291634917,0.8598333333333339,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.232132132132133,0.004405094797314482,0.4772792792792798,0.013520050027143883,0.4131651651651663,0.09831998818039997,1.4118018018018004,0.07333123466716149,0.6320660660660665,0.29554401770191235,1.1969669669669667,0.45570510212729937,0.867222222222223,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.24012012012012,0.004449330337202192,0.48207207207207226,0.01384678981040538,0.42315015015015056,0.09748554504160908,1.3998198198198195,0.0737946110870596,0.6360600600600602,0.29505093766535406,1.1949699699699698,0.4595877913382491,0.8746111111111113,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.2481081081081085,0.004493565877089907,0.4868648648648652,0.014173529593666913,0.43313513513513585,0.09665110190281809,1.387837837837837,0.07425798750695778,0.6400540540540544,0.29455785762879577,1.1929729729729728,0.46347048054919937,0.8820000000000006,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.256096096096097,0.004537801416977623,0.4916576576576582,0.014500269376928446,0.4431201201201212,0.09581665876402709,1.3758558558558547,0.07472136392685595,0.6440480480480485,0.2940647775922374,1.1909759759759757,0.46735316976014957,0.8893888888888897,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.264084084084084,0.004637636263265558,0.502474474474475,0.014553039080270192,0.44473273273273256,0.09469779390374351,1.3597897897897893,0.07508997464283505,0.6472252252252253,0.29306749541303306,1.1869369369369367,0.4691970723583996,0.8928978978978979,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.272072072072072,0.0047906175053772405,0.5190495495495506,0.01434392561898281,0.43834234234234193,0.09330705533909187,1.3398198198198186,0.07536800049477396,0.6496216216216218,0.29158825530335813,1.1809459459459455,0.46909213481215767,0.8926981981981982,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.280060060060061,0.004943598747488924,0.5356246246246263,0.014134812157695428,0.4319519519519513,0.0919163167744402,1.3198498498498479,0.07564602634671286,0.6520180180180183,0.2901090151936832,1.1749549549549543,0.4689871972659158,0.8924984984984985,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.288048048048048,0.005096579989600588,0.5521996996997001,0.013925698696408069,0.4255615615615614,0.0905255782097887,1.2998798798798794,0.07592405219865174,0.6544144144144145,0.2886297750840084,1.1689639639639637,0.4688822597196739,0.8922987987987988,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.296036036036036,0.005249561231712271,0.5687747747747758,0.013716585235120687,0.41917117117117075,0.08913483964513703,1.2799099099099087,0.07620207805059064,0.6568108108108109,0.28715053497433346,1.1629729729729725,0.46877732217343204,0.8920990990990991,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.304024024024025,0.005123063108875427,0.5550690690690648,0.013731325375718986,0.4196216216216223,0.0887949975146772,1.275030030030031,0.07628168820994906,0.6574969969969969,0.284926113756777,1.1539639639639627,0.47020541960725054,0.8948168168168174,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.312012012012012,0.004721256954895389,0.5115345345345336,0.013966578019667265,0.42681081081081096,0.08949036679700297,1.2850150150150152,0.07616584410497453,0.6564984984984985,0.2819676335374275,1.1419819819819816,0.47314367090202336,0.9004084084084085,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.32,0.004319450800915309,0.46799999999999753,0.014201830663615569,0.4340000000000004,0.0901857360793288,1.2950000000000006,0.07604999999999998,0.6555,0.27900915331807763,1.1299999999999994,0.4760819221967965,0.9060000000000004,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.327987987987989,0.003917644646935228,0.4244654654654615,0.014437083307563875,0.44118918918918987,0.09088110536165463,1.304984984984986,0.07593415589502545,0.6545015015015014,0.2760506730987277,1.118018018018017,0.4790201734915696,0.9115915915915921,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.335975975975976,0.003515838492955191,0.3809309309309302,0.014672335951512154,0.4483783783783785,0.09157647464398037,1.3149699699699702,0.07581831179005091,0.653503003003003,0.2730921928793782,1.106036036036036,0.48195842478634243,0.9171831831831833,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.343963963963964,0.0034972684354835568,0.37891891891892093,0.01456709134764052,0.4451621621621615,0.09185775936119185,1.319009009009009,0.07524257529841048,0.6485405405405401,0.27209120333147796,1.1019819819819823,0.48307407659375623,0.9193063063063063,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.3519519519519525,0.003867741082043173,0.419058558558562,0.014116190446739604,0.43138288288288174,0.09171868550472669,1.317012012012012,0.07419997835363958,0.6395540540540533,0.2730773634045946,1.1059759759759764,0.48233951377006296,0.9179084084084084,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
5.35993993993994,0.004238213728602748,0.45919819819819857,0.013665289545838738,0.4176036036036035,0.09157961164826153,1.315015015015015,0.07315738140886881,0.6305675675675675,0.2740635234777111,1.10996996996997,0.48160495094636974,0.9165105105105106,5.9917133723361964e-33,0.0001804689854489956,2.83009,0
