r (A),g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
1.080477633057057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0901247547807806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0997718765045044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.109418998228228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1190661199519518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1287132416756755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1383603633993993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.148007485123123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1576546068468467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1673017285705705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1769488502942942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.186595972018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.1962430937417416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2058902154654654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.215537337189189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2251844589129128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2348315806366366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2444787023603603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.254125824084084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2637729458078077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2734200675315315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.2830671892552552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.292714310978979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3023614327027027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3120085544264264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3216556761501501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3313027978738738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3409499195975976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3505970413213213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.360244163045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3698912847687688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3795384064924925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.3891855282162162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.39883264993994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4084797716636637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4181268933873874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4277740151111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4374211368348349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4470682585585584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.456715380282282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4663625020060058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
