r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
1.1771398337137138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.192040337937938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2069408421621621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2218413463863864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2367418506106107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2516423548348348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.266542859059059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2814433632832833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.2963438675075076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.3112443717317317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.326144875955956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.3410453801801803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.3559458844044043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.3708463886286286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.385746892852853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4006473970770772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4155479013013013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4304484055255255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4453489097497498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.460249413973974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4751499181981982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.4900504224224225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.5049509266466468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.5198514308708708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.534751935095095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.5496524393193194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.5645529435435435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.5794534477677677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.594353951991992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.6092544562162163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.6241549604404404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.6390554646646647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.653955968888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.668856473113113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.6837569773373373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.6986574815615616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.7135579857857859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.72845849001001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.7433589942342342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.7582594984584585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.7731600026826828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.7880605069069069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.8029610111311312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.8178615153553555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
