r (A),g(r)_weighted_U-Cl,g(r)_unweighted_U-Cl,g(r)_weighted_U-U,g(r)_unweighted_U-U,g(r)_weighted_K-U,g(r)_unweighted_K-U,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_U-Cl,S_i_K-Cl,Average_SCL,lambda_BC
3.6122594811021025,0.023304920712435787,0.2621803580149026,0.00015681050255003537,0.007056472614751592,0.010102836510387568,0.15154254765581351,0.3961919362646603,1.4857197609924762,0.07427799950090865,0.3713899975045432,0.5419712646404493,1.5242941818012636,0.00024424787378691035,0.1400508106345791,3.32037,0
3.620233563841842,0.02277605987489301,0.25623067359254637,0.00017196914225205774,0.007738611401342598,0.010502225808659435,0.15753338712989154,0.39124718767179695,1.4671769537692385,0.07555245989229716,0.37776229946148576,0.5463441025164348,1.5365927883274728,0.00024424787378691035,0.1400508106345791,3.32037,0
3.628207646581582,0.022247199037350205,0.2502809891701898,0.00018712778195408095,0.008420750187933642,0.010901615106931325,0.16352422660396987,0.3863024390789333,1.448634146546,0.07726051914813646,0.38630259574068226,0.5502631441319475,1.5476150928711025,0.00024424787378691035,0.1400508106345791,3.32037,0
3.6361817293213217,0.02172832827290954,0.2444436930702323,0.00020228642165610416,0.009102888974524687,0.011301004405203215,0.16951506607804823,0.3813576904860697,1.4300913393227614,0.07899414607690253,0.39497073038451264,0.5541821857474604,1.558637397414732,0.00024424787378691035,0.1400508106345791,3.32037,0
3.6441558120610615,0.021279387300262735,0.23939310712795575,0.00021744506135812738,0.009785027761115731,0.011790013663334797,0.17685020495002196,0.3763668360530422,1.4113756351989084,0.08072777300566861,0.403638865028343,0.5573559491533232,1.5675636069937213,0.00024424787378691035,0.1400508106345791,3.32037,0
3.652129894800801,0.020830446327615954,0.23434252118567947,0.00023260370106014972,0.010467166547706738,0.012289287605277505,0.18433931407916257,0.371259339111641,1.3922225216686537,0.08246139993443458,0.4123069996721729,0.5596725118611742,1.5740789396095523,0.00024424787378691035,0.1400508106345791,3.32037,0
3.660103977540541,0.02038150535496915,0.2292919352434029,0.00024776234076217293,0.01114930533429778,0.012788561547220238,0.19182842320830357,0.36615184217023944,1.3730694081383978,0.08437708387050967,0.4218854193525483,0.5619890745690252,1.5805942722253834,0.00024424787378691035,0.1400508106345791,3.32037,0
3.6680780602802807,0.019932564382322344,0.22424134930112635,0.00026292098046419614,0.011831444120888825,0.013287835489162972,0.1993175323374446,0.3610443452288379,1.353916294608142,0.08658245662156616,0.43291228310783075,0.5643056372768764,1.5871096048412148,0.00024424787378691035,0.1400508106345791,3.32037,0
3.67605214302002,0.019483623409675563,0.21919076335885007,0.0002780796201662185,0.012513582907479831,0.013764864150349224,0.20647296225523837,0.3559368482874366,1.3347631810778873,0.08878782937262253,0.44393914686311264,0.5663309887791845,1.5928059059414563,0.00024424787378691035,0.1400508106345791,3.32037,0
3.68402622575976,0.019034682437028758,0.2141401774165735,0.0002932382598682417,0.013195721694070876,0.014189556801667804,0.21284335202501706,0.35082935134603505,1.3156100675476314,0.09099320212367903,0.45496601061839514,0.5681429382666235,1.5979020138748787,0.00024424787378691035,0.1400508106345791,3.32037,0
3.6920003084995,0.018645626462022082,0.20976329769774843,0.0003083968995702649,0.01387786048066192,0.014614249452986382,0.21921374179479575,0.3457218544046335,1.2964569540173756,0.09334900985971517,0.46674504929857585,0.5699548877540628,1.6029981218083014,0.00024424787378691035,0.1400508106345791,3.32037,0
3.6999743912392393,0.018340823476485617,0.20633426411046318,0.00032355553927228725,0.014559999267252927,0.015038942104304938,0.22558413156457408,0.3406143574632322,1.2773038404871209,0.09579619708201226,0.4789809854100613,0.5717668372415017,1.6080942297417236,0.00024424787378691035,0.1400508106345791,3.32037,0
3.707948473978979,0.018036020490949132,0.20290523052317772,0.00033871417897431047,0.015242138053843972,0.015463634755623516,0.23195452133435274,0.33550686052183065,1.258150726956865,0.0982433843043095,0.49121692152154744,0.5735787867289408,1.613190337675146,0.00024424787378691035,0.1400508106345791,3.32037,0
3.715922556718719,0.017731217505412646,0.19947619693589225,0.0003538728186763337,0.015924276840435014,0.01634282729793024,0.2451424094689536,0.33039936358042915,1.2389976134266094,0.10065006147241778,0.5032503073620889,0.5753975873534967,1.6183057144317095,0.00024424787378691035,0.1400508106345791,3.32037,0
3.723896639458459,0.017421808877341925,0.19599534987009665,0.0003690314583783569,0.01660641562702606,0.017267879302085388,0.2590181895312808,0.32649137200632256,1.2243426450237096,0.10249618419906435,0.5124809209953217,0.5772194361970545,1.6234296643042159,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7318707221981984,0.017050102871502014,0.19181365730439764,0.00038419009808037923,0.017288554413617065,0.018192931306240487,0.2728939695936073,0.32409033412638844,1.2153387529739565,0.10434230692571081,0.521711534628554,0.5790412850406124,1.628553614176722,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7398448049379382,0.01667839686566208,0.1876319647386984,0.00039934873778240244,0.01797069320020811,0.019052893590256626,0.2857934038538494,0.3216892962464541,1.2063348609242028,0.10618842965235736,0.5309421482617868,0.5808631338841702,1.6336775640492287,0.00024424787378691035,0.1400508106345791,3.32037,0
3.747818887677678,0.01630669085982215,0.18345027217299917,0.00046409618427036714,0.02088432829216652,0.019794387781453895,0.29691581672180845,0.31928825836651975,1.1973309688744491,0.10803455237900393,0.5401727618950196,0.582526886452727,1.6383568681482945,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7557929704174176,0.015934984853982235,0.17926857960730014,0.0005390441153493615,0.024256985190721267,0.02053588197265112,0.30803822958976684,0.3168872204865856,1.1883270768246958,0.10971519348625412,0.5485759674312706,0.5840412258309459,1.6426159476495352,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7637670531571574,0.01563609097802224,0.17590602350275023,0.00061399204642836,0.0276296420892762,0.021296696535486527,0.3194504480322979,0.31448618260665123,1.1793231847749421,0.11137441222151429,0.5568720611075714,0.5855555652091649,1.6468750271507762,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7717411358968973,0.015450465250982396,0.17381773407355194,0.0006889399775073585,0.031002298987831134,0.022126434894832594,0.33189652342248893,0.3120851447267169,1.1703192927251884,0.11303363095677442,0.5651681547838721,0.5870699045873838,1.651134106652017,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7797152186366367,0.01526483952394256,0.1717294446443538,0.000763887908586353,0.03437495588638588,0.022956173254178612,0.3443425988126792,0.3096841068467827,1.1613154006754351,0.11469284969203448,0.5734642484601724,0.5885842439656028,1.6553931861532578,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7876893013763766,0.015079213796902717,0.16964115521515555,0.0008388358396653516,0.03774761278494082,0.02386450195436846,0.3579675293155269,0.30728306896684837,1.1523115086256814,0.11644795211177006,0.5822397605588503,0.5893548852458408,1.657560614753927,0.00024424787378691035,0.1400508106345791,3.32037,0
3.7956633841161165,0.014893588069862868,0.16755286578595727,0.00091378377074435,0.04112026968349575,0.024963083707166673,0.3744462556075001,0.30488203108691403,1.1433076165759277,0.11830116206076474,0.5915058103038237,0.5898430273704474,1.658933514479383,0.00024424787378691035,0.1400508106345791,3.32037,0
3.8036374668558564,0.014766454902714601,0.16612261765553926,0.0009887317018233486,0.04449292658205069,0.026061665459964887,0.39092498189947333,0.3024809932069798,1.1343037245261742,0.12015437200975941,0.600771860048797,0.5903311694950538,1.660306414204839,0.00024424787378691035,0.1400508106345791,3.32037,0
3.811611549595596,0.014662718192051952,0.16495557966058447,0.001063679632902343,0.047865583480605434,0.02723051763572358,0.4084577645358537,0.30007995532704557,1.125299832476421,0.12200758195875397,0.6100379097937698,0.5908193116196605,1.661679313930295,0.00024424787378691035,0.1400508106345791,3.32037,0
3.8195856323353357,0.014558981481389297,0.1637885416656296,0.0011386275639813414,0.05123824037916036,0.02841875280697494,0.4262812921046241,0.2976789174471113,1.1162959404266672,0.12396875853585293,0.6198437926792646,0.591307453744267,1.6630522136557508,0.00024424787378691035,0.1400508106345791,3.32037,0
3.8275597150750755,0.014455244770726645,0.16262150367067474,0.00121357549506034,0.0546108972777153,0.02957818436515404,0.4436727654773106,0.29527787956717694,1.1072920483769135,0.12602905706923812,0.6301452853461905,0.5917955958688735,1.664425113381207,0.00024424787378691035,0.1400508106345791,3.32037,0
3.835533797814815,0.014349273140880003,0.16142932283490002,0.0012885234261393345,0.05798355417627005,0.030661783401056707,0.4599267510158506,0.2928768416872427,1.0982881563271603,0.1280893556026232,0.6404467780131159,0.5921935402666667,1.665544332,0.00024424787378691035,0.1400508106345791,3.32037,0
3.843507880554555,0.014185979954663716,0.1595922744899668,0.0013634713572183328,0.06135621107482497,0.031745382436959436,0.4761807365543916,0.2904758038073084,1.0892842642774065,0.13014965413600837,0.6507482706800418,0.5921935402666667,1.665544332,0.00024424787378691035,0.1400508106345791,3.32037,0
3.8514819632942947,0.014022686768447432,0.1577552261450336,0.0014384192882973316,0.06472886797337991,0.0328582214481438,0.492873321722157,0.2880747659273741,1.0802803722276528,0.13217549047021462,0.6608774523510731,0.5921935402666667,1.665544332,0.00024424787378691035,0.1400508106345791,3.32037,0
