r (A),g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
4.64908371967968,0.04037351628085686,1.2590267078787418,0.36715831154747186,0.8184736838344265,0.23978214268853731,1.2476175147432116,0.15276657181335726,1.1922963602998058,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.654753333971972,0.040523646779455434,1.263708447910694,0.36661516230664715,0.8172628890736161,0.23939693181735125,1.2456132127365125,0.15303547549242488,1.1943950712548128,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.660422948264265,0.04067377727805403,1.268390187942647,0.3660720130658223,0.8160520943128055,0.23901172094616516,1.2436089107298134,0.15330437917149256,1.1964937822098203,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.666092562556557,0.04082390777665261,1.273071927974599,0.3655288638249976,0.814841299551995,0.23862651007497912,1.2416046087231145,0.1535732828505602,1.1985924931648273,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.6717621768488495,0.04097278869192795,1.277714700412876,0.3649857145841728,0.8136305047911844,0.238241299203793,1.2396003067164152,0.15368652935950838,1.1994763475240162,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.677431791141141,0.04109703461759161,1.2815892437562764,0.36444256534334807,0.8124197100303739,0.23778506433663893,1.2372264576686263,0.15373824159878044,1.1998799457322835,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.683101405433434,0.04122128054325529,1.2854637870996775,0.36389941610252324,0.8112089152695633,0.2372128835344097,1.2342493269179504,0.1537899538380525,1.200283543940551,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.688771019725726,0.041345526468918946,1.2893383304430779,0.36343766288092166,0.8101795694848696,0.23664070273218057,1.231272196167275,0.15384166607732455,1.2006871421488183,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.694440634018019,0.041469772394582625,1.293212873786479,0.36311177331202193,0.8094530925739797,0.23606852192995137,1.2282950654165992,0.15389337831659658,1.2010907403570856,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.7001102483103105,0.041594018320246284,1.2970874171298794,0.3627858837431223,0.80872661566309,0.23549634112772225,1.2253179346659238,0.15394509055586864,1.201494338565353,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.705779862602603,0.04171826424590996,1.3009619604732803,0.36245999417422264,0.8080001387522001,0.23492416032549301,1.222340803915248,0.15399680279514066,1.2018979367736202,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.711449476894895,0.041842510171573616,1.3048365038166807,0.362134104605323,0.8072736618413104,0.2343519795232639,1.2193636731645725,0.15405228185032774,1.2023309338278005,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.717119091187188,0.041950546614891636,1.3082055630439076,0.3618082150364233,0.8065471849304205,0.23377979872103463,1.2163865424138964,0.15411433655488072,1.20281525181373,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.72278870547948,0.04205149642840301,1.3113536294764183,0.36148232546752374,0.8058207080195309,0.2332076179188055,1.213409411663221,0.15417639125943366,1.2032995697996594,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.7284583197717724,0.04215244624191438,1.3145016959089293,0.36116205668149864,0.8051067610248127,0.2326354371165763,1.2104322809125452,0.15423844596398661,1.2037838877855886,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.734127934064064,0.04225339605542575,1.31764976234144,0.3610896367908569,0.8049453217415058,0.23206325631434715,1.2074551501618698,0.15430050066853962,1.2042682057715182,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.739797548356357,0.042354345868937125,1.320797828773951,0.36101721690021527,0.8047838824581989,0.23149107551211795,1.204478019411194,0.15436255537309257,1.2047525237574475,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
