r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Ca-Li,g(r)_unweighted_Ca-Li,g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Li-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
8.543708543708545,0.12328946906182837,0.9510901899055332,0.0553368171674324,0.9960627090137831,0.2524148746624473,1.0484925562901657,0.026182833035192546,1.099678987478087,0.09907254496042239,0.9602415896164017,0.40360940572879456,0.902747664884523,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.553608553608555,0.12325213280693958,0.9508021673678198,0.05526423613069809,0.9947562503525655,0.25263854438549893,1.0494216459089956,0.026055938152867678,1.0943494024204425,0.09930380424165518,0.9624830257268118,0.4032896259004737,0.9020324176945508,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.563508563508565,0.1232147965520508,0.9505141448301062,0.05519165509396378,0.993449791691348,0.2528622141085506,1.0503507355278257,0.02592904327054281,1.089019817362798,0.09953506352288796,0.9647244618372218,0.40239317756673953,0.900027343906672,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.573408573408575,0.12317746029716202,0.9502261222923928,0.05511907405722947,0.9921433330301304,0.2530858838316023,1.0512798251466557,0.02580214838821794,1.0836902323051536,0.09976632280412073,0.9669658979476318,0.40149672923300544,0.8980222701187934,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.583308583308584,0.12326172991575582,0.9508762022072592,0.055046493020495156,0.9908368743689128,0.2533836643345594,1.0525167595435545,0.025675253505893073,1.0783606472475091,0.09999758208535352,0.9692073340580418,0.40060028089927135,0.8960171963309148,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.593208593208594,0.12335494888434614,0.951595319964956,0.05495898980487678,0.989261816487782,0.2536868988775962,1.0537763491838612,0.025548358623568204,1.0730310621898647,0.1002288413665863,0.9714487701684519,0.3997038325655372,0.8940121225430361,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.603108603108604,0.1234481678529365,0.952314437722653,0.05484205520092117,0.9871569936165809,0.2539901334206329,1.0550359388241677,0.025421463741243336,1.0677014771322202,0.10046010064781907,0.9736902062788618,0.3988073842318031,0.8920070487551575,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.613008613008613,0.12354138682152682,0.9530335554803498,0.054725120596965555,0.9850521707453799,0.2542933679636697,1.0562955284644742,0.02531386968584901,1.0631825268056585,0.10069135992905186,0.9759316423892719,0.39791093589806903,0.8900019749672788,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.622908622908623,0.12363460579011717,0.9537526732380468,0.054608185993009935,0.9829473478741788,0.2545966025067065,1.0575551181047809,0.02521300696799883,1.058946292655951,0.10092478197597181,0.9781940406901883,0.3970144875643349,0.8879969011794001,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
8.632808632808635,0.12372782475870751,0.9544717909957438,0.0544912513890543,0.9808425250029773,0.2548998370497433,1.0588147077450876,0.025112144250148637,1.0547100585062428,0.10117081347752163,0.9805786537052097,0.3961180392306006,0.8859918273915212,2.6425957903916956e-05,3.1135283600097435e-13,2.76694,0
