r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ce-Cl,g(r)_unweighted_Ce-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Ce-Cl,Average_SCL,lambda_BC
0.8498242834074075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8567900562222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8637558290370371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8707216018518519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8776873746666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8846531474814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8916189202962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8985846931111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9055504659259259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9125162387407407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9194820115555555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9264477843703703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9334135571851851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.94037933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9473451028148148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9543108756296297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9612766484444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9682424212592593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9752081940740741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9821739668888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9891397397037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.9961055125185185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
1.0030712853333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
1.0100370581481481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
1.017002830962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
1.0239686037777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
1.0309343765925927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
