r (A),g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.863965209009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8749014774774775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8858377459459459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8967740144144144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9077102828828828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9186465513513513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9295828198198197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9405190882882882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9514553567567567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9623916252252251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9733278936936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9842641621621621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.9952004306306306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.006136699099099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0170729675675676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.028009236036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0389455045045044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0498817729729728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0608180414414414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0717543099099098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0826905783783782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.0936268468468469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1045631153153153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1154993837837837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1264356522522523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1373719207207207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.148308189189189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1592444576576575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1701807261261261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.1811169945945945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.192053263063063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2029895315315315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2139258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2248620684684683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.235798336936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2467346054054054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2576708738738738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2686071423423422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2795434108108108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.2904796792792792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3014159477477476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3123522162162162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3232884846846846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.334224753153153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3451610216216217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.35609729009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3670335585585585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3779698270270269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3889060954954955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.3998423639639639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4107786324324323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.421714900900901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4326511693693693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4435874378378377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4545237063063061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4654599747747747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4763962432432431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4873325117117115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.4982687801801802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5092050486486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.520141317117117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5310775855855856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.542013854054054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5529501225225224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5638863909909908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5748226594594594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5857589279279278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.5966951963963962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6076314648648649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6185677333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6295040018018017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6404402702702703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6513765387387387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.662312807207207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6732490756756755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6841853441441441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.6951216126126125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.706057881081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7169941495495495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.727930418018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7388666864864863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.749802954954955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7607392234234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7716754918918918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7826117603603602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.7935480288288288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8044842972972972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8154205657657656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8263568342342342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8372931027027026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.848229371171171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8591656396396394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.870101908108108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8810381765765765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.8919744450450449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9029107135135135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9138469819819819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9247832504504503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.935719518918919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9466557873873873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9575920558558557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9685283243243241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9794645927927927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
1.9904008612612611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.0013371297297295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.012273398198198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.0232096666666664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.034145935135135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.0450822036036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.056018472072072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.0669547405405404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.077891009009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.088827277477477,0.05769076028388205,0.20191766099358716,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.0997635459459456,0.07508832001573185,0.2628091200550614,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1106998144144145,0.09248587974758231,0.32370057911653805,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.121636082882883,0.12471452936427793,0.4365008527749727,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1325723513513513,0.1747342125095022,0.6115697437832576,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1435086198198197,0.22648151713337636,0.7926853099668172,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.154444888288288,0.31565119936019825,1.1047791977606938,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1653811567567565,0.37429573520218024,1.3100350732076307,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1763174252252253,0.43151080227160016,1.5102878079506004,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.1872536936936937,0.5022182807274105,1.7577639825459364,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.198189962162162,0.54395428695214,1.9038400043324897,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2091262306306305,0.590817444571948,2.0678610560018176,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.220062499099099,0.6717758613780435,2.351215514823152,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2309987675675673,0.740095985441131,2.590335949043958,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2419350360360357,0.8732362389619626,3.0563268363668685,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2528713045045046,0.9687182041481999,3.390513714518699,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.263807572972973,1.030635022528436,3.6072225788495254,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2747438414414414,1.1259340172094698,3.940769060233144,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.2856801099099098,1.2264372748782733,4.292530462073956,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.296616378378378,1.2931322972990567,4.5259630405466975,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.3075526468468466,1.3925436797571218,4.8739028791499255,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.318488915315315,1.4705965658185944,5.14708798036508,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.329425183783784,1.5216736295941284,5.325857703579449,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.3403614522522522,1.5645575418672255,5.475951396535288,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.3512977207207206,1.6193452213598123,5.667708274759343,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.362233989189189,1.6749686101113215,5.862390135389624,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.3731702576576574,1.7056066926410833,5.969623424243791,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.384106526126126,1.7095737358171221,5.983508075359927,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.3950427945945947,1.7135407789931616,5.997392726476065,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.405979063063063,1.7175078221692004,6.011277377592201,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.4169153315315315,1.7214748653452396,6.025162028708338,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.4278516,1.7254419085212789,6.039046679824475,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
2.4387878684684683,1.729408951697318,6.052931330940612,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.4497241369369367,1.7021552418336845,5.957543346417895,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.460660405405405,1.6599237809616774,5.80973323336587,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.471596673873874,1.6174738057229878,5.661158320030457,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.4825329423423423,1.5636405818509007,5.472742036478151,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.4934692108108107,1.5150762426004265,5.302766849101492,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.504405479279279,1.4641148838077662,5.124402093327181,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.5153417477477475,1.416933526507707,4.959267342776974,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.526278016216216,1.3847114705921073,4.846490147072375,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.5372142846846844,1.3314064005769506,4.659922402019326,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.548150553153153,1.2667313316905024,4.433559660916758,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.5590868216216216,1.2068913518785505,4.224119731574926,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.57002309009009,1.1583151426631373,4.05410299932098,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
2.5809593585585584,1.1131342790082495,3.895969976528873,0.0,0.0,0.0,0.0,0.8571964363864817,4.53692,4.76796
