r (A),g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-K,g(r)_unweighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
3.139503348308308,0.007502580145308016,0.05418266851752532,0.01379961108465458,0.05581526780654907,0.0022693921481256145,0.041728678452235206,0.2258434483103886,0.5115994646534493,0.12437995711579898,1.2808902052977431,0.0006661095168410643,0.03118502218771807,1.0,0.0012888078547954908,4.00596,0
3.154312326366366,0.00769424495607619,0.0555668471210449,0.014625155700825164,0.05915434697009561,0.002202932277137895,0.040506640829202904,0.24233313426504277,0.548953280182826,0.11746891390413457,1.2097188705949273,0.0006365334750511742,0.029800370721069423,1.0,0.0012888078547954908,4.00596,0
3.1691213044244244,0.00788590976684437,0.05695102572456452,0.015450700316995773,0.06249342613364225,0.0021578332688715765,0.039677378237449316,0.2588228202196975,0.5863070957122039,0.11055787069246995,1.1385475358921093,0.0006069574332612832,0.028415719254420733,1.0,0.0012888078547954908,4.00596,0
3.1839302824824824,0.008077574577612543,0.0583352043280841,0.01627624493316636,0.06583250529718879,0.0021800815605495924,0.040086470958736055,0.27556829286863693,0.6242403406509384,0.10364682748080553,1.0673762011892935,0.0005773813914713929,0.027031067787772083,1.0,0.0012888078547954908,4.00596,0
3.1987392605405405,0.008269284540071122,0.0597197090113025,0.01710178954933694,0.06917158446073532,0.0022023298522276086,0.04049556368002279,0.29288990636576756,0.6634787080171984,0.09829604025790337,1.012272701370052,0.0005478053496815027,0.025646416321123435,1.0,0.0012888078547954908,4.00596,0
3.2135482385985985,0.009074086018033027,0.0655318817383203,0.017927334165507527,0.07251066362428187,0.0022245781439056245,0.04090465640130953,0.31021151986289813,0.7027170753834584,0.09384746768213756,0.9664603922811402,0.0005182293078916125,0.024261764854474788,1.0,0.0012888078547954908,4.00596,0
3.2283572166566565,0.009878887495994932,0.07134405446533808,0.018752878781678115,0.07584974278782841,0.0022468264355836403,0.04131374912259627,0.32753313336002876,0.7419554427497184,0.08939889510637174,0.9206480831922284,0.0004886532661017223,0.022877113387826137,1.0,0.0012888078547954908,4.00596,0
3.2431661947147146,0.010683688973956837,0.07715622719235586,0.0196414052455984,0.07944356454357815,0.002269074727261656,0.04172284184388301,0.34485474685715933,0.7811938101159783,0.08495032253060592,0.8748357741033164,0.00045907722431183225,0.021492461921177493,1.0,0.0012888078547954908,4.00596,0
3.2579751727727726,0.011488490451918743,0.08296839991937364,0.021504655506499982,0.08697985028850698,0.002291323018939672,0.04213193456516975,0.3621763603542899,0.8204321774822383,0.0805017499548401,0.8290234650144045,0.00045005957407728316,0.02107028566406722,1.0,0.0012888078547954908,4.00596,0
3.2727841508308306,0.01229329192988065,0.08878057264639144,0.023367905767401564,0.09451613603343581,0.002313571310617688,0.04254102728645649,0.37805719989606645,0.8564067832040483,0.07605317737907427,0.7832111559254926,0.00044936360385887825,0.021037702663593248,1.0,0.0012888078547954908,4.00596,0
3.2875931288888887,0.013098093407842555,0.09459274537340923,0.02523115602830315,0.10205242177836465,0.002335819602295704,0.04295012000774323,0.39392267556043775,0.8923465853859976,0.07231208711269084,0.7446846441750188,0.0004486676336404733,0.021005119663119277,1.0,0.0012888078547954908,4.00596,0
3.3024021069469467,0.01390289488580446,0.10040491810042701,0.02709440628920473,0.10958870752329349,0.00235806789397372,0.04335921272902997,0.409788151224809,0.928286387567947,0.06979697902021316,0.718783547281084,0.0004479716634220683,0.020972536662645303,1.0,0.0012888078547954908,4.00596,0
3.3172110850050047,0.014707696363766365,0.1062170908274448,0.02895765655010631,0.11712499326822232,0.0023803161856517357,0.04376830545031671,0.42565362688918035,0.9642261897498965,0.06728187092773547,0.6928824503871491,0.0004472756932036634,0.020939953662171332,1.0,0.0012888078547954908,4.00596,0
3.3320200630630628,0.01554901916046491,0.11229301581949738,0.030820906811007895,0.12466127901315116,0.002453373638810981,0.04511165678513971,0.4415191025535516,1.0001659919318457,0.06476676283525776,0.6669813534932142,0.0004465797229852584,0.02090737066169736,1.0,0.0012888078547954908,4.00596,0
