r (A),g(r)_weighted_Na-F,g(r)_unweighted_Na-F,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
1.4657729481786108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4785187999019032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4912646516251955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5040105033484876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.51675635507178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5295022067950723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5422480585183644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5549939102416568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5677397619649491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5804856136882413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.5932314654115336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.605977317134826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.618723168858118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6314690205814104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6442148723047028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6569607240279949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6697065757512872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6824524274745796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.6951982791978717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.707944130921164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.7206899826444564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.7334358343677485,0.006074601740055901,0.018223805220167703,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.7461816860910409,0.010818695795498962,0.032456087386496885,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.7589275378143332,0.015562789850942026,0.04668836955282608,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
