r (A),g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
6.640138718036035,0.34708896937229994,1.0412669081169,0.3493707336782764,1.0481122010348294,0.34341779067207995,1.03025337201624,0.07337674233589517,4.63732,0
6.64810051506006,0.3467186746352538,1.0401560239057615,0.3483329068035529,1.0449987204106588,0.34322255214288155,1.0296676564286447,0.07337674233589517,4.63732,0
6.656062312084083,0.34634837989820766,1.039045139694623,0.3473388980879276,1.042016694263783,0.3430273136136832,1.0290819408410496,0.07337674233589517,4.63732,0
6.664024109108108,0.34597808516116146,1.0379342554834845,0.3463867116228744,1.0391601348686232,0.34283207508448477,1.0284962252534544,0.07337674233589517,4.63732,0
6.671985906132132,0.3456077904241153,1.036823371272346,0.34543452515782125,1.0363035754734637,0.3426368365552864,1.0279105096658592,0.07337674233589517,4.63732,0
6.679947703156156,0.3452374956870692,1.0357124870612076,0.3444823386927681,1.0334470160783045,0.34244159802608803,1.0273247940782642,0.07337674233589517,4.63732,0
6.68790950018018,0.344867200950023,1.034601602850069,0.343530152227715,1.030590456683145,0.34224635949688964,1.026739078490669,0.07337674233589517,4.63732,0
6.695871297204204,0.34449690621297685,1.0334907186389306,0.34257796576266186,1.0277338972879857,0.3421625462364952,1.0264876387094857,0.07337674233589517,4.63732,0
6.703833094228228,0.3441266114759307,1.0323798344277921,0.34162577929760873,1.0248773378928262,0.34210308946872325,1.0263092684061699,0.07337674233589517,4.63732,0
6.711794891252252,0.3435000218263811,1.0305000654791434,0.3406735928325556,1.022020778497667,0.34204363270095134,1.026130898102854,0.07337674233589517,4.63732,0
6.719756688276276,0.342666858663014,1.028000575989042,0.3397214063675025,1.0191642191025074,0.3419841759331794,1.0259525277995383,0.07337674233589517,4.63732,0
6.7277184853003,0.34183369549964704,1.0255010864989411,0.33876921990244935,1.0163076597073482,0.34192471916540745,1.0257741574962225,0.07337674233589517,4.63732,0
6.735680282324324,0.3410005323362799,1.0230015970088397,0.3378170334373961,1.0134511003121884,0.34186526239763554,1.0255957871929067,0.07337674233589517,4.63732,0
6.743642079348348,0.34016736917291285,1.0205021075187386,0.3368648469723431,1.0105945409170294,0.34182624401697925,1.0254787320509378,0.07337674233589517,4.63732,0
6.751603876372372,0.3393342060095457,1.0180026180286372,0.33591266050728985,1.0077379815218697,0.34196309222122034,1.0258892766636611,0.07337674233589517,4.63732,0
6.759565673396396,0.33850104284617877,1.0155031285385363,0.3349604740422368,1.0048814221267104,0.34209994042546155,1.0262998212763847,0.07337674233589517,4.63732,0
6.76752747042042,0.33766787968281164,1.013003639048435,0.3340082875771836,1.002024862731551,0.3422367886297027,1.0267103658891081,0.07337674233589517,4.63732,0
6.775489267444444,0.3368347165194446,1.0105041495583338,0.3330561011121306,0.9991683033363917,0.3423736368339439,1.0271209105018317,0.07337674233589517,4.63732,0
6.783451064468468,0.3359686489804108,1.0079059469412324,0.3320118923432469,0.9960356770297408,0.34251048503818504,1.0275314551145551,0.07337674233589517,4.63732,0
6.791412861492492,0.3350164625153576,1.0050493875460729,0.3307268383428367,0.9921805150285102,0.34264733324242624,1.0279419997272787,0.07337674233589517,4.63732,0
6.799374658516516,0.3340642760503044,1.0021928281509134,0.32944178434242644,0.9883253530272793,0.34278418144666734,1.0283525443400021,0.07337674233589517,4.63732,0
6.807336455540541,0.33311208958525124,0.9993362687557538,0.3281567303420161,0.9844701910260484,0.3427531643555779,1.0282594930667337,0.07337674233589517,4.63732,0
6.815298252564564,0.33215990312019816,0.9964797093605945,0.32687167634160597,0.9806150290248179,0.3426133128800487,1.0278399386401462,0.07337674233589517,4.63732,0
6.823260049588589,0.3312077166551449,0.9936231499654349,0.3255866223411956,0.976759867023587,0.3424734614045195,1.0274203842135585,0.07337674233589517,4.63732,0
6.831221846612612,0.33025553019009185,0.9907665905702756,0.32430156834078544,0.9729047050223564,0.3423336099289903,1.027000829786971,0.07337674233589517,4.63732,0
6.839183643636637,0.32930334372503867,0.987910031175116,0.32301651434037515,0.9690495430211254,0.3421937584534611,1.0265812753603833,0.07337674233589517,4.63732,0
6.84714544066066,0.3284141814565312,0.9852425443695936,0.32173146033996497,0.965194381019895,0.3420539069779319,1.0261617209337959,0.07337674233589517,4.63732,0
