r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
0.7411676646850408,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7486542067525664,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7561407488200921,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7636272908876178,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7711138329551435,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7786003750226691,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7860869170901947,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7935734591577204,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8010600012252461,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8085465432927718,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8160330853602974,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8235196274278231,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8310061694953488,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8384927115628744,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8459792536304,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8534657956979257,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8609523377654514,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8684388798329771,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8759254219005027,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8834119639680285,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8908985060355541,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.8983850481030797,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9058715901706054,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.913358132238131,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9208446743056568,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9283312163731824,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.935817758440708,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9433043005082338,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9507908425757594,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.958277384643285,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9657639267108107,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9732504687783363,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9807370108458621,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9882235529133877,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.9957100949809133,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.003196637048439,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0106831791159647,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0181697211834904,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.025656263251016,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0331428053185416,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0406293473860673,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0481158894535931,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0556024315211188,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0630889735886444,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.07057551565617,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0780620577236957,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.0855485997912213,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.093035141858747,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1005216839262726,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1080082259937982,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.115494768061324,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1229813101288497,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1304678521963754,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.137954394263901,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1454409363314266,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1529274783989523,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.160414020466478,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1679005625340038,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1753871046015294,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.182873646669055,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1903601887365807,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.1978467308041063,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.205333272871632,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
