r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Cl,S_i_Na-Cl,S_i_Ca-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.20914537752876436,0.0015490439351003005,0.004638345582861874,0.00021776204036724994,0.003655425854735041,0.0006174572264009211,0.005657322034513659,1.0,1.0,1.0,2.5006263936342603,3.52027
0.21661485529764882,0.001468799723202069,0.004636163002537839,0.00021567171340541015,0.0036456138218966035,0.0006171803798154941,0.005652995851524767,1.0,1.0,1.0,2.5006263936342603,3.52027
0.22408433306653325,0.0013885555113038377,0.004633980422213806,0.00021358138644357038,0.0036358017890581653,0.0006169035332300671,0.005648669668535876,1.0,1.0,1.0,2.5006263936342603,3.52027
0.2315538108354177,0.001308311299405606,0.004631797841889772,0.00021149105948173062,0.0036259897562197284,0.00061662668664464,0.005644343485546984,1.0,1.0,1.0,2.5006263936342603,3.52027
0.23902328860430214,0.0012280670875073748,0.004629615261565739,0.00020940073251989085,0.0036207218172362526,0.000616349840059213,0.005640017302558093,1.0,1.0,1.0,2.5006263936342603,3.52027
0.24649276637318657,0.0011478228756091435,0.004627432681241705,0.0002073104055580511,0.003619074356263094,0.000616072993473786,0.005635691119588323,1.0,1.0,1.0,2.5006263936342603,3.52027
0.253962244142071,0.0011449950913227098,0.004625250100917672,0.00020522007859621132,0.003617426895289935,0.000615796146888359,0.005631364936640141,1.0,1.0,1.0,2.5006263936342603,3.52027
0.2614317219109555,0.0011441109969176357,0.0046230675205936374,0.00020319645206425379,0.0036157794343167765,0.000615519300302932,0.005627038753691959,1.0,1.0,1.0,2.5006263936342603,3.52027
0.2689011996798399,0.0011432269025125619,0.004620884940269604,0.0002012916159209753,0.0036141319733436175,0.000615242453717505,0.005622712570743777,1.0,1.0,1.0,2.5006263936342603,3.52027
0.27637067744872434,0.0011423428081074876,0.0046187023599455704,0.00019938677977769686,0.0036124845123704586,0.000614965607132078,0.005618386387795595,1.0,1.0,1.0,2.5006263936342603,3.52027
0.2838401552176088,0.0011414587137024135,0.004616519779621537,0.00019748194363441838,0.0036108370513973,0.0006146887605466509,0.005614060204847413,1.0,1.0,1.0,2.5006263936342603,3.52027
0.2913096329864932,0.0011405746192973394,0.004614337199297503,0.0001955771074911399,0.003609189590424141,0.0006144119139612239,0.005609734021899231,1.0,1.0,1.0,2.5006263936342603,3.52027
0.29877911075537766,0.0011396905248922653,0.004612154618973469,0.00019367227134786148,0.0036075421294509825,0.0006141350673757969,0.005605407838951049,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3062485885242621,0.0011388064304871913,0.004609972038649436,0.000191767435204583,0.0036058946684778236,0.0006138582207903698,0.005601081656002867,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3137180662931466,0.0011379223360821172,0.004607789458325402,0.00018986259906130453,0.0036042472075046655,0.0006135813742049428,0.005596755473054686,1.0,1.0,1.0,2.5006263936342603,3.52027
0.321187544062031,0.0011370382416770431,0.004605606878001368,0.00018795776291802608,0.0036025997465315065,0.0006133045276195158,0.005592429290106503,1.0,1.0,1.0,2.5006263936342603,3.52027
0.32865702183091544,0.0011361541472719688,0.004603424297677334,0.0001860529267747476,0.003600952285558348,0.0006130276810340889,0.005588103107158322,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3361264995997999,0.0011352700528668947,0.004601241717353301,0.00018414809063146913,0.003599304824585189,0.0006127508344486619,0.00558377692421014,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3435959773686843,0.0011343859584618207,0.004599059137029267,0.00018224325448819068,0.003597657363606799,0.0006124739878632348,0.005579450741261958,1.0,1.0,1.0,2.5006263936342603,3.52027
0.35106545513756876,0.0011335018640567466,0.004596876556705233,0.0001803384183449122,0.003596009902618129,0.0006121971412778078,0.00557512455648087,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3585349329064532,0.0011326177696516725,0.004594693976381199,0.00017843358220163372,0.0035943624416294585,0.0006119202946923808,0.005570798365975254,1.0,1.0,1.0,2.5006263936342603,3.52027
