r (A),g(r)_weighted_U-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-U,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.23792533127163581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.24142423320210105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.24492313513256628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2484220370630315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.25192093899349677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.25541984092396197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.25891874285442723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.26241764478489243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2659165467153577,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2694154486458229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.27291435057628816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.27641325250675336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2799121544372186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2834110563676838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2869099582981491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2904088602286143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.29390776215907954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.29740666408954475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.30090556602001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.30440446795047527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.30790336988094047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.31140227181140573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.31490117374187093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.3184000756723362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
