r (A),g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,S_i_Mg-Cl,Average_SCL,lambda_BC
12.460067483043042,0.2897742588335737,1.0142099059175078,0.13849500435733722,0.9694650305013605,7.986242973676337e-07,4.42533,4.76796
12.47802147077077,0.28985578748385665,1.0144952561934981,0.13843723594660318,0.9690606516262221,7.986242973676337e-07,4.42533,4.76796
12.495975458498497,0.2899373161341396,1.0147806064694884,0.13846192026655685,0.9692334418658979,7.986242973676337e-07,4.42533,4.76796
12.513929446226225,0.29001884478442247,1.0150659567454785,0.13848660458651055,0.9694062321055736,7.986242973676337e-07,4.42533,4.76796
12.531883433953952,0.2901003734347054,1.0153513070214688,0.13851128890646422,0.9695790223452494,7.986242973676337e-07,4.42533,4.76796
12.54983742168168,0.2901819020849883,1.015636657297459,0.1385359732264179,0.9697518125849252,7.986242973676337e-07,4.42533,4.76796
12.56779140940941,0.2902634307352712,1.0159220075734492,0.1385606575463716,0.9699246028246009,7.986242973676337e-07,4.42533,4.76796
12.585745397137137,0.29034495938555416,1.0162073578494395,0.13858534186632526,0.9700973930642767,7.986242973676337e-07,4.42533,4.76796
12.603699384864864,0.29042648803583704,1.0164927081254296,0.13861002618627893,0.9702701833039524,7.986242973676337e-07,4.42533,4.76796
12.621653372592592,0.2903063584847071,1.0160722546964747,0.1386347105062326,0.9704429735436282,7.986242973676337e-07,4.42533,4.76796
12.63960736032032,0.2900532136533612,1.015186247786764,0.13862351175231907,0.9703645822662335,7.986242973676337e-07,4.42533,4.76796
12.657561348048047,0.2898000688220153,1.0143002408770534,0.1385641235675337,0.9699488649727358,7.986242973676337e-07,4.42533,4.76796
12.675515335775774,0.2895469239906694,1.0134142339673426,0.13850473538274835,0.9695331476792383,7.986242973676337e-07,4.42533,4.76796
12.693469323503503,0.2892937791593234,1.012528227057632,0.13844534719796298,0.9691174303857406,7.986242973676337e-07,4.42533,4.76796
12.711423311231231,0.28904063432797755,1.0116422201479214,0.13838595901317757,0.968701713092243,7.986242973676337e-07,4.42533,4.76796
12.729377298958958,0.28878748949663163,1.0107562132382106,0.13832657082839223,0.9682859957987454,7.986242973676337e-07,4.42533,4.76796
12.747331286686686,0.28853434466528577,1.0098702063285,0.13826718264360685,0.9678702785052478,7.986242973676337e-07,4.42533,4.76796
12.765285274414413,0.28828119983393985,1.0089841994187894,0.13820779445882148,0.9674545612117502,7.986242973676337e-07,4.42533,4.76796
12.783239262142141,0.2881284210278883,1.008449473597609,0.1381484062740361,0.9670388439182526,7.986242973676337e-07,4.42533,4.76796
12.801193249869868,0.28805934113640086,1.008207693977403,0.13814265661353253,0.9669985962947276,7.986242973676337e-07,4.42533,4.76796
12.819147237597596,0.28799026124491345,1.0079659143571968,0.13821778177345867,0.9675244724142106,7.986242973676337e-07,4.42533,4.76796
12.837101225325325,0.2879211813534259,1.0077241347369905,0.13829290693338483,0.9680503485336936,7.986242973676337e-07,4.42533,4.76796
12.855055213053053,0.28785210146193846,1.0074823551167844,0.13836803209331097,0.9685762246531767,7.986242973676337e-07,4.42533,4.76796
12.87300920078078,0.287783021570451,1.0072405754965783,0.1384431572532371,0.9691021007726597,7.986242973676337e-07,4.42533,4.76796
12.890963188508508,0.2877139416789635,1.0069987958763722,0.13851828241316325,0.9696279768921426,7.986242973676337e-07,4.42533,4.76796
12.908917176236235,0.28764486178747606,1.006757016256166,0.1385934075730894,0.9701538530116257,7.986242973676337e-07,4.42533,4.76796
12.926871163963963,0.2875757818959886,1.00651523663596,0.13866853273301555,0.9706797291311087,7.986242973676337e-07,4.42533,4.76796
12.94482515169169,0.2875393887898182,1.0063878607643637,0.13874365789294169,0.9712056052505917,7.986242973676337e-07,4.42533,4.76796
12.962779139419418,0.2875372448978753,1.0063803571425634,0.13887791448696357,0.972145401408745,7.986242973676337e-07,4.42533,4.76796
12.980733127147147,0.2875351010059324,1.0063728535207632,0.13911275566276532,0.9737892896393572,7.986242973676337e-07,4.42533,4.76796
12.998687114874874,0.2875329571139895,1.006365349898963,0.13934759683856707,0.9754331778699693,7.986242973676337e-07,4.42533,4.76796
13.016641102602602,0.28753081322204654,1.0063578462771627,0.1395824380143688,0.9770770661005813,7.986242973676337e-07,4.42533,4.76796
13.03459509033033,0.2875286693301036,1.0063503426553626,0.1398172791901705,0.9787209543311934,7.986242973676337e-07,4.42533,4.76796
13.052549078058057,0.28752652543816076,1.0063428390335625,0.14005212036597223,0.9803648425618054,7.986242973676337e-07,4.42533,4.76796
13.070503065785784,0.2875243815462178,1.0063353354117621,0.14028696154177395,0.9820087307924176,7.986242973676337e-07,4.42533,4.76796
13.088457053513512,0.28752223765427487,1.006327831789962,0.1405218027175757,0.9836526190230297,7.986242973676337e-07,4.42533,4.76796
13.106411041241241,0.2874623283953411,1.0061181493836937,0.14075664389337744,0.9852965072536419,7.986242973676337e-07,4.42533,4.76796
13.124365028968969,0.28732631421960797,1.0056420997686277,0.1409111911554853,0.986378338088397,7.986242973676337e-07,4.42533,4.76796
13.142319016696696,0.28719030004387475,1.0051660501535615,0.14091065431741628,0.9863745802219138,7.986242973676337e-07,4.42533,4.76796
13.160273004424424,0.28705428586814163,1.0046900005384956,0.14091011747934726,0.9863708223554306,7.986242973676337e-07,4.42533,4.76796
13.178226992152151,0.28691827169240847,1.0042139509234296,0.14090958064127823,0.9863670644889475,7.986242973676337e-07,4.42533,4.76796
13.196180979879879,0.28678225751667535,1.0037379013083636,0.1409090438032092,0.9863633066224643,7.986242973676337e-07,4.42533,4.76796
13.214134967607606,0.28664624334094213,1.0032618516932974,0.14090850696514018,0.9863595487559811,7.986242973676337e-07,4.42533,4.76796
13.232088955335334,0.286510229165209,1.0027858020782314,0.14090797012707115,0.9863557908894979,7.986242973676337e-07,4.42533,4.76796
13.250042943063063,0.2863742149894758,1.0023097524631652,0.14090743328900213,0.9863520330230148,7.986242973676337e-07,4.42533,4.76796
13.26799693079079,0.2861128978171717,1.0013951423601009,0.1409068964509331,0.9863482751565316,7.986242973676337e-07,4.42533,4.76796
13.285950918518518,0.2856422390835059,0.9997478367922704,0.14091162020137427,0.9863813414096196,7.986242973676337e-07,4.42533,4.76796
13.303904906246245,0.28517158034984,0.99810053122444,0.1409278975352169,0.9864952827465182,7.986242973676337e-07,4.42533,4.76796
13.321858893973973,0.2847009216161742,0.9964532256566095,0.14094417486905955,0.9866092240834167,7.986242973676337e-07,4.42533,4.76796
13.3398128817017,0.2842302628825084,0.9948059200887792,0.1409604522029022,0.9867231654203152,7.986242973676337e-07,4.42533,4.76796
13.357766869429428,0.28375960414884255,0.9931586145209488,0.14097672953674484,0.9868371067572138,7.986242973676337e-07,4.42533,4.76796
13.375720857157155,0.28328894541517674,0.9915113089531185,0.1409930068705875,0.9869510480941123,7.986242973676337e-07,4.42533,4.76796
13.393674844884885,0.2828182866815109,0.9898640033852879,0.14100928420443015,0.9870649894310108,7.986242973676337e-07,4.42533,4.76796
13.411628832612612,0.282347627947845,0.9882166978174575,0.14102556153827278,0.9871789307679094,7.986242973676337e-07,4.42533,4.76796
13.42958282034034,0.2820253800251143,0.9870888300878999,0.14104183887211544,0.987292872104808,7.986242973676337e-07,4.42533,4.76796
13.447536808068067,0.28202323613317143,0.9870813264660998,0.14108921317679637,0.9876244922375745,7.986242973676337e-07,4.42533,4.76796
13.465490795795795,0.2820210922412285,0.9870738228442996,0.14121477715072395,0.9885034400550674,7.986242973676337e-07,4.42533,4.76796
13.483444783523522,0.28201894834928554,0.9870663192224993,0.1413403411246515,0.9893823878725604,7.986242973676337e-07,4.42533,4.76796
13.50139877125125,0.2820168044573426,0.9870588156006991,0.14146590509857906,0.9902613356900534,7.986242973676337e-07,4.42533,4.76796
13.519352758978979,0.28201466056539976,0.987051311978899,0.14159146907250664,0.9911402835075463,7.986242973676337e-07,4.42533,4.76796
13.537306746706706,0.28201251667345684,0.9870438083570987,0.1417170330464342,0.9920192313250393,7.986242973676337e-07,4.42533,4.76796
13.555260734434434,0.28201037278151386,0.9870363047352985,0.14184259702036178,0.9928981791425323,7.986242973676337e-07,4.42533,4.76796
13.573214722162161,0.28200822888957094,0.9870288011134982,0.14196816099428933,0.9937771269600252,7.986242973676337e-07,4.42533,4.76796
13.591168709889889,0.28194953830811,0.9868233840783848,0.1420937249682169,0.9946560747775182,7.986242973676337e-07,4.42533,4.76796
13.609122697617616,0.2817298588272225,0.9860545058952787,0.14223004184530402,0.995610292917128,7.986242973676337e-07,4.42533,4.76796
13.627076685345344,0.28151017934633504,0.9852856277121725,0.1423976366278759,0.9967834563951312,7.986242973676337e-07,4.42533,4.76796
13.645030673073071,0.2812904998654476,0.9845167495290663,0.14256523141044777,0.9979566198731343,7.986242973676337e-07,4.42533,4.76796
13.6629846608008,0.28107082038456005,0.9837478713459601,0.1427328261930197,0.9991297833511377,7.986242973676337e-07,4.42533,4.76796
13.680938648528528,0.2808511409036726,0.982978993162854,0.14290042097559158,1.000302946829141,7.986242973676337e-07,4.42533,4.76796
13.698892636256256,0.2806314614227851,0.9822101149797478,0.14306801575816347,1.0014761103071441,7.986242973676337e-07,4.42533,4.76796
13.716846623983983,0.28041178194189764,0.9814412367966416,0.14323561054073536,1.0026492737851473,7.986242973676337e-07,4.42533,4.76796
13.73480061171171,0.2801921024610102,0.9806723586135355,0.14340320532330725,1.0038224372631506,7.986242973676337e-07,4.42533,4.76796
13.752754599439438,0.279965638691142,0.9798797354189968,0.14357080010587914,1.0049956007411538,7.986242973676337e-07,4.42533,4.76796
13.770708587167166,0.27971249389134134,0.9789937286196946,0.14370214176726007,1.0059149923708204,7.986242973676337e-07,4.42533,4.76796
13.788662574894893,0.27945934909154074,0.9781077218203924,0.14371001204315428,1.0059700843020798,7.986242973676337e-07,4.42533,4.76796
13.806616562622622,0.2792062042917401,0.9772217150210901,0.14371788231904847,1.0060251762333392,7.986242973676337e-07,4.42533,4.76796
13.82457055035035,0.27895305949193944,0.976335708221788,0.14372575259494272,1.0060802681645988,7.986242973676337e-07,4.42533,4.76796
13.842524538078077,0.2786999146921388,0.9754497014224857,0.1437336228708369,1.0061353600958582,7.986242973676337e-07,4.42533,4.76796
13.860478525805805,0.2784467698923382,0.9745636946231835,0.14374149314673113,1.0061904520271177,7.986242973676337e-07,4.42533,4.76796
13.878432513533532,0.27819362509253753,0.9736776878238813,0.14374936342262531,1.006245543958377,7.986242973676337e-07,4.42533,4.76796
13.89638650126126,0.27794048029273694,0.9727916810245791,0.1437572336985195,1.0063006358896365,7.986242973676337e-07,4.42533,4.76796
13.914340488988987,0.2777043720259328,0.9719653020907647,0.14376510397441375,1.006355727820896,7.986242973676337e-07,4.42533,4.76796
13.932294476716717,0.27756835788174566,0.9714892525861096,0.14379468763436337,1.0065628134405435,7.986242973676337e-07,4.42533,4.76796
13.950248464444444,0.2774323437375585,0.9710132030814546,0.1439118452616241,1.0073829168313686,7.986242973676337e-07,4.42533,4.76796
13.968202452172171,0.27729632959337136,0.9705371535767996,0.1440290028888848,1.0082030202221934,7.986242973676337e-07,4.42533,4.76796
13.986156439899899,0.2771603154491842,0.9700611040721445,0.1441461605161455,1.0090231236130185,7.986242973676337e-07,4.42533,4.76796
14.004110427627626,0.27702430130499706,0.9695850545674896,0.14426331814340623,1.0098432270038435,7.986242973676337e-07,4.42533,4.76796
14.022064415355354,0.2768882871608099,0.9691090050628345,0.14438047577066696,1.0106633303946686,7.986242973676337e-07,4.42533,4.76796
14.040018403083081,0.27675227301662275,0.9686329555581795,0.14449763339792765,1.0114834337854934,7.986242973676337e-07,4.42533,4.76796
14.057972390810809,0.27661625887243557,0.9681569060535244,0.14461479102518837,1.0123035371763185,7.986242973676337e-07,4.42533,4.76796
14.075926378538538,0.27649207651744434,0.967722267811055,0.1447319486524491,1.0131236405671435,7.986242973676337e-07,4.42533,4.76796
14.093880366266266,0.2764899326255014,0.9677147641892548,0.14484624809516453,1.0139237366661515,7.986242973676337e-07,4.42533,4.76796
14.111834353993993,0.2764877887335585,0.9677072605674546,0.14494659291816858,1.0146261504271799,7.986242973676337e-07,4.42533,4.76796
14.12978834172172,0.2764856448416156,0.9676997569456544,0.14504693774117258,1.015328564188208,7.986242973676337e-07,4.42533,4.76796
14.147742329449448,0.27648350094967267,0.9676922533238541,0.14514728256417658,1.016030977949236,7.986242973676337e-07,4.42533,4.76796
14.165696317177176,0.27648135705772975,0.967684749702054,0.14524762738718064,1.0167333917102643,7.986242973676337e-07,4.42533,4.76796
14.183650304904903,0.27647921316578683,0.9676772460802537,0.14534797221018464,1.0174358054712924,7.986242973676337e-07,4.42533,4.76796
14.201604292632632,0.2764770692738439,0.9676697424584535,0.14544831703318867,1.0181382192323205,7.986242973676337e-07,4.42533,4.76796
14.21955828036036,0.276474925381901,0.9676622388366533,0.1455486618561927,1.0188406329933488,7.986242973676337e-07,4.42533,4.76796
14.237512268088087,0.27647383763095956,0.9676584317083583,0.14564900667919672,1.019543046754377,7.986242973676337e-07,4.42533,4.76796
14.255466255815815,0.276505162403534,0.9677680684123688,0.14571844789005362,1.0200291352303752,7.986242973676337e-07,4.42533,4.76796
14.273420243543542,0.27653648717610846,0.9678777051163794,0.14560020562087042,1.0192014393460929,7.986242973676337e-07,4.42533,4.76796
14.29137423127127,0.27656781194868285,0.9679873418203899,0.14548196335168723,1.0183737434618105,7.986242973676337e-07,4.42533,4.76796
14.309328218998997,0.2765991367212573,0.9680969785244005,0.14536372108250406,1.0175460475775282,7.986242973676337e-07,4.42533,4.76796
14.327282206726725,0.27663046149383175,0.968206615228411,0.14524547881332087,1.0167183516932459,7.986242973676337e-07,4.42533,4.76796
14.345236194454454,0.27666178626640614,0.9683162519324214,0.14512723654413767,1.0158906558089635,7.986242973676337e-07,4.42533,4.76796
14.363190182182182,0.2766931110389806,0.968425888636432,0.14500899427495448,1.0150629599246812,7.986242973676337e-07,4.42533,4.76796
14.38114416990991,0.27672443581155504,0.9685355253404425,0.14489075200577128,1.0142352640403989,7.986242973676337e-07,4.42533,4.76796
14.399098157637637,0.2767557605841295,0.9686451620444531,0.1447725097365881,1.0134075681561165,7.986242973676337e-07,4.42533,4.76796
14.417052145365364,0.27686864958674756,0.9690402735536163,0.1446733585291494,1.0127135097040456,7.986242973676337e-07,4.42533,4.76796
14.435006133093092,0.2769836480130429,0.9694427680456501,0.14472326352190476,1.0130628446533332,7.986242973676337e-07,4.42533,4.76796
14.45296012082082,0.27709864643933835,0.969845262537684,0.1447731685146601,1.0134121796026205,7.986242973676337e-07,4.42533,4.76796
14.470914108548547,0.2772136448656337,0.9702477570297178,0.14482307350741544,1.0137615145519079,7.986242973676337e-07,4.42533,4.76796
14.488868096276276,0.2773286432919291,0.9706502515217517,0.1448729785001708,1.0141108495011955,7.986242973676337e-07,4.42533,4.76796
14.506822084004003,0.27744364171822444,0.9710527460137854,0.14492288349292615,1.0144601844504828,7.986242973676337e-07,4.42533,4.76796
14.524776071731731,0.2775586401445198,0.9714552405058192,0.14497278848568146,1.0148095193997702,7.986242973676337e-07,4.42533,4.76796
14.542730059459458,0.27767363857081523,0.9718577349978531,0.1450226934784368,1.0151588543490575,7.986242973676337e-07,4.42533,4.76796
14.560684047187186,0.2777886369971106,0.9722602294898869,0.14507259847119217,1.015508189298345,7.986242973676337e-07,4.42533,4.76796
14.578638034914913,0.278195601136512,0.9736846039777919,0.145117495608859,1.0158224692620128,7.986242973676337e-07,4.42533,4.76796
14.59659202264264,0.2786285847266153,0.9752000465431534,0.14510855160136316,1.015759861209542,7.986242973676337e-07,4.42533,4.76796
14.61454601037037,0.27906156831671863,0.976715489108515,0.14509960759386734,1.0156972531570712,7.986242973676337e-07,4.42533,4.76796
14.632499998098098,0.27949455190682193,0.9782309316738765,0.1450906635863715,1.0156346451046003,7.986242973676337e-07,4.42533,4.76796
14.650453985825825,0.2799275354969252,0.979746374239238,0.14508171957887567,1.0155720370521295,7.986242973676337e-07,4.42533,4.76796
14.668407973553553,0.28036051908702847,0.9812618168045995,0.14507277557137982,1.0155094289996587,7.986242973676337e-07,4.42533,4.76796
14.68636196128128,0.28079350267713177,0.982777259369961,0.145063831563884,1.0154468209471879,7.986242973676337e-07,4.42533,4.76796
14.704315949009008,0.281226486267235,0.9842927019353225,0.14505488755638818,1.015384212894717,7.986242973676337e-07,4.42533,4.76796
14.722269936736735,0.2816594698573383,0.985808144500684,0.14504594354889233,1.0153216048422462,7.986242973676337e-07,4.42533,4.76796
14.740223924464463,0.2817317444952899,0.9860611057335147,0.14502934992517402,1.015205449476218,7.986242973676337e-07,4.42533,4.76796
14.758177912192192,0.2817463348642589,0.9861121720249059,0.14488588364409904,1.0142011855086932,7.986242973676337e-07,4.42533,4.76796
14.77613189991992,0.2817609252332278,0.9861632383162972,0.14474241736302412,1.0131969215411687,7.986242973676337e-07,4.42533,4.76796
14.794085887647647,0.2817755156021967,0.9862143046076884,0.14459895108194915,1.012192657573644,7.986242973676337e-07,4.42533,4.76796
14.812039875375374,0.28179010597116566,0.9862653708990796,0.14445548480087422,1.0111883936061195,7.986242973676337e-07,4.42533,4.76796
14.829993863103102,0.2818046963401346,0.9863164371904709,0.1443120185197993,1.010184129638595,7.986242973676337e-07,4.42533,4.76796
14.84794785083083,0.2818192867091035,0.9863675034818621,0.14416855223872432,1.0091798656710702,7.986242973676337e-07,4.42533,4.76796
14.865901838558557,0.28183387707807245,0.9864185697732534,0.1440250859576494,1.0081756017035457,4.906470156877406e-09,4.42533,4.76796
14.883855826286284,0.2818484674470414,0.9864696360646447,0.14388161967657448,1.0071713377360212,4.906470156877406e-09,4.42533,4.76796
14.901809814014014,0.28184958116782083,0.9864735340873728,0.1437410908048752,1.0061876356341264,4.906470156877406e-09,4.42533,4.76796
14.919763801741741,0.28184743727574607,0.9864660304651112,0.14369851757519858,1.0058896230263898,4.906470156877406e-09,4.42533,4.76796
14.937717789469469,0.2818452933836713,0.9864585268428495,0.14365594434552195,1.0055916104186535,4.906470156877406e-09,4.42533,4.76796
14.955671777197196,0.28184314949159656,0.9864510232205879,0.1436133711158453,1.005293597810917,4.906470156877406e-09,4.42533,4.76796
14.973625764924924,0.2818410055995218,0.9864435195983261,0.1435707978861687,1.0049955852031807,4.906470156877406e-09,4.42533,4.76796
14.991579752652651,0.28183886170744704,0.9864360159760645,0.14352822465649206,1.0046975725954443,4.906470156877406e-09,4.42533,4.76796
15.009533740380379,0.2818367178153723,0.9864285123538028,0.1434856514268154,1.0043995599877078,4.906470156877406e-09,4.42533,4.76796
15.027487728108108,0.2818345739232975,0.9864210087315411,0.1434430781971388,1.0041015473799715,4.906470156877406e-09,4.42533,4.76796
15.045441715835835,0.28183243003122277,0.9864135051092795,0.14340050496746215,1.003803534772235,4.906470156877406e-09,4.42533,4.76796
15.063395703563563,0.28185533768893667,0.9864936819112782,0.14335799918105152,1.0035059942673605,4.906470156877406e-09,4.42533,4.76796
15.08134969129129,0.2818866624930581,0.9866033187257033,0.1433826835010052,1.0036787845070363,4.906470156877406e-09,4.42533,4.76796
15.099303679019018,0.2819179872971796,0.9867129555401285,0.1434073678209589,1.003851574746712,4.906470156877406e-09,4.42533,4.76796
15.117257666746745,0.2819493121013011,0.9868225923545537,0.14343205214091256,1.0040243649863878,4.906470156877406e-09,4.42533,4.76796
15.135211654474473,0.2819806369054226,0.9869322291689789,0.14345673646086624,1.0041971552260636,4.906470156877406e-09,4.42533,4.76796
15.1531656422022,0.28201196170954407,0.987041865983404,0.14348142078081993,1.0043699454657393,4.906470156877406e-09,4.42533,4.76796
15.17111962992993,0.28204328651366556,0.9871515027978293,0.1435061051007736,1.004542735705415,4.906470156877406e-09,4.42533,4.76796
15.189073617657657,0.28207461131778705,0.9872611396122545,0.14353078942072728,1.0047155259450908,4.906470156877406e-09,4.42533,4.76796
15.207027605385385,0.28210593612190854,0.9873707764266797,0.14355547374068095,1.0048883161847666,4.906470156877406e-09,4.42533,4.76796
