r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
1.6143818428128127,0.2129233606929165,0.6387700820787495,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.6246645297097095,0.27639767404286303,0.8291930221285891,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.6349472166066066,0.33397406258043555,1.0019221877413067,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.6452299035035034,0.38570820710894976,1.1571246213268493,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.6555125904004002,0.437442351637464,1.312327054912392,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.6657952772972973,0.4891764961659793,1.467529488497938,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.676077964194194,0.5409106406944935,1.6227319220834806,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.686360651091091,0.5958597174073139,1.7875791522219417,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.696643337987988,0.6537864789848207,1.9613594369544622,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7069260248848848,0.7117132405623263,2.135139721686979,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7172087117817816,0.7696400021398319,2.3089200064194957,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7274913986786786,0.8275667637173387,2.482700291152016,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7377740855755754,0.8797546445074524,2.6392639335223573,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7480567724724723,0.9269733409798258,2.7809200229394775,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7583394593693693,0.9741920374522002,2.9225761123566008,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7686221462662661,1.0214107339245735,3.0642322017737205,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.778904833163163,1.0686294303969468,3.2058882911908406,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.78918752006006,1.1048666114695453,3.3145998344086363,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.7994702069569568,1.1322173318251092,3.396651995475328,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.8097528938538536,1.1595680521806733,3.47870415654202,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.8200355807507507,1.1869187725362378,3.5607563176087136,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.8303182676476475,1.2142694928918016,3.642808478675405,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
