r (A),g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
3.997421826266266,0.06614701994988842,1.7411057842641922,0.08339212471835315,0.6002140062615628,0.000817024630287321,1.1116450720574929,0.015724182557878313,0.8136867146986178,0.02788631708684477,0.463083747957486,0.04750572160592436,0.27158373540234015,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.012337579349349,0.0664359833347034,1.7487118082562492,0.08343855367505155,0.6005481782256495,0.000827970837331666,1.1265384995840142,0.015587384935075978,0.8066077833858518,0.03235312399503057,0.5372601147399205,0.04771160259740216,0.2727607289690878,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.027253332432433,0.06672494671951838,1.7563178322483062,0.08348498263174996,0.6008823501897362,0.0008389170443760108,1.1414319271105353,0.015450587312273643,0.7995288520730859,0.03594792489992884,0.5969558383099062,0.04791748358887997,0.27393772253583554,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.042169085515515,0.06701391010433334,1.7639238562403627,0.08353141158844836,0.6012165221538229,0.0008498632514203551,1.1563253546370558,0.015179591802937967,0.7855055192303274,0.03867019369245927,0.6421621820327705,0.048123364580357764,0.27511471610258315,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.057084838598598,0.06730287348914833,1.7715298802324198,0.08357784054514678,0.6015506941179096,0.0008608094584647002,1.171218782163577,0.014798912278593737,0.7658063157660754,0.041532032927834445,0.6896862503793402,0.04883923373789138,0.27920724250340434,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.0720005916816815,0.06750539538089358,1.7768606122506558,0.08362426950184518,0.6018848660819963,0.0008717127629822717,1.1860538364407514,0.01441823275424951,0.7461071123018234,0.04499316143088508,0.747162192948726,0.04957260143131166,0.2833998056488432,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.086916344764765,0.0676694053437418,1.781177642635522,0.08367372986014825,0.6022408565296373,0.0008825837581364603,1.2008449305443218,0.0140988249586272,0.7295785659743815,0.04845428993393572,0.8046381355181118,0.05030596912473195,0.2875923687942821,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.101832097847848,0.06783341530659004,1.7854946730203882,0.08384386179981969,0.6034653795100522,0.0008934547532906487,1.215636024647892,0.014043071511279209,0.7266934659547954,0.05185395490675684,0.8610934068438643,0.05103933681815223,0.291784931939721,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.11674785093093,0.06799742526943826,1.789811703405254,0.08401399373949112,0.604689902490467,0.0009050625913689011,1.231429668460555,0.013987318063931218,0.7238083659352095,0.05524112126983125,0.9173411246577012,0.05177270451157246,0.2959774950851596,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.131663604014014,0.0681614352322865,1.7941287337901202,0.08418412567916256,0.6059144254708818,0.0009222430352539467,1.2548054090105736,0.013931564616583226,0.7209232659156234,0.05915751916156045,0.9823773289204119,0.052506072204992746,0.3001700582305985,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
