r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
2.361218293184184,0.18147119680680052,0.8347675053112825,0.05121006577813038,0.14133978154763988,0.33693497354147367,2.3248513174361682,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.366853659039039,0.17883108073376197,0.8226229713753052,0.05427349161476516,0.14979483685675188,0.33351355649067266,2.3012435397856414,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.372489024893894,0.1761909646607236,0.8104784374393287,0.057336917451399703,0.15824989216586322,0.3300988578911329,2.277682119448817,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.378124390748749,0.17355084858768502,0.7983339035033512,0.06066668320780553,0.16744004565354328,0.3266841592915929,2.254120699111991,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.3837597566036037,0.17091073251464667,0.7861893695673748,0.0641756982131932,0.17712492706841326,0.32326946069205315,2.2305592787751665,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.3893951224584584,0.16827061644160832,0.7740448356313984,0.06768471321858087,0.1868098084832832,0.31985476209251335,2.206997858438342,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.3950304883133136,0.1659730445546161,0.7634760049512341,0.07119372822396881,0.19649468989815394,0.31653029900457896,2.1840590631315946,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4006658541681682,0.16385092596386486,0.7537142594337785,0.07470274322935647,0.2061795713130239,0.31325205511578497,2.1614391802989164,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.406301220023023,0.16172880737311363,0.7439525139163228,0.07821175823474413,0.21586445272789384,0.30997381122699097,2.1388192974662377,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.411936585877878,0.1596066887823622,0.7341907683988662,0.08182037623448678,0.22582423840718355,0.30669556733819675,2.1161994146335577,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4175719517327328,0.15748457019161097,0.7244290228814105,0.0860534738184705,0.23750758773897865,0.30341732344940275,2.093579531800879,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.423207317587588,0.15536245160085954,0.714667277363954,0.09028657140245457,0.24919093707077464,0.2999801038150752,2.069862716324019,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4288426834424426,0.15330418428835832,0.7051992477264484,0.09451966898643828,0.2608742864025697,0.29627870740837453,2.0443230811177844,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4344780492972973,0.1514995479454954,0.6968979205492789,0.09875276657042202,0.2725576357343648,0.29257731100167383,2.0187834459115495,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4401134151521524,0.14969491160263232,0.6885965933721088,0.10298586415440607,0.2842409850661608,0.28887591459497286,1.9932438107053125,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.445748781007007,0.14789027525976936,0.6802952661949392,0.10721896173838981,0.2959243343979559,0.28517451818827216,1.9677041754990778,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.451384146861862,0.14608563891690643,0.6719939390177697,0.11186708597469053,0.3087531572901459,0.28160537038573863,1.9430770556615964,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.457019512716717,0.14428100257404336,0.6636926118405996,0.11671286859850787,0.3221275173318818,0.27809920660050835,1.9188845255435074,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4626548785715716,0.14247636623118043,0.6553912846634301,0.12155865122232483,0.3355018773736166,0.27459304281527835,1.8946919954254204,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4682902444264267,0.14093173040202112,0.6482859598492973,0.12640443384614217,0.3488762374153524,0.271086879030048,1.8704994653073315,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4739256102812814,0.13947799561487603,0.6415987798284298,0.1312502164699591,0.3622505974570872,0.2675807152448181,1.8463069351892445,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.479560976136136,0.13802426082773092,0.6349115998075623,0.13609599909377607,0.375624957498822,0.26454381184568426,1.8253523017352213,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4851963419909913,0.1365705260405857,0.6282244197866943,0.14111116741314325,0.38946682206027544,0.2615169321669011,1.8044668319516175,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.490831707845846,0.13511679125344062,0.6215372397658269,0.146736731180427,0.4049933780579786,0.2584900524881182,1.7835813621680152,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.4964670737007006,0.13366305646629548,0.6148500597449593,0.15236229494771075,0.4205199340556817,0.2554631728093352,1.7626958923844132,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.502102439555556,0.13232661560486889,0.6087024317823969,0.15798785871499493,0.4360464900533861,0.2524362931305521,1.7418104226008093,0.24517779671093248,0.020435870418039813,2.28196,2.63857
