r (A),g(r)_weighted_Zn-Cl,g(r)_unweighted_Zn-Cl,g(r)_weighted_Zn-Zn,g(r)_unweighted_Zn-Zn,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
1.1296231001501502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1405903147147147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1515575292792792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1625247438438437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1734919584084085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.184459172972973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1954263875375375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2063936021021022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2173608166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2283280312312312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2392952457957958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2502624603603603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.261229674924925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2721968894894895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.283164104054054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.2941313186186187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3050985331831833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3160657477477478,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3270329623123123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3380001768768768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3489673914414415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.359934606006006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3709018205705705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3818690351351353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.3928362496996998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4038034642642643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4147706788288288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4257378933933933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.436705107957958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4476723225225225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.458639537087087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4696067516516518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4805739662162163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.4915411807807808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5025083953453453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5134756099099098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5244428244744745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.535410039039039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5463772536036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5573444681681683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5683116827327328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5792788972972973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.5902461118618618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6012133264264263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.612180540990991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6231477555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.63411497012012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6450821846846848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6560493992492493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6670166138138138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6779838283783783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6889510429429428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.6999182575075076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.710885472072072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7218526866366366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7328199012012013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7437871157657658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7547543303303303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7657215448948949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7766887594594594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.787655974024024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.7986231885885886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8095904031531531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8205576177177178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8315248322822824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8424920468468469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8534592614114114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8644264759759759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8753936905405406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8863609051051051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.8973281196696696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9082953342342344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9192625487987989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9302297633633634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.941196977927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9521641924924924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9631314070570571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9740986216216216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9850658361861862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.9960330507507509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.007000265315315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.01796747987988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0289346944444446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.039901909009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0508691235735736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0618363381381384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0728035527027027,0.11384376044463575,0.39845316155622507,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0837707672672674,0.16781412372479865,0.5873494330367952,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.0947379818318317,0.24233902902186752,0.8481866015765362,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.1057051963963964,0.3229286904166582,1.1302504164583036,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.116672410960961,0.4075927992612347,1.4265747974143212,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.1276396255255254,0.5895910014180183,2.063568504963064,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.13860684009009,0.7795996608232731,2.728598812881456,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.1495740546546545,0.9478641409355303,3.3175244932743557,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.160541269219219,1.1299694916575425,3.954893220801398,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.171508483783784,1.2831006211350595,4.490852173972708,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.182475698348348,1.4833653720408617,5.191778802143015,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.193442912912913,1.7817821408763197,6.236237493067118,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2044101274774777,1.999451612626404,6.998080644192413,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.215377342042042,2.0627404337760833,7.21959151821629,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2263445566066067,2.2959222826181147,8.0357279891634,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2373117711711714,2.4128434249371935,8.444951987280175,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2482789857357357,2.5289611417767994,8.851363996218797,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2592462003003004,2.7622963420102296,9.668037197035803,0.0,0.0,0.0,0.0,1.0,4.51281,0
2.2702134148648647,2.8556304648339976,9.99470662691899,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.2811806294294295,2.824313826543742,9.885098392903096,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.292147843993994,2.7943119691650127,9.780091892077543,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.3031150585585585,2.7675111612392054,9.686289064337217,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.314082273123123,2.7407103533133967,9.592486236596887,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.3250494876876875,2.7082248930062747,9.47878712552196,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.336016702252252,2.654558751715736,9.290955631005074,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.346983916816817,2.4315686971186645,8.510490439915325,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.3579511313813812,2.2466857161395275,7.863400006488345,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.368918345945946,2.1357478050276986,7.475117317596943,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.3798855605105107,1.903322483951045,6.661628693828656,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.390852775075075,1.7833755701333538,6.241814495466738,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
2.4018199896396397,1.672359630267314,5.853258705935598,0.0,0.0,0.0,0.0,0.9902505595888287,4.51281,0
