r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Be-F,g(r)_unweighted_Be-F,g(r)_weighted_Be-Be,g(r)_unweighted_Be-Be,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Be-Li,g(r)_unweighted_Be-Li,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
4.784703823663664,0.10831914977379756,0.9725846156916369,0.0915970559745311,0.7863353936075201,0.04393518430724672,1.486499073205047,0.518698139875323,1.1298352443085116,0.05264281634718266,0.9175427063150662,0.17680433883950727,0.7819053935652203,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.792496500900901,0.10862961126145103,0.9753722120426705,0.09120313830202577,0.7829537193302969,0.04399461359410339,1.4885097983499762,0.5205863143589501,1.1339480912902238,0.05287354181975764,0.9215641567087172,0.17638756267468061,0.7800622287802021,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.800289178138138,0.1089400727491045,0.9781598083937042,0.09089001977029791,0.7802656833309686,0.04405404288096007,1.4905205234949055,0.5224744888425772,1.138060938271936,0.053104267292332634,0.9255856071023683,0.17597078650985395,0.778219063995184,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.8080818553753755,0.10925053423675798,0.980947404744738,0.090623859185342,0.7779807683180635,0.04411347216781675,1.4925312486398348,0.5243626633262043,1.142173785253648,0.05333499276490763,0.9296070574960194,0.1755540103450273,0.7763758992101659,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.815874532612613,0.10956099572441146,0.9837350010957716,0.09035769860038609,0.7756958533051584,0.04417290145467342,1.494541973784764,0.5262469920029114,1.1462782552471527,0.05357033640725627,0.9337090006954579,0.17513723418020063,0.7745327344251478,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.82366720984985,0.10987145721206493,0.9865225974468053,0.09009153801543018,0.7734109382922534,0.044232330741530095,1.4965526989296933,0.5273379372654126,1.1486545668481187,0.05380630564584986,0.9378218477809626,0.17472045801537395,0.7726895696401296,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.831459887087087,0.1101819186997184,0.9893101937978389,0.08982537743047427,0.7711260232793482,0.04429176002838677,1.4985634240746226,0.5284288825279139,1.151030878449085,0.05404227488444344,0.9419346948664672,0.1743036818505473,0.7708464048551115,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.839252564324324,0.11049238018737188,0.9920977901488727,0.08955921684551836,0.7688411082664431,0.04435118931524344,1.500574149219552,0.5295198277904151,1.153407190050051,0.05427824412303703,0.9460475419519718,0.1741719840269074,0.7702639800158754,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.8470452415615615,0.11083601172060034,0.9951832163489718,0.08929305626056244,0.7665561932535381,0.04441061860210012,1.5025848743644812,0.5306107730529164,1.1557835016510174,0.05451421336163062,0.9501603890374765,0.1740758049118711,0.7698386342959184,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
4.854837918798799,0.11121263712199798,0.9985648905224026,0.08902689567560654,0.764271278240633,0.04447849573868082,1.504881423296959,0.5317017183154176,1.1581598132519835,0.054750182600224205,0.9542732361229811,0.1739796257968348,0.7694132885759614,2.2889272052666634e-15,0.002799819736565739,1.98552,1.90187
