r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
4.115525672972973,0.12155415180695023,0.6685478349382262,0.15176346592910486,0.8346990626100768,0.088372958953367,0.02055979802327012,2.67993,0
4.123409821771771,0.12225277215744751,0.6723902468659613,0.15131281954770257,0.8322205075123641,0.088372958953367,0.02055979802327012,2.67993,0
4.13129397057057,0.12295139250794487,0.6762326587936968,0.1508326549531386,0.8295796022422622,0.088372958953367,0.02055979802327012,2.67993,0
4.139178119369369,0.12365001285844224,0.6800750707214323,0.15035249035857462,0.8269386969721604,0.088372958953367,0.02055979802327012,2.67993,0
4.147062268168168,0.12434863320893959,0.6839174826491677,0.14987232576401063,0.8242977917020585,0.088372958953367,0.02055979802327012,2.67993,0
4.1549464169669665,0.12504725355943697,0.6877598945769032,0.14950566297031986,0.8222811463367592,0.088372958953367,0.02055979802327012,2.67993,0
4.162830565765765,0.1257458739099343,0.6916023065046386,0.14927035180549414,0.8209869349302177,0.088372958953367,0.02055979802327012,2.67993,0
4.170714714564564,0.12644449426043167,0.6954447184323741,0.14903504064066841,0.8196927235236763,0.088372958953367,0.02055979802327012,2.67993,0
4.178598863363363,0.12714311461092903,0.6992871303601096,0.1487997294758427,0.8183985121171348,0.088372958953367,0.02055979802327012,2.67993,0
4.186483012162162,0.12784173496142637,0.7031295422878451,0.14852022767739684,0.8168612522256825,0.088372958953367,0.02055979802327012,2.67993,0
4.194367160960961,0.12854035531192373,0.7069719542155806,0.1481318830336629,0.8147253566851459,0.088372958953367,0.02055979802327012,2.67993,0
4.20225130975976,0.12919666390552614,0.7105816514803938,0.14774353838992899,0.8125894611446094,0.088372958953367,0.02055979802327012,2.67993,0
4.210135458558558,0.12946949604512817,0.7120822282482049,0.14735519374619505,0.8104535656040728,0.088372958953367,0.02055979802327012,2.67993,0
4.218019607357357,0.1297423281847302,0.713582805016016,0.14694724673347653,0.8082098570341208,0.088372958953367,0.02055979802327012,2.67993,0
4.225903756156156,0.13019573260294595,0.7160765293162027,0.1463869217100954,0.8051280694055246,0.088372958953367,0.02055979802327012,2.67993,0
4.233787904954955,0.13103490741790613,0.7206919907984838,0.14582659668671427,0.8020462817769285,0.088372958953367,0.02055979802327012,2.67993,0
4.241672053753754,0.13187408223286634,0.7253074522807649,0.14551857713606828,0.8003521742483756,0.088372958953367,0.02055979802327012,2.67993,0
4.249556202552553,0.13271325704782655,0.729922913763046,0.14533000638382038,0.7993150351110121,0.088372958953367,0.02055979802327012,2.67993,0
4.2574403513513515,0.13355243186278673,0.734538375245327,0.14514143563157247,0.7982778959736486,0.088372958953367,0.02055979802327012,2.67993,0
4.26532450015015,0.1343916066777469,0.739153836727608,0.14495286487932457,0.7972407568362851,0.088372958953367,0.02055979802327012,2.67993,0
4.273208648948949,0.13523078149270712,0.7437692982098891,0.14476429412707664,0.7962036176989216,0.088372958953367,0.02055979802327012,2.67993,0
4.281092797747748,0.13606995630766733,0.7483847596921702,0.14457572337482874,0.7951664785615581,0.088372958953367,0.02055979802327012,2.67993,0
4.288976946546546,0.13690913112262743,0.7530002211744508,0.14438715262258087,0.7941293394241947,0.088372958953367,0.02055979802327012,2.67993,0
4.296861095345345,0.1377483059375876,0.7576156826567318,0.14419858187033294,0.7930922002868311,0.088372958953367,0.02055979802327012,2.67993,0
4.304745244144144,0.13858748075254781,0.7622311441390129,0.14401001111808504,0.7920550611494677,0.088372958953367,0.02055979802327012,2.67993,0
4.3126293929429425,0.13942665556750802,0.766846605621294,0.14382144036583713,0.7910179220121042,0.088372958953367,0.02055979802327012,2.67993,0
