r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
0.5351171088128128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5429864780600601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5508558473073074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5587252165545546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5665945858018019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5744639550490491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5823333242962964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5902026935435436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5980720627907908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6059414320380381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6138108012852853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6216801705325325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6295495397797799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6374189090270271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6452882782742744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6531576475215216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6610270167687688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6688963860160161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6767657552632633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6846351245105106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.6925044937577578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.700373863005005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7082432322522523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7161126014994996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7239819707467469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7318513399939941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7397207092412413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7475900784884886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7554594477357358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.763328816982983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7711981862302303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7790675554774775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.7869369247247248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.794806293971972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8026756632192193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8105450324664666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8184144017137138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
