r (A),g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
1.62401427987988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6357824992992995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6475507187187188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6593189381381384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6710871575575579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6828553769769772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6946235963963967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.706391815815816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7181600352352355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7299282546546548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7416964740740744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7534646934934937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7652329129129132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.7770011323323325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.788769351751752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.8005375711711713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.8123057905905908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.8240740100100103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.8358422294294297,0.0,0.0,0.0,0.0,0.0008904512974689918,0.003116579541141471,1.0,5.50317,7.72598
1.8476104488488492,0.0,0.0,0.0,0.0,0.0016871835204869071,0.005905142321704174,1.0,5.50317,7.72598
1.8593786682682685,0.0,0.0,0.0,0.0,0.002483915743504808,0.008693705102266826,1.0,5.50317,7.72598
1.871146887687688,0.0,0.0,0.0,0.0,0.0032806479665227232,0.011482267882829529,1.0,5.50317,7.72598
1.8829151071071073,0.0,0.0,0.0,0.0,0.004077380189540623,0.01427083066339218,1.0,5.50317,7.72598
1.8946833265265268,0.0,0.0,0.0,0.0,0.004874112412558539,0.017059393443954886,1.0,5.50317,7.72598
1.9064515459459461,0.0,0.0,0.0,0.0,0.00567084463557644,0.019847956224517536,1.0,5.50317,7.72598
1.9182197653653656,0.0,0.0,0.0,0.0,0.006467576858594354,0.022636519005080236,1.0,5.50317,7.72598
1.929987984784785,0.0,0.0,0.0,0.0,0.007264309081612254,0.025425081785642886,1.0,5.50317,7.72598
1.9417562042042045,0.0,0.0,0.0,0.0,0.00806104130463017,0.028213644566205592,1.0,5.50317,7.72598
1.9535244236236238,0.0,0.0,0.0,0.0,0.00885777352764807,0.031002207346768243,1.0,5.50317,7.72598
1.9652926430430433,0.0,0.0,0.0,0.0,0.009654505750665987,0.03379077012733095,1.0,5.50317,7.72598
1.9770608624624628,0.0,0.0,0.0,0.0,0.010451237973683901,0.03657933290789365,1.0,5.50317,7.72598
1.9888290818818821,0.0,0.0,0.0,0.0,0.011247970196701802,0.0393678956884563,1.0,5.50317,7.72598
2.0005973013013016,0.0,0.0,0.0,0.0,0.012044702419719718,0.042156458469019005,1.0,5.50317,7.72598
2.012365520720721,0.0,0.0,0.0,0.0,0.012841434642737631,0.044945021249581704,1.0,5.50317,7.72598
2.0241337401401402,0.0,0.0,0.0,0.0,0.013638166865755518,0.047733584030144306,1.0,5.50317,7.72598
2.0359019595595598,0.0,0.0,0.0,0.0,0.014434899088773434,0.05052214681070701,1.0,5.50317,7.72598
2.0476701789789793,0.0,0.0,0.0,0.0,0.015231631311791349,0.05331070959126971,1.0,5.50317,7.72598
2.059438398398399,0.0,0.0,0.0,0.0,0.016028363534809263,0.05609927237183242,1.0,5.50317,7.72598
2.071206617817818,0.0,0.0,0.0,0.0,0.01682509575782715,0.05888783515239501,1.0,5.50317,7.72598
2.0829748372372374,0.0,0.0,0.0,0.0,0.017621827980845065,0.06167639793295772,1.0,5.50317,7.72598
2.094743056656657,0.0,0.0,0.0,0.0,0.018418560203862983,0.06446496071352043,1.0,5.50317,7.72598
2.1065112760760765,0.0,0.0,0.0,0.0,0.019215292426880897,0.06725352349408313,1.0,5.50317,7.72598
2.118279495495496,0.0,0.0,0.0,0.0,0.020012024649898808,0.07004208627464582,1.0,5.50317,7.72598
2.130047714914915,0.0,0.0,0.0,0.0,0.0208087568729167,0.07283064905520843,1.0,5.50317,7.72598
2.1418159343343346,0.0,0.0,0.0,0.0,0.02160548909593461,0.07561921183577112,1.0,5.50317,7.72598
2.153584153753754,0.0,0.0,0.0,0.0,0.022402221318952528,0.07840777461633383,1.0,5.50317,7.72598
2.1653523731731736,0.0,0.0,0.0,0.0,0.024992210282557995,0.08747273598895297,1.0,5.50317,7.72598
2.1771205925925927,0.0,0.0,0.0,0.0,0.03547050631526748,0.12414677210343616,1.0,5.50317,7.72598
2.1888888120120122,0.0,0.0,0.0,0.0,0.04594880234797737,0.16082080821792077,1.0,5.50317,7.72598
2.2006570314314318,0.0,0.0,0.0,0.0,0.05642709838068725,0.19749484433240533,1.0,5.50317,7.72598
2.2124252508508513,0.0,0.0,0.0,0.0,0.06690539441339713,0.23416888044688994,1.0,5.50317,7.72598
2.2241934702702704,0.0,0.0,0.0,0.0,0.07738369044610663,0.27084291656137316,1.0,5.50317,7.72598
2.23596168968969,0.0,0.0,0.0,0.0,0.0878619864788165,0.3075169526758577,1.0,5.50317,7.72598
2.2477299091091094,0.0,0.0,0.0,0.0,0.10268503229470198,0.3593976130314569,1.0,5.50317,7.72598
2.259498128528529,0.0,0.0,0.0,0.0,0.12184994117030336,0.4264747940960617,1.0,5.50317,7.72598
2.2712663479479485,0.0,0.0,0.0,0.0,0.14101485004590472,0.49355197516066646,1.0,5.50317,7.72598
2.2830345673673675,0.0,0.0,0.0,0.0,0.16017975892150538,0.5606291562252688,1.0,5.50317,7.72598
2.294802786786787,0.0,0.0,0.0,0.0,0.17934466779710673,0.6277063372898735,1.0,5.50317,7.72598
2.3065710062062066,0.0,0.0,0.0,0.0,0.21420237257217217,0.7497083040026025,1.0,5.50317,7.72598
2.318339225625626,0.0,0.0,0.0,0.0,0.2589662715743833,0.9063819505103414,1.0,5.50317,7.72598
2.330107445045045,0.0,0.0,0.0,0.0,0.30373017057659274,1.0630555970180744,1.0,5.50317,7.72598
2.3418756644644647,0.0,0.0,0.0,0.0,0.34849406957880386,1.2197292435258134,1.0,5.50317,7.72598
2.3536438838838842,0.0,0.0,0.0,0.0,0.38614125293874374,1.351494385285603,1.0,5.50317,7.72598
2.3654121033033038,0.0,0.0,0.0,0.0,0.4155020155508426,1.454257054427949,1.0,5.50317,7.72598
2.377180322722723,0.0,0.0,0.0,0.0,0.4448627781629404,1.5570197235702912,1.0,5.50317,7.72598
2.3889485421421424,0.0,0.0,0.0,0.0,0.4742235407750393,1.6597823927126374,1.0,5.50317,7.72598
2.400716761561562,0.0,0.0,0.0,0.0,0.5035843033871382,1.7625450618549834,1.0,5.50317,7.72598
2.4124849809809814,0.0,0.0,0.0,0.0,0.5284773422328666,1.8496706978150328,1.0,5.50317,7.72598
2.424253200400401,0.0,0.0,0.0,0.0,0.5474569624694198,1.916099368642969,1.0,5.50317,7.72598
2.43602141981982,0.0,0.0,0.0,0.0,0.5664365827059724,1.982528039470903,1.0,5.50317,7.72598
2.4477896392392395,0.0,0.0,0.0,0.0,0.5866729761482832,2.0533554165189907,1.0,5.50317,7.72598
2.459557858658659,0.0,0.0,0.0,0.0,0.6265187590844238,2.192815656795483,1.0,5.50317,7.72598
2.4713260780780786,0.0,0.0,0.0,0.0,0.6663645420205644,2.332275897071975,1.0,5.50317,7.72598
2.4830942974974977,0.0,0.0,0.0,0.0,0.7062103249567033,2.4717361373484614,1.0,5.50317,7.72598
2.494862516916917,0.0,0.0,0.0,0.0,0.7382124027763864,2.583743409717352,1.0,5.50317,7.72598
2.5066307363363367,0.0,0.0,0.0,0.0,0.7683316463812421,2.689160762334347,1.0,5.50317,7.72598
2.5183989557557562,0.0,0.0,0.0,0.0,0.7961549450254402,2.7865423075890403,1.0,5.50317,7.72598
2.5301671751751753,0.0,0.0,0.0,0.0,0.8223682766726796,2.8782889683543784,1.0,5.50317,7.72598
2.541935394594595,0.0,0.0,0.0,0.0,0.84858160831992,2.9700356291197196,1.0,5.50317,7.72598
2.5537036140140144,0.0,0.0,0.0,0.0,0.8747949399671604,3.061782289885061,1.0,5.50317,7.72598
2.565471833433434,0.0,0.0,0.0,0.0,0.9010082716144007,3.153528950650402,1.0,5.50317,7.72598
2.5772400528528534,0.0,0.0,0.0,0.0,0.9360161372448493,3.276056480356972,1.0,5.50317,7.72598
2.5890082722722725,0.0,0.0,0.0,0.0,0.9759698018468433,3.4158943064639513,1.0,5.50317,7.72598
2.600776491691692,0.0,0.0,0.0,0.0,1.0048434987025192,3.5169522454588167,1.0,5.50317,7.72598
2.6125447111111115,0.0,0.0,0.0,0.0,1.0231726164063213,3.581104157422124,1.0,5.50317,7.72598
2.624312930530531,0.0,0.0,0.0,0.0,1.0415017341101234,3.6452560693854315,1.0,5.50317,7.72598
2.63608114994995,0.0,0.0,0.0,0.0,1.0598308518139248,3.709407981348736,1.0,5.50317,7.72598
2.6478493693693697,0.0,0.0,0.0,0.0,1.0781599695177269,3.7735598933120436,1.0,5.50317,7.72598
2.659617588788789,0.0,0.0,0.0,0.0,1.0885868728494628,3.810054054973119,1.0,5.50317,7.72598
2.6713858082082087,0.0,0.0,0.0,0.0,1.0969898551449222,3.8394644930072275,1.0,5.50317,7.72598
2.683154027627628,0.0,0.0,0.0,0.0,1.1053928374403814,3.8688749310413346,1.0,5.50317,7.72598
2.6949222470470473,0.0,0.0,0.0,0.0,1.113795819735841,3.898285369075443,1.0,5.50317,7.72598
2.706690466466467,0.0,0.0,0.002539024138025055,0.004443292241543845,1.1221988020313005,3.927695807109551,1.0,5.50317,7.72598
2.7184586858858864,0.0,0.0,0.0035850871764553645,0.006273902558796887,1.13060178432676,3.9571062451436596,1.0,5.50317,7.72598
2.730226905305306,0.0,0.0,0.004631150214885674,0.008104512876049928,1.1390047666222196,3.986516683177768,1.0,5.50317,7.72598
2.741995124724725,0.0,0.0,0.005677213253315944,0.0099351231933029,1.1474077489176786,4.015927121211875,1.0,5.50317,7.72598
2.7537633441441445,0.0,0.0,0.006723276291746252,0.01176573351055594,1.1558107312131383,4.045337559245984,1.0,5.50317,7.72598
2.765531563563564,0.0,0.0,0.0077693393301765615,0.013596343827808981,1.1642137135085977,4.074747997280092,1.0,5.50317,7.72598
2.7772997829829835,0.0,0.0,0.00881540236860687,0.015426954145062023,1.1726166958040571,4.1041584353142,0.9830790889963782,5.50317,7.72598
2.7890680024024026,0.0020472476637757894,0.014330733646430524,0.009861465407037142,0.017257564462314995,1.1694602148188165,4.093110751865857,0.9830790889963782,5.50317,7.72598
2.800836221821822,0.0038236141812560244,0.02676529926879217,0.010907528445467453,0.019088174779568038,1.1628616240862455,4.0700156843018584,0.9830790889963782,5.50317,7.72598
2.8126044412412416,0.005599980698736261,0.03919986489115382,0.01195359148389776,0.020918785096821078,1.1562630333536745,4.04692061673786,0.9830790889963782,5.50317,7.72598
2.824372660660661,0.007376347216216495,0.05163443051351546,0.012999654522328069,0.022749395414074117,1.1496644426211033,4.0238255491738615,0.9830790889963782,5.50317,7.72598
2.8361408800800803,0.009152713733696662,0.06406899613587663,0.01404571756075834,0.02458000573132709,1.1430658518885326,4.000730481609864,0.9830790889963782,5.50317,7.72598
2.8479090994994998,0.010929080251176898,0.07650356175823828,0.015091780599188651,0.026410616048580134,1.1364672611559619,3.977635414045866,0.9830790889963782,5.50317,7.72598
2.8596773189189193,0.012705446768657135,0.08893812738059993,0.01613784363761896,0.028241226365833174,1.129868670423391,3.9545403464818674,0.9830790889963782,5.50317,7.72598
2.871445538338339,0.01448181328613737,0.10137269300296158,0.017183906676049267,0.030071836683086214,1.12327007969082,3.931445278917869,0.9830790889963782,5.50317,7.72598
2.8832137577577583,0.016258179803617604,0.11380725862532322,0.01822996971447958,0.03190244700033926,1.1159774291319249,3.9059210019617363,0.9830790889963782,5.50317,7.72598
