r (A),g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_Ca-Cl,Average_SCL,lambda_BC
3.978030843643644,0.12483701342141476,0.4369295469749516,0.9686207787503344,1.695086362813085,0.14982914774137251,1.0488040341896074,0.7527624678951269,4.7543,7.72598
3.9879759207527528,0.12496651193382582,0.43738279176839034,0.9587726821542057,1.6778521937698598,0.1532022358723555,1.0724156511064884,0.7527624678951269,4.7543,7.72598
3.9979209978618617,0.1250960104462369,0.43783603656182907,0.9489245855580771,1.6606180247266347,0.15693936488567214,1.0985755541997049,0.7527624678951269,4.7543,7.72598
4.007866074970971,0.12522550895864795,0.4382892813552678,0.9390764889619484,1.6433838556834095,0.16068065846646215,1.1247646092652348,0.7527624678951269,4.7543,7.72598
4.01781115208008,0.12535500747105902,0.4387425261487065,0.9297680624293955,1.627094109251442,0.1644219520472523,1.1509536643307658,0.7527624678951269,4.7543,7.72598
4.0277562291891895,0.12548450598347008,0.43919577094214524,0.9206517025256992,1.6111404794199733,0.1672218640052611,1.1705530480368276,0.7527624678951269,4.7543,7.72598
4.037701306298298,0.12561400449588114,0.4396490157355839,0.9115353426220035,1.595186849588506,0.16976410024731034,1.1883487017311722,0.7527624678951269,4.7543,7.72598
4.0476463834074075,0.1257435030082922,0.4401022605290226,0.9024189827183072,1.5792332197570373,0.17230633648935983,1.2061443554255187,0.7527624678951269,4.7543,7.72598
4.057591460516517,0.12587300152070327,0.44055550532246135,0.8919364715385832,1.5608888251925204,0.17484857273140933,1.2239400091198651,0.7527624678951269,4.7543,7.72598
4.067536537625625,0.12654278313500972,0.442899740972534,0.8813477233578878,1.5423585158763033,0.17741134694318603,1.241879428602302,0.7527624678951269,4.7543,7.72598
4.077481614734735,0.12722617444900053,0.4452916105715018,0.8707589751771913,1.5238282065600846,0.18084611365002445,1.265922795550171,0.7527624678951269,4.7543,7.72598
4.087426691843844,0.12790956576299134,0.44768348017046966,0.8586644381703465,1.5026627667981063,0.18428088035686288,1.28996616249804,0.7527624678951269,4.7543,7.72598
4.097371768952953,0.1285929570769821,0.45007534976943725,0.8417282303713806,1.4730244031499158,0.1879230346330778,1.3154612424315444,0.7527624678951269,4.7543,7.72598
4.107316846062062,0.1292763483909729,0.45246721936840506,0.8335012094307079,1.4586271165037388,0.1920449329810281,1.3443145308671964,0.7527624678951269,4.7543,7.72598
4.117261923171171,0.12995973970496366,0.4548590889673727,0.8268318316205434,1.4469557053359507,0.19616683132897803,1.373167819302846,0.7527624678951269,4.7543,7.72598
4.12720700028028,0.13064313101895444,0.4572509585663405,0.8201624538103782,1.4352842941681616,0.19932002256931172,1.3952401579851819,0.7527624678951269,4.7543,7.72598
4.1371520773893895,0.13132652233294526,0.4596428281653083,0.813493076000213,1.4236128830003727,0.20211818757609118,1.414827313032638,0.7527624678951269,4.7543,7.72598
4.147097154498498,0.13196939302320723,0.4618928755812252,0.8067293980561114,1.4117764465981948,0.2049163525828704,1.4344144680800925,0.7527624678951269,4.7543,7.72598
4.157042231607607,0.13246270953339478,0.46361948336688164,0.7994644893502241,1.399062856362892,0.20771451758964987,1.454001623127549,0.7527624678951269,4.7543,7.72598
4.166987308716717,0.1329560260435823,0.46534609115253806,0.7921995806443369,1.3863492661275894,0.21159935455692422,1.4811954818984694,0.7527624678951269,4.7543,7.72598
4.176932385825825,0.13344934255376983,0.4670726989381943,0.7849346719384502,1.3736356758922876,0.2162267125783,1.5135869880480999,0.7527624678951269,4.7543,7.72598
4.186877462934935,0.13394265906395736,0.46879930672385073,0.777669763232563,1.360922085656985,0.2208540705996762,1.5459784941977333,0.7527624678951269,4.7543,7.72598
4.196822540044044,0.1344359755741449,0.47052591450950715,0.7708414815175287,1.348972592655675,0.22563086601869212,1.5794160621308446,0.7527624678951269,4.7543,7.72598
4.206767617153153,0.13492929208433244,0.47225252229516346,0.7642571270207867,1.3374499722863766,0.23041404245495017,1.612898297184651,0.7527624678951269,4.7543,7.72598
4.216712694262262,0.13542260859452,0.4739791300808199,0.7576727725240442,1.3259273519170771,0.23321401567973996,1.6324981097581794,0.7527624678951269,4.7543,7.72598
4.2266577713713716,0.13591592510470754,0.4757057378664763,0.7510884180273018,1.3144047315477778,0.23567980196808655,1.6497586137766056,0.7527624678951269,4.7543,7.72598
4.23660284848048,0.13640924161489504,0.47743234565213255,0.7445040635305596,1.3028821111784792,0.23814558825643295,1.6670191177950304,0.7527624678951269,4.7543,7.72598
4.2465479255895895,0.1369025581250826,0.479158953437789,0.737878874401069,1.2912880302018706,0.24061137454477957,1.6842796218134568,0.7527624678951269,4.7543,7.72598
4.256493002698699,0.13739587463527014,0.48088556122344545,0.7311932626618652,1.279588209658264,0.2430771608331262,1.7015401258318832,0.7527624678951269,4.7543,7.72598
4.266438079807807,0.13790275191428542,0.48265963169999887,0.724507650922662,1.2678883891146584,0.24444676884286928,1.7111273819000847,0.7527624678951269,4.7543,7.72598
4.276383156916917,0.13900606538897595,0.48652122886141574,0.7178220391834583,1.2561885685710519,0.24578786475315922,1.7205150532721143,0.7527624678951269,4.7543,7.72598
4.286328234026026,0.14010937886366648,0.49038282602283256,0.7111364274442544,1.2444887480274451,0.2471289606634492,1.729902724644144,0.7527624678951269,4.7543,7.72598
4.296273311135135,0.1412126923383569,0.4942444231842491,0.7045861327553272,1.2330257323218226,0.248470056573739,1.7392903960161727,0.7527624678951269,4.7543,7.72598
4.306218388244244,0.14231600581304743,0.4981060203456659,0.6981115629221447,1.221695235113753,0.24981115248402896,1.7486780673882025,0.7527624678951269,4.7543,7.72598
4.316163465353354,0.14341931928773793,0.5019676175070827,0.6916369930889622,1.2103647379056837,0.2511522483943189,1.758065738760232,0.7527624678951269,4.7543,7.72598
4.326108542462462,0.14452263276242838,0.5058292146684993,0.6851624232557801,1.199034240697615,0.2533744752321586,1.7736213266251102,0.7527624678951269,4.7543,7.72598
