r (A),g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
2.085813055855856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.1007117205405406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.1156103852252253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.13050904990991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.1454077145945947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.1603063792792794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.175205043963964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.190103708648649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.2050023733333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.219901038018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.234799702702703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.2496983673873876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.264597032072072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.2794956967567566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.2943943614414413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.309293026126126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.3241916908108107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.3390903554954954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.35398902018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.368887684864865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
