r (A),g(r)_weighted_Sr-Sr,g(r)_unweighted_Sr-Sr,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Sr-Cl,g(r)_unweighted_Sr-Cl,S_i_Sr-Cl,Average_SCL,lambda_BC
1.5765381192792793,0.0,0.0,-0.010779399162968412,-0.018863948535194717,0.0,0.0,1.0,5.05062,0
1.5901289651351351,0.0,0.0,-0.010817827237133164,-0.018931197664983034,0.0,0.0,1.0,5.05062,0
1.603719810990991,0.0,0.0,-0.010856255311297915,-0.018998446794771348,0.0,0.0,1.0,5.05062,0
1.6173106568468467,0.0,0.0,-0.010894683385462667,-0.019065695924559665,0.0,0.0,1.0,5.05062,0
1.6309015027027027,0.0,0.0,-0.01093311145962742,-0.019132945054347983,0.0,0.0,1.0,5.05062,0
1.6444923485585585,0.0,0.0,-0.010971539533792173,-0.0192001941841363,0.0,0.0,1.0,5.05062,0
1.6580831944144143,0.0,0.0,-0.011009967607956923,-0.019267443313924614,0.0,0.0,1.0,5.05062,0
1.6716740402702703,0.0,0.0,-0.011048395682121676,-0.01933469244371293,0.0,0.0,1.0,5.05062,0
1.6852648861261261,0.0,0.0,-0.01108682375628643,-0.01940194157350125,0.0,0.0,1.0,5.05062,0
1.698855731981982,0.0,0.0,-0.011125251830451181,-0.019469190703289563,0.0,0.0,1.0,5.05062,0
1.7124465778378377,0.0,0.0,-0.011163679904615934,-0.01953643983307788,0.0,0.0,1.0,5.05062,0
1.7260374236936937,0.0,0.0,-0.011202107978780686,-0.019603688962866198,0.0,0.0,1.0,5.05062,0
1.7396282695495495,0.0,0.0,-0.011240536052945437,-0.01967093809265451,0.0,0.0,1.0,5.05062,0
1.7532191154054053,0.0,0.0,-0.011272247259054085,-0.019726432703344645,0.0,0.0,1.0,5.05062,0
1.7668099612612613,0.0,0.0,-0.011277972157930026,-0.01973645127637754,0.0,0.0,1.0,5.05062,0
1.7804008071171171,0.0,0.0,-0.011283697056805963,-0.019746469849410433,0.0,0.0,1.0,5.05062,0
1.793991652972973,0.0,0.0,-0.011289421955681903,-0.019756488422443326,0.0,0.0,1.0,5.05062,0
1.8075824988288287,0.0,0.0,-0.011295146854557842,-0.019766506995476222,0.0,0.0,1.0,5.05062,0
1.8211733446846847,0.0,0.0,-0.011300871753433781,-0.019776525568509114,0.0,0.0,1.0,5.05062,0
1.8347641905405405,0.0,0.0,-0.011306596652309722,-0.01978654414154201,0.0,0.0,1.0,5.05062,0
1.8483550363963963,0.0,0.0,-0.01131232155118566,-0.019796562714574903,0.0,0.0,1.0,5.05062,0
1.8619458822522523,0.0,0.0,-0.011318046450061599,-0.019806581287607795,0.0,0.0,1.0,5.05062,0
1.8755367281081081,0.0,0.0,-0.01132377134893754,-0.01981659986064069,0.0,0.0,1.0,5.05062,0
1.889127573963964,0.0,0.0,-0.011329496247813478,-0.019826618433673584,0.0,0.0,1.0,5.05062,0
1.9027184198198197,0.0,0.0,-0.011335221146689417,-0.019836637006706476,0.0,0.0,1.0,5.05062,0
1.9163092656756757,0.0,0.0,-0.011340946045565356,-0.019846655579739372,0.0,0.0,1.0,5.05062,0
1.9299001115315315,0.0,0.0,-0.011346670944441296,-0.019856674152772265,0.0,0.0,1.0,5.05062,0
1.9434909573873873,0.0,0.0,-0.011352395843317235,-0.019866692725805157,0.0,0.0,1.0,5.05062,0
1.957081803243243,0.0,0.0,-0.011358120742193174,-0.019876711298838053,0.0,0.0,1.0,5.05062,0
1.9706726490990991,0.0,0.0,-0.011363845641069114,-0.019886729871870946,0.0,0.0,1.0,5.05062,0
1.984263494954955,0.0,0.0,-0.011369570539945051,-0.01989674844490384,0.0,0.0,1.0,5.05062,0
1.9978543408108107,0.0,0.0,-0.011375295438820992,-0.019906767017936734,0.0,0.0,1.0,5.05062,0
2.0114451866666667,0.0,0.0,-0.011381020337696932,-0.019916785590969627,0.0,0.0,1.0,5.05062,0
2.0250360325225225,0.0,0.0,-0.01138674523657287,-0.01992680416400252,0.0,0.0,1.0,5.05062,0
2.0386268783783783,0.0,0.0,-0.01139247013544881,-0.019936822737035415,0.0,0.0,1.0,5.05062,0
2.052217724234234,0.0,0.0,-0.01139819503432475,-0.019946841310068308,0.0,0.0,1.0,5.05062,0
2.06580857009009,0.0,0.0,-0.011403919933200687,-0.0199568598831012,0.0,0.0,1.0,5.05062,0
2.079399415945946,0.0,0.0,-0.011409644832076628,-0.019966878456134096,0.0,0.0,1.0,5.05062,0
2.092990261801802,0.0,0.0,-0.011415369730952566,-0.01997689702916699,-0.0011084067870072859,-0.0038794237545254997,1.0,5.05062,0
2.1065811076576577,0.0,0.0,-0.011421094629828505,-0.01998691560219988,-0.0012498681441551966,-0.0043745385045431875,1.0,5.05062,0
2.1201719535135135,0.0,0.0,-0.011426819528704446,-0.019996934175232777,-0.0013913295013031075,-0.004869653254560876,1.0,5.05062,0
2.1337627993693693,0.0,0.0,-0.011432544427580384,-0.02000695274826567,-0.0015327908584510184,-0.005364768004578564,1.0,5.05062,0
2.147353645225225,0.0,0.0,-0.011438269326456323,-0.020016971321298562,-0.0016742522155989293,-0.005859882754596252,1.0,5.05062,0
2.160944491081081,0.0,0.0,-0.011443994225332264,-0.020026989894331458,-0.0018157135727468402,-0.00635499750461394,1.0,5.05062,0
2.1745353369369367,0.0,0.0,-0.01127738605451522,-0.019735425595401635,-0.0019571749298947514,-0.0068501122546316285,1.0,5.05062,0
2.188126182792793,0.0,0.0,-0.01018722570450109,-0.017827644982876905,-0.002098636287042667,-0.007345227004649333,1.0,5.05062,0
2.2017170286486487,0.0,0.0,-0.009097065354486992,-0.015919864370352234,-0.0022400976441905775,-0.00784034175466702,1.0,5.05062,0
2.2153078745045045,0.0,0.0,-0.008006905004472896,-0.014012083757827566,-0.0023815590013384885,-0.008335456504684709,1.0,5.05062,0
2.2288987203603603,0.0,0.0,-0.0069167446544588,-0.012104303145302898,-0.0025230203584863994,-0.008830571254702397,1.0,5.05062,0
2.242489566216216,0.0,0.0,-0.005826584304444704,-0.01019652253277823,-0.0026644817156343103,-0.009325686004720085,1.0,5.05062,0
2.256080412072072,0.0,0.0,-0.004736423954430608,-0.008288741920253563,-0.002805943072782221,-0.009820800754737773,1.0,5.05062,0
2.2696712579279277,0.0,0.0,-0.003646263604416511,-0.006380961307728894,-0.002947404429930132,-0.010315915504755462,1.0,5.05062,0
2.283262103783784,0.0,0.0,-0.0025561032544023795,-0.0044731806952041635,-0.0030888657870780482,-0.010811030254773167,1.0,5.05062,0
2.2968529496396397,0.0,0.0,-0.0014659429043882826,-0.002565400082679494,-0.003230327144225959,-0.011306145004790855,1.0,5.05062,0
2.3104437954954955,0.0,0.0,-0.0003757825543741866,-0.0006576194701548264,-0.00337178850137387,-0.011801259754808544,1.0,5.05062,0
2.3240346413513513,0.0,0.0,0.0007143777956399094,0.0012501611423698412,0.0028751489610555885,0.010063021363694559,1.0,5.05062,0
2.337625487207207,0.0,0.0,0.0018045381456540054,0.003157941754894509,0.014821418219169121,0.05187496376709192,1.0,5.05062,0
2.351216333063063,0.0,0.0,0.0028946984956681014,0.005065722367419177,0.026767687477282653,0.09368690617048928,1.0,5.05062,0
2.3648071789189187,0.0,0.0,0.0039848588456822,0.006973502979943848,0.03871395673539619,0.13549884857388664,1.0,5.05062,0
2.378398024774775,0.0,0.0,0.005075019195696331,0.008881283592468578,0.05066022599351011,0.17731079097728536,1.0,5.05062,0
2.3919888706306307,0.0,0.0,0.006165179545710427,0.010789064204993246,0.06260649525162364,0.21912273338068272,1.0,5.05062,0
2.4055797164864865,0.0,0.0,0.007255339895724523,0.012696844817517913,0.08493003590782355,0.2972551256773824,1.0,5.05062,0
2.4191705623423423,0.0,0.0,0.00834550024573862,0.014604625430042581,0.11817354573301164,0.4136074100655407,1.0,5.05062,0
2.432761408198198,0.0,0.0,0.009435660595752715,0.01651240604256725,0.15141705555819973,0.529959694453699,1.0,5.05062,0
2.446352254054054,0.0,0.0,0.01052582094576681,0.018420186655091916,0.1869091958875496,0.6541821856064235,1.0,5.05062,0
2.4599430999099097,0.0,0.0,0.011615981295780908,0.020327967267616584,0.22291854904817646,0.7802149216686175,1.0,5.05062,0
2.473533945765766,0.0,0.0,0.012706141645795043,0.02223574788014132,0.255305440147349,0.8935690405157215,1.0,5.05062,0
2.4871247916216217,0.0,0.0,0.013796301995809139,0.02414352849266599,0.27852519281883825,0.9748381748659337,1.0,5.05062,0
2.5007156374774775,0.0,0.0,0.014886462345823234,0.026051309105190656,0.302027490625122,1.057096217187927,1.0,5.05062,0
2.5143064833333333,0.0,0.0,0.01597662269583733,0.027959089717715324,0.32879055228443543,1.150766932995524,1.0,5.05062,0
2.527897329189189,0.0,0.0,0.018187299533124722,0.03182777418296826,0.3555536139437489,1.244437648803121,1.0,5.05062,0
2.541488175045045,0.0,0.0,0.02445636804059135,0.042798644071034855,0.3910643052660921,1.3687250684313221,1.0,5.05062,0
2.5550790209009007,0.0,0.0,0.03072543654805798,0.053769513959101456,0.43451555252997304,1.5208044338549054,1.0,5.05062,0
2.568669866756757,0.0,0.0,0.03699450505552482,0.06474038384716842,0.47109987659284025,1.6488495680749407,1.0,5.05062,0
2.5822607126126127,0.0,0.0,0.043263573562991445,0.07571125373523502,0.5046237472625684,1.766183115418989,1.0,5.05062,0
2.5958515584684685,0.0,0.0,0.049532642070458065,0.0866821236233016,0.5381476157476355,1.883516655116724,1.0,5.05062,0
2.6094424043243243,0.0,0.0,0.0558017105779247,0.0976529935113682,0.5716714828565823,2.000850189998038,1.0,5.05062,0
2.62303325018018,0.0,0.0,0.062070779085391325,0.1086238633994348,0.6019351469570746,2.106773014349761,1.0,5.05062,0
2.636624096036036,0.0,0.0,0.06833984759285795,0.1195947332875014,0.6293691873424714,2.2027921556986496,1.0,5.05062,0
2.6502149418918917,0.0,0.0,0.07460891610032458,0.130565603175568,0.6568032277278683,2.2988112970475387,1.0,5.05062,0
2.663805787747748,0.0,0.0,0.08087798460779141,0.14153647306363495,0.6896072270668675,2.413625294734036,1.0,5.05062,0
2.6773966336036037,-0.0008215807987469486,-0.0057510655912286395,0.08714705311525806,0.15250734295170157,0.7254469197839324,2.539064219243763,1.0,5.05062,0
2.6909874794594595,-0.000823010119046329,-0.005761070833324302,0.0934161216227247,0.16347821283976818,0.758866387779427,2.6560323572279945,1.0,5.05062,0
2.7045783253153153,-0.0008244394393457093,-0.0057710760754199645,0.09968519013019131,0.17444908272783477,0.7806002188039723,2.732100765813903,1.0,5.05062,0
2.718169171171171,-0.0008258687596450897,-0.005781081317515627,0.10595425863765794,0.18541995261590136,0.8023340498285175,2.808169174399811,1.0,5.05062,0
2.731760017027027,-0.0008272980799444701,-0.00579108655961129,0.11222332714512458,0.19639082250396797,0.8240678808530628,2.8842375829857194,1.0,5.05062,0
2.7453508628828827,-0.0008287274002438505,-0.005801091801706952,0.11977684494240769,0.20960947864921342,0.845801711877608,2.9603059915716274,1.0,5.05062,0
2.758941708738739,-0.0008301567205432308,-0.0058110970438026155,0.12885229747903487,0.225491520588311,0.8625488314573324,3.018920910100663,1.0,5.05062,0
2.7725325545945947,-0.0008315860408426112,-0.005821102285898278,0.1379277500156618,0.2413735625274081,0.8764293184509422,3.0675026145782973,1.0,5.05062,0
2.7861234004504505,-0.0008330153611419916,-0.0058311075279939405,0.14700320255228871,0.2572556044665052,0.8903098054445522,3.116084319055932,1.0,5.05062,0
2.7997142463063063,-0.000834444681441372,-0.005841112770089603,0.15607865508891558,0.27313764640560223,0.9041902924381621,3.1646660235335666,1.0,5.05062,0
2.813305092162162,-0.0008358740017407523,-0.005851118012185266,0.1651541076255425,0.2890196883446993,0.9158245477092501,3.205385916982375,1.0,5.05062,0
2.826895938018018,-0.0008373033220401327,-0.005861123254280928,0.1742295601621694,0.3049017302837964,0.9237029333267944,3.2329602666437802,1.0,5.05062,0
2.8404867838738737,-0.0008387326423395131,-0.005871128496376591,0.18330501269879632,0.3207837722228935,0.9315813189443387,3.260534616305185,1.0,5.05062,0
2.85407762972973,-0.0008401619626388935,-0.005881133738472253,0.19238046523542351,0.3366658141619911,0.9394597045618832,3.288108965966591,1.0,5.05062,0
2.8676684755855857,-0.0008415912829382738,-0.005891138980567916,0.2014559177720504,0.3525478561010882,0.9473380901794275,3.3156833156279957,1.0,5.05062,0
2.8812593214414415,-0.0008430206032376542,-0.005901144222663578,0.2105313703086773,0.3684298980401852,0.9552164757969718,3.343257665289401,1.0,5.05062,0
2.8948501672972973,-0.0008444499235370345,-0.005911149464759241,0.2207108928951558,0.3862440625665226,0.963094861414516,3.3708320149508055,0.7461881683802941,5.05062,0
2.908441013153153,-0.0008458792438364148,-0.005921154706854903,0.23104037954369197,0.4043206642014609,0.9612309448699464,3.364308307044812,0.7461881683802941,5.05062,0
2.922031859009009,-0.0008473085641357952,-0.005931159948950566,0.24136986619222814,0.4223972658363992,0.9534232837340866,3.3369814930693025,0.7461881683802941,5.05062,0
2.9356227048648647,-0.0008487378844351756,-0.005941165191046228,0.2516993528407643,0.44047386747133743,0.9456156225982267,3.3096546790937933,0.7461881683802941,5.05062,0
2.949213550720721,-0.0008501672047345561,-0.005951170433141892,0.2620288394893008,0.45855046910627634,0.9378079614623667,3.282327865118283,0.7461881683802941,5.05062,0
2.9628043965765767,-0.0008515965250339364,-0.005961175675237554,0.27235832613783695,0.4766270707412146,0.9300003003265067,3.255001051142773,0.7461881683802941,5.05062,0
2.9763952424324325,-0.0008530258453333168,-0.005971180917333217,0.2826878127863731,0.49470367237615287,0.922192639190647,3.227674237167264,0.7461881683802941,5.05062,0
2.9899860882882883,-0.0008544551656326972,-0.005981186159428879,0.2930172994349093,0.5127802740110912,0.9143849780547871,3.2003474231917544,0.7461881683802941,5.05062,0
3.003576934144144,-0.0008558844859320776,-0.005991191401524542,0.30334678608344545,0.5308568756460295,0.9065773169189273,3.173020609216245,0.7461881683802941,5.05062,0
3.01716778,-0.0008573138062314579,-0.006001196643620204,0.3136762727319816,0.5489334772809678,0.8987696557830674,3.1456937952407356,0.7461881683802941,5.05062,0
3.0307586258558556,-0.0008587431265308382,-0.006011201885715867,0.3258521586566578,0.570241277649151,0.8909619946472075,3.118366981265226,0.7461881683802941,5.05062,0
3.044349471711712,-0.0008601724468302186,-0.006021207127811529,0.34299795888467915,0.6002464280481884,0.8831543335113475,3.091040167289716,0.7461881683802941,5.05062,0
3.0579403175675677,-0.0008616017671295989,-0.006031212369907192,0.36014375911269997,0.6302515784472249,0.8753466723754876,3.0637133533142062,0.7461881683802941,5.05062,0
3.0715311634234235,-0.0008630310874289793,-0.006041217612002854,0.3772895593407208,0.6602567288462613,0.862102717370363,3.01735951079627,0.7461881683802941,5.05062,0
3.0851220092792793,-0.0008644604077283597,-0.006051222854098517,0.3944353595687416,0.6902618792452977,0.845601050172423,2.9596036756034803,0.7461881683802941,5.05062,0
