Na-Na,,Na-N,,N-N,,N-O,,O-O,,Na-O,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.061135522,1.141968653,3.404236794,2.577586389,6.227101293,0.850220951,6.196417983,0.89653856,7.31635879,0.996008134,2.612607402,1.881612965
5.229893725,1.066902182,3.434920104,2.418631045,6.395859497,0.816680613,6.365176187,0.861401063,7.485116993,1.011979724,2.659469184,1.660512927
5.398651929,1.011001619,3.457932586,2.275152932,6.5646177,0.778348798,6.533934391,0.855012428,7.653875197,1.011979724,2.721533152,1.446493627
5.567410133,1.007274915,3.480945069,2.12581857,6.733375904,0.749599936,6.702692594,0.855012428,7.822633401,1.029548472,2.767558117,1.276662392
5.736168337,1.007274915,3.496286724,1.942322752,6.902134108,0.727239711,6.871450798,0.88216413,7.991391604,1.027418927,2.821253909,1.128304071
5.90492654,1.009936846,3.526970033,1.733449853,7.070892311,0.745873232,7.040209002,0.908783446,8.160149808,1.023692223,2.913303838,0.996399023
6.073684744,1.037088548,3.580665825,1.64560611,7.239650515,0.765571526,7.208967205,0.931143671,8.328908012,1.023692223,3.051378732,0.818810158
6.242442948,0.99928912,3.580665825,1.475774875,7.408408719,0.826263566,7.377725409,0.960957305,8.497666216,1.023692223,3.220136936,0.746938005
6.411201151,0.933805603,3.634361617,1.387931132,7.577166923,0.889617538,7.546483613,0.972137418,8.666424419,1.023692223,3.388895139,0.751729482
6.579959355,0.848091405,3.6573741,1.212243647,7.745925126,0.943920943,7.715241817,0.989706166,8.835182623,1.023692223,3.557653343,0.81561584
6.748717559,0.781543116,3.703399064,1.042412412,7.91468333,1.017922641,7.88400002,1.007274915,9.003940827,1.023692223,3.695728237,0.921940993
6.917475763,0.736822665,3.749424029,0.890149925,8.083441534,1.04986582,8.052758224,1.018987414,9.172699031,1.023692223,3.826132304,1.082820533
7.086233966,0.743211301,3.803119821,0.773861542,8.252199737,1.06583741,8.221516428,1.037620935,9.341457234,1.023692223,3.98721968,1.228747623
7.25499217,0.781543116,3.902840578,0.632474946,8.420957941,1.09618343,8.390274631,1.05998116,9.510215438,1.023692223,4.155977884,1.252705007
7.423750374,0.836378906,4.033244644,0.492989731,8.589716145,1.11055786,8.559032835,1.05998116,9.678973642,1.018900746,4.294052777,1.127746333
7.592508577,0.911977764,4.202002848,0.43389485,8.758474349,1.136112404,8.727791039,1.05998116,9.858352991,1.00342059,4.393773534,0.99849054
7.761266781,0.988641393,4.370761052,0.416326101,8.927232552,1.12652945,8.896549243,1.05998116,,,4.516506773,0.835101179
7.930024985,1.050398206,4.539519256,0.424311896,9.095990756,1.116946496,9.065307446,1.036556162,,,4.719329613,0.710054776
8.098783189,1.103636838,4.708277459,0.456255075,9.26474896,1.100974907,9.23406565,1.018987414,,,4.938402283,0.714462439
8.267541392,1.120140814,4.877035663,0.506831775,9.433507164,1.083406158,9.402823854,1.018987414,,,5.107160486,0.767701071
8.436299596,1.155278311,5.045793867,0.592013586,9.602265367,1.045074343,9.571582057,1.018987414,,,5.27591869,0.823601635
8.6050578,1.159537402,5.214552071,0.661223808,9.771023571,1.008339687,9.740340261,0.996627188,,,5.444676894,0.884826061
8.773816004,1.137177176,5.383310274,0.731498802,,,9.840061018,0.983849917,,,5.613435097,0.937532307
8.942574207,1.118543655,5.552068478,0.823069248,,,,,,,5.782193301,0.991835711
9.111332411,1.118543655,5.720826682,0.91251015,,,,,,,5.950951505,1.033361844
9.280090615,1.118543655,5.889584885,1.011534005,,,,,,,6.119709709,1.068499341
9.448848818,1.083938544,6.058343089,1.096715816,,,,,,,6.288467912,1.08021184
9.617607022,1.058384001,6.227101293,1.16273172,,,,,,,6.457226116,1.095118657
9.778694398,1.042998037,6.395859497,1.217035124,,,,,,,6.62598432,1.111090247
,,6.5646177,1.256964098,,,,,,,6.794742524,1.109493088
,,6.733375904,1.276130005,,,,,,,6.963500727,1.095118657
,,6.902134108,1.250575462,,,,,,,7.132258931,1.071693659
,,7.070892311,1.220229442,,,,,,,7.301017135,1.062110705
,,7.239650515,1.193610126,,,,,,,7.469775338,1.036556162
,,7.408408719,1.135580017,,,,,,,7.638533542,1.02377889
,,7.577166923,1.074355591,,,,,,,7.807291746,1.001418665
,,7.745925126,1.031232299,,,,,,,7.97604995,0.983849917
,,7.91468333,0.985979462,,,,,,,8.144808153,0.965216395
,,8.083441534,0.934870375,,,,,,,8.313566357,0.936999921
,,8.252199737,0.898135719,,,,,,,8.482324561,0.936999921
,,8.420957941,0.870451631,,,,,,,8.651082764,0.936999921
,,8.589716145,0.860868677,,,,,,,8.819840968,0.936999921
,,8.758474349,0.860868677,,,,,,,8.988599172,0.936999921
,,8.927232552,0.860868677,,,,,,,9.157357376,0.936999921
,,9.095990756,0.860868677,,,,,,,9.326115579,0.941791397
,,9.26474896,0.875243108,,,,,,,9.494873783,0.977993667
,,9.433507164,0.894409015,,,,,,,9.663631987,0.981187985
,,9.602265367,0.932208444,,,,,,,9.801706881,1.003091879
,,9.771023571,0.955101055,,,,,,,,
