K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.63646133,0.745390131,7.652135961,0.912709514,6.53609089,0.616429545,7.111053396,0.960350621,3.189356084,1.041300024,6.280855304,0.370957686
6.793080736,0.749619479,7.808651183,0.967753036,6.692798383,0.610732817,7.267846883,1.000059177,3.282174312,0.754162226,6.437726274,0.373141176
6.949700142,0.74634545,7.965166406,1.022796557,6.849553348,0.630101692,7.42461653,1.027180007,3.42538653,0.503682178,6.594649972,0.403139603
7.106319548,0.759578853,8.121705454,1.065252213,7.006327302,0.659496809,7.581376641,1.049265746,3.563575844,0.341219505,6.751564084,0.428080769
7.262938954,0.781816309,8.278234972,1.112743015,7.163120245,0.698918166,7.738155824,1.081421666,3.714932375,0.296819925,6.908574068,0.503594547
7.41955836,0.822061872,8.43477402,1.15519867,7.31994642,0.755885446,7.894906398,1.098472314,3.866288905,0.252420346,7.065617607,0.596808739
7.576177765,0.866809462,8.591355954,1.174996167,7.476805825,0.830398648,8.051647437,1.110487871,4.017707834,0.251976627,7.222646766,0.682437039
7.732797171,0.91906043,8.747942653,1.192276091,7.633669977,0.907418411,8.208364635,1.109915702,4.188054128,0.251477444,7.379733447,0.798408906
7.889416577,0.968310047,8.904562709,1.191933002,7.790538877,0.986944734,8.365081833,1.109343532,4.358462821,0.294934122,7.536796161,0.90173762
8.046035983,1.017559664,9.06121612,1.173966901,7.947393535,1.058951375,8.521784727,1.101218727,4.55254632,0.349310434,7.693911604,1.032881271
8.202655389,1.062307254,9.217874296,1.153483226,8.104233951,1.123438336,8.678487621,1.093093921,4.730442419,0.42913369,7.851012667,1.15643903
8.359274795,1.105554169,9.374556298,1.120411686,8.261079115,1.190431857,8.835171442,1.074898935,4.893441702,0.491168616,8.008032238,1.237010069
8.5158942,1.129292301,9.531233534,1.089857719,8.417872058,1.229853215,8.991845727,1.051668857,5.016641176,0.611686713,8.165042222,1.312523847
8.672513606,1.153030432,9.687934597,1.046715885,8.574627023,1.24922209,9.148539085,1.038508961,5.200736124,0.735910755,8.322013857,1.36780858
8.829133012,1.163262484,9.844602303,1.021197065,8.731348757,1.251045043,9.305222907,1.020313974,5.357526987,0.856692691,8.478923175,1.390221115
8.985752418,1.156987103,10.00127001,0.995678244,8.888046755,1.240335195,9.461906728,1.002118987,5.514346535,0.997681441,8.635765383,1.377232822
9.142371824,1.134204291,10.15793772,0.970159423,9.044687786,1.199546622,9.618595318,0.986441546,5.67115174,1.128566785,8.792535686,1.32631507
9.29899123,1.112922155,10.31460066,0.947158175,9.201328817,1.15875805,9.775279139,0.968246559,5.827942603,1.24934872,8.949305989,1.275397318
9.455610635,1.082635965,10.47125883,0.926674501,9.357955605,1.110449796,9.931967729,0.952569117,5.984676096,1.329717025,9.106047531,1.209307783
9.612230041,1.044846397,10.62789795,0.916261119,9.514577647,1.059634983,10.08868493,0.951996948,6.141373733,1.384826811,9.26279866,1.148275508
9.768849447,1.017561558,10.784518,0.91591803,9.671209183,1.01383329,10.24537828,0.938837052,6.29800683,1.394471263,9.419554582,1.089771864
