Na-Na,,Na-Cl,,Na-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.552134751,1.574251664,2.424536412,1.569635196,3.672334815,0.468144258,3.158239726,0.744428012,2.469938439,1.859810956,3.717762123,0.065797752
4.704965262,1.442358137,2.437630037,1.757682235,3.764247565,0.711043799,3.213506592,0.957811286,2.483949681,2.054163597,3.857613376,0.169350433
4.857791266,1.305589676,2.469046999,2.007790478,3.830591126,0.930951597,3.264522161,1.146351945,2.513099158,2.329161167,3.969737704,0.369903836
4.936404416,1.200183078,2.502348668,2.292439448,3.886547447,1.131323181,3.31553773,1.347144921,2.545274251,2.556466711,4.02611923,0.551720343
5.048828278,1.139504033,2.515419718,2.468273294,3.938202215,1.317033943,3.362302001,1.565103229,2.589871631,2.807573794,4.089036566,0.771592024
5.188910522,1.005195566,2.545575693,2.692911749,3.985653031,1.51449234,3.438825355,1.770724615,2.672695337,2.910621267,4.122339362,0.957324722
5.341756801,0.890364305,2.616402532,2.920226549,4.032174856,1.690434845,3.569667078,1.951472162,2.736405879,2.695235954,4.185222799,1.186366198
5.494645883,0.82184491,2.690319077,2.967946984,4.101853217,1.926106227,3.680641184,1.993800594,2.761890096,2.504425138,4.23955002,1.431329104
5.647539469,0.758200448,2.745653064,2.903634087,4.191672058,2.094972295,3.808688229,1.91425047,2.792366242,2.294036392,4.289143912,1.643208914
5.800439815,0.701868386,2.783529311,2.707870388,4.267612168,2.24474872,3.96355692,1.796538006,2.82098099,2.086098837,4.357376678,1.90288627
5.953371698,0.679660857,2.849434495,2.505432101,4.358118616,2.311208261,4.080771263,1.592466234,2.851084856,1.909944776,4.449340011,2.146506436
6.106314845,0.669640662,2.897437532,2.27177861,4.510932147,2.286376438,4.198520345,1.395313375,2.889311182,1.717626144,4.550520759,2.359531563
6.259267003,0.669370333,2.957081899,2.031531866,4.650611486,2.155453378,4.318843918,1.253625443,2.922780067,1.482242599,4.703077219,2.466635671
6.412246195,0.698349603,3.011309633,1.816145724,4.784683574,1.98493119,4.395367271,1.113731471,2.956152256,1.239611014,4.859531267,2.452259269
6.565238902,0.741953674,3.067018043,1.613736333,4.891341596,1.784767266,4.548413978,1.032431073,3.001441737,0.998364844,4.982210908,2.320077796
6.718238368,0.792870144,3.125390781,1.473606998,4.99085597,1.621823803,4.686623487,0.928083828,3.064060098,0.79527913,5.059385374,2.13119794
6.871249097,0.855973948,3.192372415,1.262476801,5.077910811,1.498056489,4.790382244,0.903225637,3.135658613,0.600827927,5.125572552,1.959120576
7.024259827,0.919077752,3.275779455,1.071713641,5.1328743,1.37026048,4.90552296,0.90154127,3.209684196,0.438506546,5.184600171,1.753531208
7.17728182,0.994368889,3.379251348,0.90008588,5.220498417,1.206259948,5.058569667,0.937863123,3.317446028,0.328335978,5.256251357,1.519844503
7.33030156,1.067222559,3.531981717,0.779963153,5.355771377,1.032311429,5.211616374,0.942328949,3.462706065,0.24033244,5.353872599,1.279311161
7.483307784,1.125451429,3.684743692,0.676938895,5.494098799,0.863944471,5.36466308,0.919839676,3.615611367,0.1787132,5.428497828,1.041185124
7.63630725,1.1763679,3.837604998,0.627652682,5.651982016,0.733255681,5.517709787,0.850791596,3.76851667,0.153772706,5.551290573,0.854593793
