r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
7.202564937453159,0.31994909233467084,0.3407201682245003,0.3453244253838218,0.0029500011368961366,3.89484,4.005403
7.331182168479108,0.33210369138080875,0.329261037746606,0.33363468817644504,0.0029500011368961366,3.89484,4.005403
7.459799399505058,0.344233035100141,0.31897255932115565,0.3230636942715167,0.0029500011368961366,3.89484,4.005403
7.588416630531007,0.35416505195965264,0.3111503399387052,0.3137803512173618,0.0029500011368961366,3.89484,4.005403
7.717033861556956,0.3626529157964813,0.3055810541229751,0.3069746822952587,0.0029500011368961366,3.89484,4.005403
7.845651092582905,0.3667147534504103,0.30501116765960173,0.30243855713985274,0.0029500011368961366,3.89484,4.005403
7.974268323608855,0.3687040719464492,0.3044412811962284,0.2998821065270466,0.0029500011368961366,3.89484,4.005403
8.102885554634804,0.3678917061318737,0.303871394732855,0.2998821065270466,0.0029500011368961366,3.89484,4.005403
8.231502785660753,0.3637708590297335,0.30622291514832894,0.3030130343186661,0.0029500011368961366,3.89484,4.005403
8.360120016686702,0.35855790113648,0.31077603905890494,0.30769880170283564,0.0029500011368961366,3.89484,4.005403
8.488737247712653,0.3522366314244719,0.3170469990182728,0.31380399016883154,0.0029500011368961366,3.89484,4.005403
8.617354478738601,0.3442614826987625,0.32387269856236944,0.32052959239773327,0.0004918769795427035,3.89484,4.005403
8.74597170976455,0.3372777685218445,0.33136068882613534,0.32763465874940545,0.00021081451627267723,3.89484,4.005403
8.874588940790499,0.33011702122119707,0.33848438013292026,0.3349270883359966,0.00021081451627267723,3.89484,4.005403
9.00320617181645,0.3240061418633063,0.3448927851533782,0.3418128239513008,0.00021081451627267723,3.89484,4.005403
9.131823402842398,0.3186838571693156,0.350115869894341,0.3476117138305317,0.00021081451627267723,3.89484,4.005403
9.260440633868347,0.3155189189153442,0.35431403350785784,0.35209403201625805,0.00021081451627267723,3.89484,4.005403
9.389057864894296,0.3134151539990334,0.3556607800935326,0.3542558327326908,0.00021081451627267723,3.89484,4.005403
9.517675095920247,0.31170860356399455,0.3540461017806414,0.35447545127878444,0.00021081451627267723,3.89484,4.005403
9.646292326946195,0.31353911397327805,0.35161614769756955,0.35383797066811695,0.00021081451627267723,3.89484,4.005403
9.774909557972144,0.3158204701857831,0.34911600063244796,0.35247683688369635,0.00021081451627267723,3.89484,4.005403
9.903526788998093,0.31824216218804646,0.3452779611414494,0.34835302023074,0.00021081451627267723,3.89484,4.005403
10.032144020024043,0.3230915251432506,0.34127971008095703,0.34385993025047706,0.00021081451627267723,3.89484,4.005403
10.160761251049992,0.32733867648259546,0.3366042607758502,0.33915532701982626,0.00021081451627267723,3.89484,4.005403
10.289378482075941,0.33260975128027187,0.3319453296496265,0.33467159220055837,0.00021081451627267723,3.89484,4.005403
10.417995713101892,0.336956962122671,0.32786614233284905,0.33054739090469715,0.00021081451627267723,3.89484,4.005403
10.54661294412784,0.34084052240158513,0.32432064826218193,0.32672140262517196,0.00021081451627267723,3.89484,4.005403
10.67523017515379,0.3438603385039407,0.32413451819729533,0.3232785348175199,0.00021081451627267723,3.89484,4.005403
10.803847406179738,0.3460646119262496,0.32394838813240867,0.321669606721789,9.942337813058916e-05,3.89484,4.005403
10.932464637205689,0.3479482453601486,0.32376225806752207,0.32083660109447587,2.718890007893358e-05,3.89484,4.005403
11.061081868231637,0.34803453809740525,0.3235761280026354,0.3204362676284696,2.718890007893358e-05,3.89484,4.005403
11.189699099257586,0.34630274286910934,0.32419063003234055,0.3210994448956561,2.718890007893358e-05,3.89484,4.005403
11.318316330283535,0.34456737037750435,0.32534397168440565,0.32254364899502747,2.718890007893358e-05,3.89484,4.005403
11.446933561309486,0.3410250742863955,0.32725971152634614,0.324790947132105,2.718890007893358e-05,3.89484,4.005403
11.575550792335434,0.3390468613071349,0.33031910201392933,0.32775341478054965,2.718890007893358e-05,3.89484,4.005403
11.704168023361383,0.33587335392702977,0.33337849250151247,0.3307158824289945,2.718890007893358e-05,3.89484,4.005403
11.832785254387332,0.33314858427402594,0.3362791493322968,0.33360574043560837,2.718890007893358e-05,3.89484,4.005403
11.961402485413283,0.33042690013452475,0.3391649573808684,0.3360077412316448,2.718890007893358e-05,3.89484,4.005403
12.090019716439231,0.3277343422165108,0.3409809759344989,0.3381885786337443,2.718890007893358e-05,3.89484,4.005403
12.21863694746518,0.32603598959100477,0.3422446302052269,0.34020988606360186,2.718890007893358e-05,3.89484,4.005403
12.34725417849113,0.32603598959100477,0.34341397849462335,0.3420514200072298,2.718890007893358e-05,3.89484,4.005403
12.47587140951708,0.32603598959100477,0.3432546606124949,0.3425266889045649,2.718890007893358e-05,3.89484,4.005403
12.604488640543028,0.32603598959100477,0.34200458707993403,0.3423888458840273,2.718890007893358e-05,3.89484,4.005403
12.733105871568977,0.32603598959100477,0.3407545135473733,0.34175136249815863,7.415154566981934e-06,3.89484,4.005403
