r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Eu-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Eu-Cl,Average_SCL,lambda_BC
2.787331002020202,0.2516010191218106,0.12529527775325006,0.07921770095783284,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.8570142770707068,0.1970124827125409,0.22615117124496367,0.0641457827884153,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.926697552121212,0.1574542636622956,0.3139758718749269,0.03199902537212742,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.996380827171717,0.1315449223512848,0.40228284055473906,0.018422324088862883,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
3.066064102222222,0.11287846567365369,0.44460809639455906,0.009214079965289793,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
3.135747377272727,0.10077201352693128,0.4550559297305855,0.003586789930427494,2.2902899648191746e-21,0.27065267832557693,3.3851581042609254e-56,2.63068,0
3.205430652323232,0.09141270082662681,0.4478700455867923,0.0021265043611016256,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.275113927373737,0.08385578683940056,0.4229356729464121,0.0019332714117970909,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.3447972024242425,0.08190178370925913,0.38444798067042074,0.0010115209777177548,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.4144804774747475,0.07711790943309996,0.33926157786986644,0.0004228609351180457,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.4841637525252525,0.07623866873135453,0.3053699233444442,5.861963186193077e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.5538470275757574,0.07535942802960909,0.2737773037287066,6.026396880180206e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.6235303026262624,0.07448018732786366,0.24209074045325413,6.190831220249109e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.6932135776767674,0.07657352559110986,0.2118828351229847,6.355264831626736e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.7628968527272724,0.08167202336827073,0.18196926932843288,6.519698544467792e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.832580127777778,0.07800913616366657,0.15821012168539553,7.889569205257502e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.9022634028282828,0.08558931489592105,0.1387042596119076,0.0002487420984821931,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
