r (A),g(r)_weighted_Al-F,g(r)_weighted_Na-F,g(r)_weighted_Al-Na,g(r)_weighted_K-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,g(r)_weighted_Al-K,g(r)_weighted_Al-Al,g(r)_weighted_K-Na,S_i_Al-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
0.997662619006898,0.0006236026060602422,0.0006025145952275341,0.00013645571248581707,-0.002084471191287876,0.00013184126810224565,-0.02169268696414243,-0.0004939577088440497,-0.0011373027519155346,-0.0004595008100450926,1.0,1.0,1.0,2.11029,0
1.0974288809075878,0.0006866352838363764,0.000663415733175162,0.00015024842097074458,-0.004304502456806671,0.00014516755649344735,-0.02009353411744715,-0.0005109621059330665,-0.0011373027519155346,-0.000417934324816005,1.0,1.0,1.0,2.11029,0
1.1971951428082774,0.0007496679616123969,0.0007243168711230508,-0.00022851143241703483,-0.0053402679720158195,0.00015849384488465416,-0.017293173190476283,-0.0005109621059330665,-0.001083311295175051,-0.0003763678395869175,1.0,1.0,1.0,2.11029,0
1.2969614047089673,0.0008127006393882702,-0.0008802385497960324,-0.0011164530629174233,-0.005311948942870129,0.00017182013327587066,-0.016629877647189244,-0.0005109621059330665,-0.0009459206529492942,-0.00037026239560366577,1.0,1.0,1.0,2.11029,0
1.396727666609657,0.0020507834208388174,-0.004579629885698228,-0.001190875736623529,-0.004419212653289068,0.00018514642166708714,-0.016629877647189244,-0.0005109621059330665,-0.000852977063936638,-0.00037026239560366577,1.0,1.0,1.0,2.11029,0
1.496493928510347,0.015228214577126814,-0.005197361776418842,-0.0011770830281386143,-0.003023356760787999,0.00019847271005829706,-0.016629877647189244,-0.0005109621059330665,-0.000852977063936638,-0.00037026239560366577,1.0,1.0,1.0,2.11029,0
1.5962601904110367,0.6959856963614021,-0.003723613729063351,-0.0005297872473712484,-0.002388454196889,0.00021179899844948983,-0.016629877647189244,-0.0005109621059330665,-0.000852977063936638,-0.00037026239560366577,1.0,1.0,1.0,2.11029,0
1.6960264523117266,1.9306883427281591,9.485897645816279e-05,0.0002330046718801447,-0.0023601351677432847,0.00022512528684068338,-0.016629877647189244,-0.0005109621059330665,-0.000852977063936638,-0.00037026239560366577,1.0,1.0,1.0,2.11029,0
1.7957927142124164,1.5585721986668484,0.007862952134896501,0.00024679738036505373,-0.0023318161385975714,0.00023845157523188322,-0.016629877647189244,-0.0005109621059330665,-0.0009213683365832266,-0.00037026239560366577,0.015152930435953412,1.0,1.0,2.11029,0
1.8955589761131062,0.5215902932856213,0.042693897365551924,0.0006006450876210885,-0.002303497109451867,0.0002517778636230879,-0.016629877647189244,-0.0005109621059330665,-0.001071843801878103,-0.00036576806602930056,0.015152930435953412,1.0,1.0,2.11029,0
1.995325238013796,0.16441415845034474,0.15115522138901866,0.0013107592949937825,-0.002275178080306163,0.00026510415201429986,-0.014058002901355714,-0.0005109621059330665,-0.0011373027519155346,-0.00032290262813680794,0.015152930435953412,1.0,1.0,2.11029,0
2.095091499914486,0.07526374106024673,0.29126511829656737,0.0016706777888686824,0.0011327238817950562,0.00027843044040551184,-0.008907000769360416,-0.0005109621059330665,-0.0011373027519155346,-0.00028003719024431527,0.015152930435953412,1.0,1.0,2.11029,0
2.1948577618151757,0.019722387431026833,0.36831102644576336,0.0016844704973535743,0.01723853725958736,0.0007368237280313486,0.05644934853389992,-0.0005109621059330665,-0.0012346791322973985,-0.0002674705991326706,0.015152930435953412,0.9619308339051116,1.0,2.11029,0
2.2946240237158655,0.01566449417964036,0.3763171575032492,0.001698263205838446,0.059163428289793124,0.0012605670644887808,0.2471756707382666,-0.0005109621059330665,-0.0014009941202548929,-0.00035891686663665917,0.015152930435953412,0.024634773566055774,1.0,2.11029,0
2.394390285616555,0.014142130961991206,0.32324690179133064,0.0017120559143233125,0.09045036500786759,0.002031434592766591,0.6429599959307875,-0.0005109621059330665,-0.0014216284398944313,-0.00045036313414064717,0.015152930435953412,0.024634773566055774,1.0,2.11029,0
2.4941565475172447,0.014205163639767045,0.2578316545610897,0.0017258486228081916,0.1184613291124643,0.0035243389452951322,1.037675965593736,-0.0005386346752492518,-0.0014216284398944313,-0.00042493146912907557,0.015152930435953412,0.024634773566055774,1.0,2.11029,0
2.5939228094179345,0.018993156909369334,0.21608756324510786,0.0021992532014021415,0.1335725501814328,0.005017243297823672,1.254808218977321,-0.0005912162790640476,-0.0012255967924397135,-0.00029429394412337767,0.015152930435953412,0.024634773566055774,0.300379515114511,2.11029,0
