r (A),g(r)_weighted_U-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-U,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
3.9829970064848483,0.032199154980353265,0.13096457529123343,0.8296255064537685,0.09867446061309065,0.05644888280470402,0.006745040226732664,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.052874146949495,0.03020891248163572,0.12904298548293294,0.7819833992746841,0.10216952093375589,0.06430671644025504,0.009897716682170321,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.122751287414141,0.02989271425719099,0.1273243611461266,0.7347674462137581,0.10428613860403001,0.07018316753934753,0.014611672916782219,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.1926284278787875,0.030713383732370887,0.12764613380173406,0.6942569794567206,0.10562211477056803,0.07585505162858638,0.018854513201768217,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.2625055683434345,0.03243729268327001,0.1282877159501784,0.6568113861909811,0.10620438525162297,0.08112533625196625,0.022946501311167423,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.332382708808081,0.0346389503189174,0.12857582912097928,0.6131682083219326,0.10641306156878512,0.08414778404302924,0.026776566251295906,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.402259849272728,0.03761546722394675,0.1298084464013741,0.58609206256492,0.10636925643022455,0.0861744567320825,0.030620278128278475,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.472136989737374,0.04065448695899945,0.13142899017028853,0.5645488693442878,0.10506007519389225,0.08712244776347988,0.034447117236870106,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.54201413020202,0.04374695765134129,0.13390432307211939,0.5424033339593959,0.10375089395755999,0.08737866341040472,0.03639054995888642,0.024230229493041492,0.1572977725470911,2.9513,2.717874
4.611891270666667,0.046534665819548696,0.13639279270213794,0.524785627930759,0.10233089309713612,0.08631125599870075,0.036920651275839926,0.024230229493041492,0.1572977725470911,2.9513,2.717874
