r (A),g(r)_weighted_Sr-Sr,g(r)_weighted_Cl-Cl,g(r)_weighted_Sr-Cl,S_i_Sr-Cl,Average_SCL,lambda_BC
5.8971915699999995,0.13405179290798416,0.5210352939446459,0.3417338354148283,0.0017209707274354795,4.8667,3.388477
6.03433556,0.1203883327164811,0.5131423954284455,0.3544920112833229,0.0017209707274354795,4.8667,3.388477
6.17147955,0.11257802000543285,0.5183577497833808,0.34820497472196527,0.0017209707274354795,4.8667,3.388477
6.308623539999999,0.10476770729438466,0.5235731041383158,0.3414914114324473,0.0017209707274354795,4.8667,3.388477
6.4457675299999995,0.09948436975239695,0.5313046829204066,0.3347778481429293,0.0017209707274354795,4.8667,3.388477
6.58291152,0.09777835676976701,0.5460443217935661,0.32755703873911574,0.0017209707274354795,4.8667,3.388477
6.72005551,0.09607234378713707,0.5607839606667255,0.3181465430406419,0.0017209707274354795,4.8667,3.388477
6.8571995,0.0967247726895966,0.5742772896305766,0.3087360473421681,0.0017209707274354795,4.8667,3.388477
6.994343489999999,0.10199774418524087,0.5819599223647073,0.29932555164369423,0.0017209707274354795,4.8667,3.388477
7.13148748,0.10727071568088516,0.589642555098838,0.29153288040252867,0.0017209707274354795,4.8667,3.388477
7.26863147,0.11316290077783264,0.5963943475815829,0.286137753146914,0.0017209707274354795,4.8667,3.388477
7.405775459999999,0.12099899773056898,0.594190630259011,0.2807426258912993,0.0017209707274354795,4.8667,3.388477
7.542919449999999,0.12883509468330534,0.5919869129364389,0.27534749863568453,0.0017209707274354795,4.8667,3.388477
7.68006344,0.13658730927299403,0.5897208383092498,0.2711913508855085,0.0017209707274354795,4.8667,3.388477
7.81720743,0.14381426685138554,0.5842114308154198,0.26782558765385506,0.0017209707274354795,4.8667,3.388477
7.95435142,0.151041224429777,0.5787020233215899,0.2644598244222016,0.0017209707274354795,4.8667,3.388477
8.09149541,0.15810829672783067,0.5731926158277598,0.2610940611905482,0.0017209707274354795,4.8667,3.388477
8.228639399999999,0.16084662754899998,0.570966485092923,0.26133572261993476,0.001390290444133712,4.8667,3.388477
8.365783389999999,0.16358495837016931,0.5689279174765716,0.2623990145295399,0.0009842941042272559,4.8667,3.388477
8.50292738,0.1663232891913387,0.5668893498602201,0.263462306439145,0.0005782977643207995,4.8667,3.388477
8.64007137,0.16571416474091422,0.5675803171074029,0.2645501087741417,0.0001765473937960856,4.8667,3.388477
8.77721536,0.16491650358437837,0.5686771619546783,0.26795706878492326,0.0001765473937960856,4.8667,3.388477
8.91435935,0.16411884242784255,0.5697740068019537,0.27136402879570476,0.0001765473937960856,4.8667,3.388477
9.05150334,0.16019525712532398,0.5668128835657551,0.2747709888064863,0.0001765473937960856,4.8667,3.388477
9.18864733,0.1557963825401225,0.562791671899865,0.27811189464774566,0.0001765473937960856,4.8667,3.388477
9.32579132,0.15139750795492105,0.558770460233975,0.28119214491262534,0.0001765473937960856,4.8667,3.388477
9.462935309999999,0.14696541531939478,0.5545115672884456,0.284272395177505,0.0001765473937960856,4.8667,3.388477
9.600079299999999,0.1425250055367956,0.5501597354757877,0.2873526454423847,0.0001765473937960856,4.8667,3.388477
9.73722329,0.13808459575419643,0.5458079036631296,0.2896372173419751,0.0001765473937960856,4.8667,3.388477
9.87436728,0.13549351131745926,0.544652124852969,0.29070050924750396,0.0001765473937960856,4.8667,3.388477
10.01151127,0.13358083816122326,0.5452542117298046,0.2917638011530328,0.0001765473937960856,4.8667,3.388477
10.14865526,0.1316681650049873,0.5458562986066402,0.2928270930585616,0.0001765473937960856,4.8667,3.388477
10.28579925,0.13108216368562023,0.5483300969620774,0.2930198787084392,0.0001765473937960856,4.8667,3.388477
10.422943239999999,0.1311913041406627,0.5522283965250478,0.2926088895419521,0.0001765473937960856,4.8667,3.388477
10.560087229999999,0.13130044459570522,0.5561266960880183,0.2921979003754649,0.0001765473937960856,4.8667,3.388477
10.697231219999999,0.13204815991430474,0.5591403649036639,0.2917869112089778,0.0001765473937960856,4.8667,3.388477
