r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_Mg-F,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-F,S_i_K-F,S_i_Mg-F,S_i_Na-F,Average_SCL,lambda_BC
2.4538593517272727,0.04998678024442276,0.6001564210214368,0.018266445737537666,1.3292973729939696e-05,0.3663165965477213,1.0,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.513709579818182,0.08727209556682007,0.6550438504313846,0.01279713030198174,1.3989091514833276e-05,0.30105692651832505,0.7820170116432829,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.573559807909091,0.130239836915297,0.6724919294776254,0.009482866194287886,3.520316843674082e-05,0.24773525135335575,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.633410036,0.17800914829246736,0.6500246036499183,0.007409295842302431,8.57103725923049e-05,0.2029642751171229,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.693260264090909,0.22807153159220644,0.5995602210078739,0.005907255626648818,0.0001641356487396391,0.17126322288925008,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.7531104921818184,0.2769379476127772,0.5365587808132587,0.004749959348797671,0.00027006352184447314,0.14583183600664507,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.812960720272727,0.32190017863927084,0.47846372628963224,0.004231208408156779,0.0003908957862962353,0.12452126975556904,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.8728109483636364,0.3643869461360365,0.4225452274893011,0.003955457487197265,0.0006427024975640708,0.10697291325625441,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.9326611764545456,0.40498690547607796,0.36996928503984755,0.003587267707119973,0.0010490124193856902,0.0943622926060108,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.9925114045454544,0.44129943982541575,0.32403721663206453,0.003377857175955889,0.0015322661645720708,0.08433511016213198,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.0523616326363636,0.4745631850987677,0.2871103300795551,0.0034117236730884684,0.002007294588598053,0.07561791979054218,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.112211860727273,0.5027473699225404,0.2501834435270457,0.0032695359918573047,0.002998044216730835,0.06863519022867724,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.1720620888181816,0.526594078999284,0.2204163703676813,0.0034384869793965002,0.003636806679572404,0.06323514718002138,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
