r (A),g(r)_weighted_K-Na,g(r)_weighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
6.523432280000001,0.013920336408852926,0.01086435978082083,0.44253910925049994,0.08461019120560816,0.19154764929471105,0.13302684312314117,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
6.721112046060607,0.015164966333067756,0.01371963347977072,0.48489291837598164,0.07446729771627571,0.17268973791126105,0.12113937960252784,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
6.918791812121213,0.017146163825875298,0.017474173263245248,0.5092473220200384,0.06835327261627512,0.14738695595862136,0.11729363918705764,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
7.116471578181819,0.019624687639045013,0.022089283382570015,0.51898651833696,0.06350613746515177,0.131692210217599,0.11639880384484781,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
7.314151344242425,0.022083474955302468,0.025872869158086155,0.5133342703170297,0.06117471090420757,0.12118387481619265,0.1139239747658958,5.36412839426583e-19,3.065615962984109e-11,1.1232638314396326e-07,2.75784,0
7.5118311103030315,0.02454856003378711,0.029375311434028075,0.49654681297767517,0.05887201975380536,0.11362345858023998,0.10842457201152915,5.36412839426583e-19,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
7.7095108763636375,0.026786206716405147,0.03061834618745687,0.47130734721179607,0.05875142756633543,0.10855151143643701,0.10313469086894772,5.36412839426583e-19,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
7.9071906424242435,0.028154328878827753,0.03078876012541934,0.45321702495479943,0.05952745677828707,0.1058483809682227,0.10211029429658816,8.077340825041838e-20,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
8.10487040848485,0.028951109219785453,0.030108443636601045,0.442534503754092,0.06438288373154975,0.10562733190909573,0.10984292754697926,3.3932145318302256e-24,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
8.302550174545456,0.028687274336578757,0.028578014322131008,0.43302447429108964,0.06965294259763077,0.10844071635632525,0.12087497567403672,3.3932145318302256e-24,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
