r (A),g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_K-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,g(r)_weighted_Li-Na,g(r)_weighted_K-Li,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_K-K,S_i_Li-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
1.8034424796363637,0.9992772963220823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.52477,2.421498
1.853538104070707,1.0610095962404866,0.005572274009308611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407287402162188,1.0,1.0,2.52477,2.421498
1.9036337285050504,0.9870994393734978,0.012177538068440295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
1.953729352939394,0.8791969483622069,0.022641611191307164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.0038249773737373,0.7293104601025516,0.052591438310920634,0.0,0.00324708343858252,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.053920601808081,0.5739026918554754,0.08528832531922227,0.0,0.00492707323672606,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.1040162262424245,0.4610334210356507,0.11940628184604496,0.0,0.007567980177123686,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.1541118506767676,0.3483698277117853,0.15135054355962282,0.02080561995336026,0.01121581314832634,0.0,0.0,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.204207475111111,0.2745676129425865,0.16524730628687537,0.05053267787542727,0.017748586576037548,0.0,0.0006163445299574139,0.0,0.0,0.0,0.0,0.247653443551669,1.0,1.0,2.52477,2.421498
2.2543030995454547,0.21158202226454914,0.17293025229825612,0.08092103718504813,0.02764632537409191,0.0,0.0011266139327122753,0.0,0.0,0.0,0.0,0.247653443551669,0.10279831217908952,1.0,2.52477,2.421498
2.304398723979798,0.17726071775183427,0.16795634805748266,0.14724737863026463,0.04052632086810688,0.0,0.001682923614896121,0.0,0.0,0.0,0.0,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
2.3544943484141414,0.14011563131108534,0.1578784485355844,0.21770998848850598,0.05417713349647994,0.013020574891284439,0.0025627073317950576,0.0,0.00013307250249127055,0.0,0.0,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
