r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
4.364891743131314,0.06646287405105476,0.08876328241466458,0.0013956704736753111,0.01287656557126986,0.11738848348323358,0.06240988405780578,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.515405251515152,0.06131008173916934,0.09416530528838858,0.0013785392667805814,0.013209110428451064,0.13690823133873203,0.07450402796363066,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.66591875989899,0.05605819458471094,0.10151416666781123,0.0012293723551768877,0.01307761941751036,0.14645159523382595,0.09264924979966419,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.816432268282829,0.05047998454053213,0.10907320559014681,0.001258486472162543,0.013393866432914523,0.14757712887265367,0.11139548285797074,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.966945776666667,0.04507130434398262,0.11661860815343982,0.0011935034823710936,0.014047831824150075,0.1405652763695322,0.13099492507280158,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
5.117459285050505,0.040538100585861395,0.1256993773338771,0.0010439704132213677,0.014429319402350786,0.12178282536143224,0.15423335752698947,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
5.267972793434343,0.03596217719786096,0.1364979978743754,0.0009254602484297584,0.015655779123980564,0.093652871902381,0.175839205421487,0.04404406128431612,0.0020162315394936757,0.0023524544526990487,2.84775,0
5.418486301818183,0.03151544800818198,0.14786042094006577,0.0008659409346974214,0.016790369074480966,0.06849958242200276,0.19730776912636805,3.1950003935022024e-08,0.0020162315394936757,8.333322468951107e-05,2.84775,0
5.568999810202021,0.028895287295345146,0.1589477419498671,0.0007924662032910151,0.018114153784074737,0.04658911928475243,0.21740822650355335,3.1950003935022024e-08,0.0020162315394936757,8.333322468951107e-05,2.84775,0
5.719513318585859,0.02715847338643078,0.1696453204915328,0.0006984568090040255,0.01947479961925874,0.034702165665234534,0.23731338332973045,3.1950003935022024e-08,0.0020162315394936757,8.333322468951107e-05,2.84775,0
5.870026826969697,0.026053385815669957,0.17809917689536323,0.0005955702805321497,0.021019551580601793,0.028424793627263755,0.24723144932309918,3.1950003935022024e-08,0.0020162315394936757,8.333322468951107e-05,2.84775,0
6.020540335353536,0.0253422231510698,0.1829363921223415,0.000609714513987893,0.02260009268832236,0.025265078472482518,0.250899446430663,3.1950003935022024e-08,0.0020162315394936757,8.333322468951107e-05,2.84775,0
6.171053843737374,0.025286366516890098,0.18265635726608243,0.0005995075730865985,0.023966439822138846,0.02457619880290514,0.24513608040729853,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
6.321567352121213,0.02582605302230867,0.17868051752713943,0.0005841949094984463,0.024918821719973862,0.024693845596936763,0.23318426013278082,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
6.472080860505051,0.026813571734955265,0.17227981383777774,0.0005724394373783004,0.025238141596943278,0.026278185263658993,0.21632314186194485,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
6.6225943688888895,0.028350060316942035,0.1639376176102892,0.0005457050645801518,0.024938614757004315,0.029544988605230922,0.19727541790863057,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
6.773107877272728,0.03008818076447765,0.1544367331724168,0.0005203646964247155,0.023983728228784085,0.03317221509182443,0.18584771916506368,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
6.923621385656566,0.032371164300744236,0.1446840949576743,0.0005105620708618374,0.022986122196411822,0.03845123554417939,0.17341277888180043,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.074134894040404,0.034719885539008,0.137575059517881,0.0005514487440856337,0.021552470315432223,0.044212649366289575,0.16615526626368304,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.224648402424243,0.03721714670963619,0.13058283342148344,0.0005804908891426932,0.020318197166659318,0.051822722464207875,0.1583644675519316,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.375161910808082,0.04019876458800903,0.12533317973865113,0.0005688605366508407,0.019182423128923713,0.058995338129466016,0.15824270036197283,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.52567541919192,0.041999779970624554,0.12052806905388684,0.0006949501935083792,0.017976612907836146,0.06541299905235275,0.1566809036098968,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.676188927575758,0.044094733474988004,0.1168118459941108,0.0006746512102208047,0.017235680959330285,0.07193229703241329,0.14510916097290766,3.1950003935022024e-08,1.9920724444273043e-58,8.333322468951107e-05,2.84775,0
7.8267024359595965,0.04550045127781298,0.1153906090700195,0.0007596345249676878,0.016411462510733287,0.07693473416937599,0.14357570551708979,3.1950003935022024e-08,1.9920724444273043e-58,6.921392354279185e-05,2.84775,0
