r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
3.98731762012012,0.1629753391100319,0.4889260173300957,0.5404555667292505,1.6213667001877519,0.6728143973124809,4.53717,4.352426
4.0032668906006,0.16213212094387333,0.48639636283162,0.5398800531520158,1.6196401594560474,0.6728143973124809,4.53717,4.352426
4.019216161081081,0.16128890277771474,0.48386670833314427,0.539304539574781,1.617913618724343,0.6728143973124809,4.53717,4.352426
4.035165431561562,0.16044568461155617,0.4813370538346685,0.5387290259975461,1.6161870779926386,0.6728143973124809,4.53717,4.352426
4.0511147020420415,0.1597580031234041,0.47927400937021236,0.5381535124203114,1.6144605372609342,0.6728143973124809,4.53717,4.352426
4.067063972522522,0.15965886295428175,0.4789765888628453,0.5375779988430766,1.6127339965292298,0.6728143973124809,4.53717,4.352426
4.083013243003003,0.1595597227851594,0.4786791683554782,0.5370024852658417,1.6110074557975254,0.6728143973124809,4.53717,4.352426
4.0989625134834835,0.15946058261603702,0.4783817478481111,0.536426971688607,1.609280915065821,0.6728143973124809,4.53717,4.352426
4.114911783963964,0.15936144244691466,0.478084327340744,0.5358514581113721,1.6075543743341165,0.6728143973124809,4.53717,4.352426
4.130861054444444,0.1592623022777923,0.477786906833377,0.5325522302223679,1.5976566906671037,0.6728143973124809,4.53717,4.352426
4.146810324924925,0.15916316210866996,0.4774894863260099,0.5290731209907302,1.5872193629721907,0.6728143973124809,4.53717,4.352426
4.162759595405405,0.1590640219395476,0.4771920658186428,0.5255940117590925,1.5767820352772774,0.6728143973124809,4.53717,4.352426
4.178708865885886,0.15896488177042523,0.47689464531127573,0.5221149025274547,1.5663447075823644,0.6728143973124809,4.53717,4.352426
4.194658136366366,0.158990766418649,0.47697229925594703,0.5186357932958173,1.555907379887452,0.6728143973124809,4.53717,4.352426
4.210607406846846,0.15957679531316724,0.47873038593950173,0.5163946709521259,1.5491840128563776,0.6728143973124809,4.53717,4.352426
4.226556677327327,0.16016282420768546,0.48048847262305644,0.514827248608731,1.544481745826193,0.6728143973124809,4.53717,4.352426
4.242505947807808,0.16074885310220371,0.48224655930661114,0.5132598262653362,1.5397794787960086,0.6728143973124809,4.53717,4.352426
4.258455218288288,0.16133488199672194,0.48400464599016585,0.5116924039219413,1.535077211765824,0.6728143973124809,4.53717,4.352426
4.274404488768768,0.16192091089124014,0.48576273267372044,0.5101249815785466,1.5303749447356398,0.6728143973124809,4.53717,4.352426
4.290353759249249,0.16250693978575836,0.4875208193572751,0.5085575592351517,1.5256726777054552,0.6728143973124809,4.53717,4.352426
