r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
8.569441041818182,0.2851452339747942,0.38125057915317845,0.38624073641563783,0.021177207486265375,5.06102,4.453593
8.719782112727273,0.28374054178876984,0.3850090059295009,0.39093015027687716,0.021177207486265375,5.06102,4.453593
8.870123183636364,0.28423285160911543,0.3853851561710925,0.39208966703562,0.008611764405333693,5.06102,4.453593
9.020464254545454,0.2862002328237311,0.3821194825556238,0.3900128120629612,0.0002524077388935028,5.06102,4.453593
9.170805325454545,0.28964409396287716,0.377157741962444,0.3837404229206025,0.0002524077388935028,5.06102,4.453593
9.321146396363636,0.294983616363318,0.3700322423872191,0.375901174104331,0.0002524077388935028,5.06102,4.453593
9.471487467272727,0.3020985652491809,0.3611910520940616,0.36592011037631533,0.0002524077388935028,5.06102,4.453593
9.621828538181818,0.31027004779115275,0.3513874015235279,0.35491723743015247,0.0002524077388935028,5.06102,4.453593
9.77216960909091,0.3194075688890173,0.3408582647827333,0.344863793861093,0.0002524077388935028,5.06102,4.453593
9.92251068,0.3291349781622929,0.3340305813319782,0.33409775293122934,0.0002524077388935028,5.06102,4.453593
10.072851750909091,0.3388256150759473,0.32720289788122314,0.3246033863012061,0.0002524077388935028,5.06102,4.453593
10.223192821818182,0.3477233588830767,0.32058440669060806,0.3165607016230707,0.0002524077388935028,5.06102,4.453593
10.373533892727272,0.355203569162579,0.3144056353484912,0.30986712533171185,0.0002524077388935028,5.06102,4.453593
10.523874963636363,0.36084493348140617,0.3082268640063742,0.30427008445693626,0.0002524077388935028,5.06102,4.453593
10.674216034545454,0.3644315810167318,0.3046148074476652,0.3008062278265316,0.0002524077388935028,5.06102,4.453593
10.824557105454545,0.3659294649790084,0.30207919462127336,0.29891729514485876,0.0002524077388935028,5.06102,4.453593
10.974898176363636,0.36517171503608337,0.3027143954667588,0.2989169696621204,0.0002524077388935028,5.06102,4.453593
11.125239247272727,0.36239653844961106,0.30532974057992357,0.3008410882264274,0.0002524077388935028,5.06102,4.453593
11.275580318181818,0.3583203664013226,0.30816691349617265,0.30447739576164823,0.0002524077388935028,5.06102,4.453593
11.42592138909091,0.3536118426748123,0.3118467664507706,0.3095327543034087,0.0002524077388935028,5.06102,4.453593
11.57626246,0.34818201318924213,0.31803615441716876,0.3149640546394955,0.0002524077388935028,5.06102,4.453593
11.72660353090909,0.34199857764946195,0.32426172975312806,0.3209539893077481,0.0002524077388935028,5.06102,4.453593
11.876944601818181,0.33601680586309396,0.33051152150153873,0.3273769472090804,0.00012344261366389734,5.06102,4.453593
12.027285672727272,0.3304048333834252,0.33488514859690643,0.33390459436136727,9.043247159118894e-06,5.06102,4.453593
12.177626743636363,0.3252229816465043,0.33812164798634275,0.33998974786521663,9.043247159118894e-06,5.06102,4.453593
12.327967814545454,0.3209165652591396,0.34151171579059736,0.3446426741204339,9.043247159118894e-06,5.06102,4.453593
12.478308885454545,0.31778511286667455,0.34539551480359465,0.3487409946842266,9.043247159118894e-06,5.06102,4.453593
12.628649956363637,0.31515276236877393,0.3485510616347375,0.3519275843937604,9.043247159118894e-06,5.06102,4.453593
12.778991027272728,0.3136490294774185,0.34951512524560574,0.3533829797103204,9.043247159118894e-06,5.06102,4.453593
12.929332098181819,0.3135692683333333,0.35047918885647406,0.35413192159794005,9.043247159118894e-06,5.06102,4.453593
13.079673169090908,0.3135692683333333,0.3500079225004359,0.3529915535271757,9.043247159118894e-06,5.06102,4.453593
13.23001424,0.315083392690115,0.3484975561754877,0.3511911879389167,9.043247159118894e-06,5.06102,4.453593
13.38035531090909,0.3175584126756071,0.3454055521712894,0.3487923222194336,9.043247159118894e-06,5.06102,4.453593
13.530696381818181,0.3206101833529268,0.34209011393805144,0.34537805842632446,9.043247159118894e-06,5.06102,4.453593
13.681037452727272,0.32394299938399845,0.3384634249096457,0.3412588775108647,9.043247159118894e-06,5.06102,4.453593
13.831378523636364,0.3275940917530842,0.3345796257289605,0.33744275436032234,9.043247159118894e-06,5.06102,4.453593
13.981719594545455,0.33078945396974063,0.33118635238575844,0.33354082050988454,9.043247159118894e-06,5.06102,4.453593
14.132060665454546,0.33481387274107344,0.3281787925180574,0.3297767211203406,9.043247159118894e-06,5.06102,4.453593
14.282401736363637,0.3385557336360453,0.3251712326503564,0.3265937178149524,9.043247159118894e-06,5.06102,4.453593
14.432742807272728,0.34154543433790885,0.3234401589909156,0.323410714259017,9.043247159118894e-06,5.06102,4.453593
14.583083878181817,0.3439794960062247,0.3226959466606104,0.32174683913144564,9.043247159118894e-06,5.06102,4.453593
14.733424949090908,0.34438550869815254,0.3219517343303052,0.3202257907086084,9.043247159118894e-06,5.06102,4.453593
14.88376602,0.3445955239111399,0.32120752199999997,0.3187606940116492,2.925756873597961e-06,5.06102,4.453593
