r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
4.213184448497052,0.17644242803958976,0.5065611636327084,0.4933280402857023,0.7104172106408861,4.32316,4.22517
4.363655321657661,0.1927166124312263,0.4638843555771901,0.46252361913395257,0.7104172106408861,4.32316,4.22517
4.51412619481827,0.21421419327399088,0.4229207554420973,0.43201352339986243,0.7104172106408861,4.32316,4.22517
4.664597067978879,0.24112018938619822,0.3881993792930055,0.4046768372779145,0.7104172106408861,4.32316,4.22517
4.815067941139488,0.2731203908563874,0.35696409799955325,0.37643707065588883,0.7104172106408861,4.32316,4.22517
4.965538814300097,0.30855937596978694,0.3276688943048293,0.3462856343428325,0.20974968065812438,4.32316,4.22517
5.116009687460706,0.34660201833893045,0.3004639631456393,0.3154242496661477,0.04046588956698094,4.32316,4.22517
5.266480560621315,0.38331303899170854,0.2764793376322564,0.2884642973644804,0.04046588956698094,4.32316,4.22517
5.416951433781924,0.4138805915627989,0.25736936095122354,0.2671130744352085,0.04046588956698094,4.32316,4.22517
5.567422306942533,0.4356668453681046,0.24406641856857553,0.251516790266281,0.04046588956698094,4.32316,4.22517
5.717893180103142,0.44428371749966816,0.2372291178554871,0.24308724144192542,0.04046588956698094,4.32316,4.22517
5.868364053263751,0.4411336544147423,0.23812584517184954,0.2431827007863962,0.04046588956698094,4.32316,4.22517
6.01883492642436,0.42841761180353155,0.24369951242666887,0.24821738974683683,0.04046588956698094,4.32316,4.22517
6.169305799584969,0.4091041525321919,0.2548719210349555,0.25877408865859225,0.04046588956698094,4.32316,4.22517
6.319776672745578,0.38635234957308234,0.2725019329964372,0.27433956926580777,0.04046588956698094,4.32316,4.22517
6.4702475459061874,0.3622949939554463,0.29531397239716933,0.29282913718398185,0.04046588956698094,4.32316,4.22517
6.6207184190667965,0.3393107983265256,0.3181260117979014,0.31334103932324686,0.04046588956698094,4.32316,4.22517
6.7711892922274055,0.3206131571070705,0.3403334954243685,0.3338529414625118,0.04046588956698094,4.32316,4.22517
6.9216601653880145,0.3052832959241727,0.3608269636567852,0.3530567343825731,0.04046588956698094,4.32316,4.22517
7.072131038548624,0.29354789925179064,0.37802774551550283,0.3691951504799167,0.04046588956698094,4.32316,4.22517
7.222601911709232,0.285241790586279,0.3901483286726897,0.3806011102155904,0.04046588956698094,4.32316,4.22517
