r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Ce-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Ce-Cl,Average_SCL,lambda_BC
2.6007662682222223,0.545405919455304,0.010210181290184668,0.027312450988044492,0.1514064985034587,1.0,1.0,2.79577,0
2.671057248444445,0.4157437993414021,0.03762952082547471,0.05902668164950954,0.1514064985034587,1.0,1.0,2.79577,0
2.741348228666667,0.3005637943365897,0.09506564782498167,0.09165078496025679,0.1514064985034587,1.0,1.0,2.79577,0
2.8116392088888893,0.23382485542473622,0.17563639211082202,0.11057043878913027,0.1514064985034587,1.0,9.761690766886357e-42,2.79577,0
2.8819301891111113,0.18307562250870626,0.2727107408699916,0.10043237844944304,0.1514064985034587,1.0,9.761690766886357e-42,2.79577,0
2.952221169333334,0.15173522019012364,0.3700254890337307,0.07153823712290718,0.1514064985034587,1.0,9.761690766886357e-42,2.79577,0
3.022512149555556,0.12956283989603795,0.4116664378248878,0.051395977655651195,0.1514064985034587,0.3351219783711279,9.761690766886357e-42,2.79577,0
3.0928031297777783,0.11363100769274205,0.4307338594915529,0.03250567112327475,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.1630941100000003,0.1022645906402079,0.42729475367574216,0.022621996176583066,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.2333850902222228,0.09217751498650112,0.4144781250835729,0.013312228694561959,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.303676070444445,0.08566849287303825,0.38777032907471565,0.010766579580610782,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.373967050666667,0.0842796563366872,0.347682569534913,0.006551926225711503,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.4442580308888893,0.08163685148208559,0.3048851459558387,0.0041249189031928495,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.5145490111111113,0.07939292818738272,0.26119454315728813,0.002843525201973084,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.5848399913333338,0.07953030314678049,0.23410988910423844,0.0019392758675707796,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.6551309715555558,0.08381233692730868,0.21024852531772933,0.0012988853209372703,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.7254219517777782,0.08405984155824789,0.18549314144124587,0.0010288736406964785,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.7957129320000003,0.08430734618918709,0.16173178547329098,0.0008826202607925975,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.8660039122222227,0.08975217379760983,0.1400076741045898,0.00041657496572214495,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
3.9362948924444447,0.09740047109945049,0.12799183569321165,0.00035131311112064894,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
