r (A),g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
4.781953642020202,0.21921169689317757,0.39714488962338634,0.11329290671689798,0.4993298422702926,0.04357439683383854,0.048013138992722706,0.0003427531240185059,1.0908315308171626e-05,3.94714,0
4.931389693333333,0.210110168549641,0.38444024357649437,0.10836798418119542,0.4951492725077767,0.05129930169049787,0.04626720164273017,0.0003427531240185059,1.0908315308171626e-05,3.94714,0
5.080825744646464,0.20001807650320644,0.36735109219085904,0.1011230185439006,0.49326890583959865,0.06360306293037549,0.04195837695370761,0.0003427531240185059,7.1051391744855625e-06,3.94714,0
5.230261795959596,0.18862702785851024,0.3452609348088722,0.09245296948605278,0.4792460795130991,0.07366871716786212,0.03520079833914415,0.0003427531240185059,2.318983347219121e-15,3.94714,0
5.379697847272727,0.17625105690382542,0.320009630708489,0.08091900690757291,0.4620499630946146,0.08512410505779694,0.026607472785664048,0.0003427531240185059,2.318983347219121e-15,3.94714,0
5.529133898585859,0.1633680931011984,0.29671078811046514,0.0697897457137946,0.43779661352421606,0.0980777260536022,0.019282328741953375,0.0003427531240185059,2.318983347219121e-15,3.94714,0
5.67856994989899,0.152292828052318,0.2766148509017309,0.06133786037669676,0.41220859379578084,0.11014360205125319,0.015131022844498047,0.0003427531240185059,2.318983347219121e-15,3.94714,0
5.828006001212121,0.14141381461967156,0.2564455591288981,0.05239799609106862,0.39375683396094285,0.12132029974780932,0.011145844351471266,0.0003427531240185059,2.318983347219121e-15,3.94714,0
5.9774420525252525,0.13117281149393614,0.23671188567465387,0.04553204262391483,0.3791131501321821,0.12876105257082107,0.009066324257752445,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.126878103838384,0.12223497655770642,0.22228250471974073,0.040330544042680876,0.3707059458219239,0.13397760752648527,0.008195986888297813,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.276314155151515,0.11555657966054256,0.20967910559496372,0.036933640030891716,0.3671076162901498,0.1352794654480939,0.007931658324161376,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.425750206464646,0.10930053397365636,0.19943778411647214,0.03508678007134305,0.3689395354906622,0.13457253599405414,0.007966704328884352,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.575186257777778,0.10469099945909978,0.19247545257770587,0.0334469031295108,0.3748774537604731,0.12981489094442306,0.008531553001304617,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.724622309090909,0.10354252985668932,0.19125426835367285,0.033428233069341055,0.386216394999054,0.12593138223387254,0.009052299733670485,0.0003427531240185059,2.318983347219121e-15,3.94714,0
6.874058360404041,0.10356411215685282,0.19057946819403693,0.03451762766054385,0.40134803433823185,0.11927696448463983,0.010402157368229517,0.0003427531240185059,2.318983347219121e-15,3.94714,0
7.023494411717172,0.1042085339247005,0.1899046680302296,0.03610112042053646,0.4160150099859443,0.11282835452773185,0.012213734578542787,0.0003427531240185059,2.318983347219121e-15,3.94714,0
7.172930463030303,0.10648715599554501,0.19448875966909102,0.038204098490091314,0.4308604969171928,0.10947780942570187,0.013997723383718812,0.0003427531240185059,2.318983347219121e-15,3.94714,0
7.322366514343434,0.11037126258992952,0.20249708113250173,0.04117095250216588,0.4456355718047229,0.10516386765515001,0.01614931145469274,0.0003427531240185059,2.318983347219121e-15,3.94714,0
7.471802565656565,0.11589634846409912,0.21231810800833295,0.045031536120261714,0.4563790508596889,0.09952190352457416,0.01834773192364896,0.0003427531240185059,2.318983347219121e-15,3.94714,0
7.621238616969697,0.1221072084373816,0.22333810171327984,0.049017521724714345,0.46680316603096256,0.09499448725525812,0.020766569609608918,0.0003427531240185059,1.2696893457583439e-15,3.94714,0
7.770674668282828,0.1289099627089555,0.2359625491042227,0.053126796706186245,0.47895058890783476,0.09180526090373886,0.0233518229062223,0.0003427531240185059,5.936983016935426e-21,3.94714,0
7.92011071959596,0.13541669473754284,0.24895583045243116,0.05690936701743332,0.48576894855039576,0.0871162101663395,0.02545878228256079,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.06954677090909,0.1418298474300853,0.2598725204934621,0.06032196503025039,0.490191387182007,0.08159082372034511,0.02705437421780913,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.218982822222221,0.1477201207612335,0.27066689355879675,0.06376313962577965,0.48995054058297605,0.08135340030697896,0.028441189926603525,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.368418873535354,0.15327607567128296,0.2811586976075239,0.0662087192597479,0.4896386927704347,0.07987906611225049,0.029357860693565194,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.517854924848486,0.15641229629754932,0.2882051662743111,0.06755678526855878,0.4862183571168144,0.08001185370539798,0.029626144960189584,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.667290976161617,0.15954851677367,0.29257455059116716,0.06799690200580916,0.4827980210532901,0.08129588948169582,0.029198870334333625,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.816727027474748,0.16096271147794616,0.29473776106555877,0.0677200715588989,0.4754551664738722,0.08491153929429081,0.028162152933156832,0.0003427531240185059,5.936983016935426e-21,3.94714,0
8.96616307878788,0.1603146814274711,0.2929435187533203,0.0663487339266529,0.46593583685801043,0.0877161304117238,0.02709056151266661,0.0003427531240185059,5.936983016935426e-21,3.94714,0
9.11559913010101,0.15759056851387895,0.2884902484775771,0.06423250194197193,0.45966668976346664,0.09141661555254309,0.025751277771349453,0.00022376837769543103,5.936983016935426e-21,3.94714,0
9.265035181414142,0.1547433068676197,0.2827228641398029,0.06194985006067502,0.4524734932125148,0.09279235179823178,0.024509241505774486,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
9.414471232727273,0.15101228238522643,0.27508299004922643,0.05939402901760643,0.44481293542476286,0.0968080380195787,0.02331796130078576,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
9.563907284040404,0.14629253240689225,0.26722935764034034,0.05684320321028864,0.43787600588643255,0.10097620635147839,0.021877778483114837,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
9.713343335353535,0.14223894204056173,0.2577638737599522,0.0544667316303747,0.43060342447050287,0.10435051304472052,0.020617894407534396,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
9.862779386666666,0.1381356507583853,0.2517458995366569,0.0521511049656701,0.42356362433511346,0.1068345485125415,0.0195540161880729,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
10.012215437979798,0.1348887035528838,0.24572792514840244,0.05013145061574532,0.42037832528844865,0.10842806802751268,0.01906566055583978,2.4409932157620743e-10,5.936983016935426e-21,3.94714,0
