r (A),g(r)_weighted_Zn-Cl,g(r)_weighted_Zn-Zn,g(r)_weighted_Cl-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
2.877398293939394,0.016973320343538476,0.020433856670993445,0.011372073615735681,2.6127683739078768e-05,2.25974,0
2.988067459090909,0.012892551980411174,0.043031830030513585,0.041710679342721456,2.6127683739078768e-05,2.25974,0
3.098736624242424,0.015924229766780852,0.06413411351274424,0.12631151452929895,2.6127683739078768e-05,2.25974,0
3.2094057893939394,0.020149647514947747,0.07856417380431152,0.3385977715322844,2.6127683739078768e-05,2.25974,0
3.320074954545454,0.03423573490008012,0.09902454946648341,0.667814982422425,2.6127683739078768e-05,2.25974,0
3.4307441196969695,0.05437581317405991,0.15441214798750386,1.1039142226122505,2.6127683739078768e-05,2.25974,0
3.5414132848484847,0.08170465300763817,0.25166474029634434,1.4460088441366066,2.6127683739078768e-05,2.25974,0
3.65208245,0.11205515993068492,0.33178163638543784,1.660640376037627,2.6127683739078768e-05,2.25974,0
3.7627516151515152,0.1400892943705749,0.3691952057963021,1.6847971590934938,2.6127683739078768e-05,2.25974,0
3.87342078030303,0.17103510846827671,0.3355528765508582,1.5168321428075835,2.6127683739078768e-05,2.25974,0
3.9840899454545453,0.20355813522129396,0.26488493331978297,1.2268575964333668,2.6127683739078768e-05,2.25974,0
4.09475911060606,0.23608116197431112,0.18295793816777997,0.9247692984706574,2.6127683739078768e-05,2.25974,0
4.205428275757575,0.26337093972318293,0.11612315019561982,0.6734744767567525,2.6127683739078768e-05,2.25974,0
4.316097440909091,0.28674151866983943,0.06898964056576878,0.5009106233162227,2.6127683739078768e-05,2.25974,0
4.426766606060606,0.3043782440105206,0.04499278617600527,0.40288424531299427,2.6127683739078768e-05,2.25974,0
4.537435771212121,0.31598668759950477,0.037071237864072924,0.3565695810821394,1.1710239465811577e-05,2.25974,0
4.648104936363636,0.3218967228604343,0.03710148037268587,0.33081537853616744,2.7199470945434255e-18,2.25974,0
4.758774101515152,0.3234494290565918,0.04335807137455084,0.315332198278461,2.7199470945434255e-18,2.25974,0
4.869443266666666,0.3227246601609465,0.052647832388616485,0.3078126318002646,2.7199470945434255e-18,2.25974,0
4.980112431818181,0.3215386365714286,0.06551339661937944,0.30649244979503987,2.7199470945434255e-18,2.25974,0
5.090781596969697,0.32328696606769597,0.07838172549519035,0.3081647444983301,2.7199470945434255e-18,2.25974,0
5.201450762121212,0.3366674592642424,0.09269044907470551,0.3141693405558521,2.7199470945434255e-18,2.25974,0
5.312119927272727,0.3561131143277429,0.10692607849381117,0.32420792183440644,2.7199470945434255e-18,2.25974,0
5.422789092424242,0.37765532010919295,0.1199543274752185,0.3411910845557262,2.7199470945434255e-18,2.25974,0
5.533458257575758,0.3967044070877241,0.13162752000970607,0.368436428605102,2.7199470945434255e-18,2.25974,0
5.644127422727273,0.3960475619635101,0.1445880438068679,0.4036303283361508,2.7199470945434255e-18,2.25974,0
5.754796587878788,0.377580633302344,0.1539931648732127,0.4491516927247846,2.7199470945434255e-18,2.25974,0
5.8654657530303025,0.34064288634601564,0.16308693315111888,0.5014773299176148,2.7199470945434255e-18,2.25974,0
5.976134918181818,0.2946750039675165,0.16946970589452637,0.5579017619666368,2.7199470945434255e-18,2.25974,0
6.086804083333333,0.25454542557687143,0.1740284936658912,0.6093324218628445,2.7199470945434255e-18,2.25974,0
6.197473248484848,0.22557994575297977,0.17744819226681083,0.6531150145687447,2.7199470945434255e-18,2.25974,0
6.3081424136363635,0.20904809100696797,0.1789537583879797,0.6848643333344633,2.7199470945434255e-18,2.25974,0
6.418811578787879,0.20217501619204908,0.17704760382464327,0.7061347446800202,2.7199470945434255e-18,2.25974,0
6.529480743939394,0.2018069251638697,0.17441244648053505,0.7177525867747444,2.7199470945434255e-18,2.25974,0
6.640149909090908,0.2072637370892138,0.1715816525271856,0.7205540601715819,2.7199470945434255e-18,2.25974,0
6.750819074242424,0.21705074517594566,0.16993264932197763,0.7174899535013334,2.686782346773242e-18,2.25974,0
6.861488239393939,0.23180752203076585,0.16800262284263262,0.7111717620817529,1.2663318199627658e-19,2.25974,0
6.972157404545454,0.24245494889260072,0.1666028689915632,0.7036438298688252,1.4734906699340008e-23,2.25974,0
7.082826569696969,0.2544180882917178,0.16515706830333174,0.6919735868891289,1.4734906699340008e-23,2.25974,0
7.193495734848485,0.27006746963384387,0.16387832707568675,0.6764589386893588,1.4734906699340008e-23,2.25974,0
7.3041649,0.28521512911592906,0.1615335154949548,0.6565760645546933,1.4734906699340008e-23,2.25974,0
