r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
2.4049669532121216,0.5072801136067016,0.0,4.208912355395799e-05,0.0,0.011767953902778083,1.0,1.0,2.85049,0
2.50517390959596,0.7497479839925616,0.0,0.00042039429331312134,0.0,0.051492835018625685,1.0,1.0,2.85049,0
2.6053808659797983,0.8469265900473694,0.0,0.0007682310154982188,0.0,0.15498906290747866,0.0002727084390898547,1.0,2.85049,0
2.7055878223636367,0.7800033078478659,0.0,0.0007639258207539729,0.0,0.3279029596025761,0.0002727084390898547,1.0,2.85049,0
2.805794778747475,0.6682009262580489,0.0,0.002220654721363284,0.0,0.5002136581706428,0.0002727084390898547,1.0,2.85049,0
2.9060017351313134,0.5233111967954138,0.0,0.005906656200200261,0.0,0.6009561203671109,0.0002727084390898547,1.0,2.85049,0
3.006208691515152,0.38664695314614084,0.0032469602224798194,0.011451304037686532,0.0,0.6001731332673969,0.0002727084390898547,0.0658067721301382,2.85049,0
3.10641564789899,0.30119726882878434,0.005122926618557853,0.02149600082040754,0.0025714560595912015,0.5454844326001608,0.0002727084390898547,0.0658067721301382,2.85049,0
3.2066226042828285,0.23365485389391993,0.010450184160130308,0.03405595779623078,0.0032755777423414288,0.48194655379557183,0.0002727084390898547,0.0658067721301382,2.85049,0
3.306829560666667,0.18178971972013605,0.018675042490523982,0.04798232433010487,0.005686548080728603,0.40051720904797766,0.0002727084390898547,0.0658067721301382,2.85049,0
3.4070365170505053,0.14652216579987373,0.02846015094347898,0.06944112040550077,0.012517715100467897,0.32929317044025536,0.0002727084390898547,0.0658067721301382,2.85049,0
3.5072434734343436,0.123256113347631,0.0436375313768182,0.09141591466526729,0.01967072692510836,0.2692153492180565,0.0002727084390898547,0.0658067721301382,2.85049,0
3.607450429818182,0.10821667831783939,0.06313047989440052,0.11145068517342613,0.02787618891298658,0.21845524497181862,0.0002727084390898547,0.0658067721301382,2.85049,0
3.7076573862020203,0.09758572126690111,0.07957544450144449,0.13139408202729044,0.041295507074993014,0.18202995536947061,0.0002727084390898547,0.0658067721301382,2.85049,0
3.8078643425858587,0.0898801914224206,0.09994048481946907,0.145483152035605,0.06126889006894067,0.1574840190746835,0.0002727084390898547,0.0658067721301382,2.85049,0
3.908071298969697,0.08414566544112188,0.11888331993358218,0.15357704286557922,0.07915428318884368,0.14458134001535525,0.0002727084390898547,0.0658067721301382,2.85049,0
