r(A),Li-F,Li-Li,F-F
1.984558571,1.059207589,0.011110054,0
1.994841258,1.033735509,0.012910426,0
2.005123945,1.007674918,0.014710797,0
2.015406632,0.981614326,0.016511169,0.023432657
2.025689319,0.955553735,0.018311541,0.026700982
2.035972006,0.929493143,0.020111913,0.029969307
2.046254692,0.894890456,0.021912285,0.033237632
2.056537379,0.85541253,0.023712656,0.036505957
2.066820066,0.828772487,0.025513028,0.039774282
2.077102753,0.802453869,0.0273134,0.043042607
2.08738544,0.776135252,0.029113772,0.046310932
2.097668127,0.749816634,0.032485936,0.049579257
2.107950814,0.723498016,0.036691754,0.052847583
2.118233501,0.700764155,0.040897573,0.057321527
2.128516188,0.678057896,0.045103391,0.063338217
2.138798875,0.655351638,0.049309209,0.069354906
2.149081561,0.632645379,0.053515028,0.075371595
2.159364248,0.609976867,0.057752254,0.081388285
2.169646935,0.59139902,0.06539325,0.087404974
2.179929622,0.572821172,0.073034245,0.093550257
2.190212309,0.554243324,0.080675241,0.099936392
2.200494996,0.535665476,0.087954913,0.106322527
2.210777683,0.517154528,0.095179632,0.112777234
2.22106037,0.501156937,0.10240435,0.121808132
2.231343057,0.485159346,0.109629068,0.130839031
2.241625744,0.469161754,0.116853787,0.139869929
2.25190843,0.453164163,0.125676563,0.148900827
2.262191117,0.437276779,0.134707461,0.157966362
2.272473804,0.423859445,0.143738359,0.167808198
2.282756491,0.41044211,0.152769258,0.177650034
2.293039178,0.397024776,0.161800156,0.18749187
2.303321865,0.383607441,0.17265882,0.197333706
2.313604552,0.370405029,0.183717062,0.207175542
2.323887239,0.360600054,0.194775305,0.217008938
2.334169926,0.350795079,0.205833548,0.226813913
2.344452612,0.340990104,0.216891791,0.236618889
2.354735299,0.331185128,0.228293008,0.246423864
2.365017986,0.321629463,0.243257355,0.256228839
2.375300673,0.315092813,0.258221702,0.266128926
2.38558336,0.308556163,0.271510218,0.27632094
2.395866047,0.302019512,0.281831245,0.286512954
2.406148734,0.295482862,0.292152271,0.296704968
2.416431421,0.288946212,0.302136483,0.306896981
2.426714108,0.282409562,0.311425406,0.317014482
2.436996795,0.275872912,0.32071433,0.326922667
2.447279481,0.269336262,0.330003254,0.336830853
2.457562168,0.262799612,0.339292178,0.346739038
2.467844855,0.256262961,0.350037154,0.356813036
2.478127542,0.249726311,0.364744618,0.368230671
2.488410229,0.243189661,0.379452081,0.379648307
2.498692916,0.236653011,0.394159544,0.391065943
2.508975603,0.230116361,0.407890501,0.400603532
2.51925829,0.22395936,0.418211527,0.40963443
